sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence
409	Söderboda, Gräsö	P	426	6704632.15556214	688531.845836103	Uppsala län	Svensk Dagfjärilsövervakning, LU	243.0	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	0
3163	Söderboda södra	T	81	6704399.24555465	688454.710717032	Uppsala län	Svensk Dagfjärilsövervakning, LU	243.0	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	0
2874	Rångsen	T	8	6703178.30259816	671708.332583238	Uppsala län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
3663	Mehedeby	P	232	6702475.03843307	633792.108609365	Uppsala län	Svensk Dagfjärilsövervakning, LU	313.0	Mixed forest	Forest	0
3794	Bergbyvallsvägen	T	1277	6701852.25954232	614446.992568072	Gävleborgs län	Svensk Dagfjärilsövervakning, LU	324.0	Transitional woodland-shrub	Unmanaged grass/shrubland	0
2795	Östanhede punkt	P	96	6700335.89458541	593726.572369451	Gävleborgs län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
2696	Östanhede slinga	T	127	6700120.93692176	593562.246029785	Gävleborgs län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
3248	Länsanvägen	T	4	6699788.10309324	515818.304248726	Dalarnas län	Biogeografisk uppföljning av fjärilar, LU	312.0	Coniferous forest	Forest	0
2855	Storskäret, Uppland	T	70	6697086.16305367	678719.781544751	Uppsala län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
2873	Kallerö	T	6	6694842.92554812	679161.170510778	Uppsala län	Svensk Dagfjärilsövervakning, LU	311.0	Broad-leaved forest	Forest	0
3156	Lövberget, Gagnef	P	203	6694175.90891102	482556.855105645	Dalarnas län	Svensk Dagfjärilsövervakning, LU	312.0	Coniferous forest	Forest	0
925	Rännberg	T	208	6690045.5623843	371758.589034896	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	242.0	Complex cultivation patterns	Cropland	0
926	Konradsfors	T	257	6689080.86764181	372724.918609771	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	324.0	Transitional woodland-shrub	Unmanaged grass/shrubland	0
2821	Sixarby	P	314	6686576.86162557	649531.520964889	Uppsala län	Svensk Dagfjärilsövervakning, LU	211.0	Non-irrigated arable land	Cropland	0
