sit_uid	sit_name	reg_code	sum	count_per_1000m	date	year	week	day_of_year	length_of_transect
6	Rökepipan	SGot	3	1.9238896999501	2011-06-28	2011	26	179	1559.34095394233
6	Rökepipan	SGot	1	0.641296566650032	2014-06-07	2014	23	158	1559.34095394233
17	NV Krankesjön	SGot	3	1.78351869211022	2012-07-08	2012	27	190	1682.06815732919
17	NV Krankesjön	SGot	2	1.18901246140681	2013-06-10	2013	24	161	1682.06815732919
17	NV Krankesjön	SGot	2	1.18901246140681	2013-07-12	2013	28	193	1682.06815732919
19	Vankiva skola	SGot	1	0.39112074201698	2014-06-08	2014	23	159	2556.75522306251
32	Gamla Mörtforsvägen	OGot	1	0.520158788555933	2012-07-03	2012	27	185	1922.48986655826
32	Gamla Mörtforsvägen	OGot	2	1.04031757711187	2013-06-17	2013	25	168	1922.48986655826
32	Gamla Mörtforsvägen	OGot	1	0.520158788555933	2014-07-20	2014	29	201	1922.48986655826
32	Gamla Mörtforsvägen	OGot	1	0.520158788555933	2015-08-01	2015	31	213	1922.48986655826
37	Lammakulla Mellangård	OGot	3	0.986404207869197	2010-07-04	2010	26	185	3041.34955636545
37	Lammakulla Mellangård	OGot	2	0.657602805246131	2011-06-03	2011	22	154	3041.34955636545
37	Lammakulla Mellangård	OGot	1	0.328801402623066	2011-06-26	2011	25	177	3041.34955636545
37	Lammakulla Mellangård	OGot	1	0.328801402623066	2012-06-20	2012	25	172	3041.34955636545
37	Lammakulla Mellangård	OGot	2	0.657602805246131	2012-06-26	2012	26	178	3041.34955636545
37	Lammakulla Mellangård	OGot	2	0.657602805246131	2013-06-11	2013	24	162	3041.34955636545
37	Lammakulla Mellangård	OGot	2	0.657602805246131	2013-06-15	2013	24	166	3041.34955636545
37	Lammakulla Mellangård	OGot	6	1.97280841573839	2013-06-24	2013	26	175	3041.34955636545
37	Lammakulla Mellangård	OGot	22	7.23363085770745	2014-06-08	2014	23	159	3041.34955636545
37	Lammakulla Mellangård	OGot	7	2.30160981836146	2014-06-25	2014	26	176	3041.34955636545
37	Lammakulla Mellangård	OGot	2	0.657602805246131	2014-07-05	2014	27	186	3041.34955636545
37	Lammakulla Mellangård	OGot	5	1.64400701311533	2015-07-01	2015	27	182	3041.34955636545
37	Lammakulla Mellangård	OGot	7	2.30160981836146	2015-07-16	2015	29	197	3041.34955636545
37	Lammakulla Mellangård	OGot	26	8.54883646819971	2016-06-20	2016	25	172	3041.34955636545
37	Lammakulla Mellangård	OGot	6	1.97280841573839	2017-06-28	2017	26	179	3041.34955636545
37	Lammakulla Mellangård	OGot	5	1.64400701311533	2017-07-06	2017	27	187	3041.34955636545
37	Lammakulla Mellangård	OGot	11	3.61681542885372	2018-06-03	2018	22	154	3041.34955636545
37	Lammakulla Mellangård	OGot	17	5.58962384459212	2018-06-16	2018	24	167	3041.34955636545
37	Lammakulla Mellangård	OGot	7	2.30160981836146	2019-05-31	2019	22	151	3041.34955636545
37	Lammakulla Mellangård	OGot	4	1.31520561049226	2019-06-25	2019	26	176	3041.34955636545
37	Lammakulla Mellangård	OGot	1	0.328801402623066	2021-06-05	2021	22	156	3041.34955636545
37	Lammakulla Mellangård	OGot	3	0.986404207869197	2022-06-22	2022	25	173	3041.34955636545
37	Lammakulla Mellangård	OGot	1	0.328801402623066	2024-06-24	2024	26	176	3041.34955636545
45	Rone Domerarve	OGot	1	0.675233412529146	2012-06-11	2012	24	163	1480.96936769526
45	Rone Domerarve	OGot	2	1.35046682505829	2012-06-20	2012	25	172	1480.96936769526
45	Rone Domerarve	OGot	1	0.675233412529146	2013-07-03	2013	27	184	1480.96936769526
45	Rone Domerarve	OGot	1	0.675233412529146	2015-07-02	2015	27	183	1480.96936769526
51	Bildstenar, Ängegård Buttle	OGot	1	0.978527262706759	2018-07-08	2018	27	189	1021.94393361494
51	Bildstenar, Ängegård Buttle	OGot	1	0.978527262706759	2021-06-20	2021	24	171	1021.94393361494
56	Mallgårds Klint	OGot	1	0.467563505363903	2010-07-08	2010	27	189	2138.74690502567
56	Mallgårds Klint	OGot	1	0.467563505363903	2014-06-27	2014	26	178	2138.74690502567
56	Mallgårds Klint	OGot	1	0.467563505363903	2016-06-20	2016	25	172	2138.74690502567
57	Russparkens vinterhage	OGot	10	3.79047125337472	2022-06-04	2022	22	155	2638.1943910264
61	Svalsjö	OGot	9	2.70139383068869	2010-06-24	2010	25	175	3331.6134425707
61	Svalsjö	OGot	5	1.50077435038261	2011-06-26	2011	25	177	3331.6134425707
61	Svalsjö	OGot	6	1.80092922045913	2011-07-09	2011	27	190	3331.6134425707
61	Svalsjö	OGot	2	0.600309740153043	2012-06-13	2012	24	165	3331.6134425707
61	Svalsjö	OGot	5	1.50077435038261	2012-07-24	2012	30	206	3331.6134425707
61	Svalsjö	OGot	6	1.80092922045913	2013-06-20	2013	25	171	3331.6134425707
61	Svalsjö	OGot	1	0.300154870076521	2013-07-13	2013	28	194	3331.6134425707
61	Svalsjö	OGot	5	1.50077435038261	2014-07-17	2014	29	198	3331.6134425707
63	Trunelän, Maglehem	SGot	7	4.04742182187678	2010-07-03	2010	26	184	1729.49603675213
63	Trunelän, Maglehem	SGot	3	1.73460935223291	2010-07-14	2010	28	195	1729.49603675213
63	Trunelän, Maglehem	SGot	5	2.89101558705485	2011-06-27	2011	26	178	1729.49603675213
63	Trunelän, Maglehem	SGot	1	0.578203117410969	2012-07-24	2012	30	206	1729.49603675213
