sit_uid	sit_name	reg_code	sum	sit_length_equivalent	count_per_1000m_equivalent	date	year	week	day_of_year
14	Lyngby skola 182	SGot	1	392.7	2.5464731347084286	2011-07-08	2011	27	189
38	Strandvägen	OGot	1	392.7	2.5464731347084286	2011-06-11	2011	23	162
44	Ljugarns föräldrakooperativ Bikupan	OGot	2	392.7	5.092946269416857	2011-07-01	2011	26	182
48	Blomstervägen 23	OGot	1	392.7	2.5464731347084286	2014-06-27	2014	26	178
48	Blomstervägen 23	OGot	1	392.7	2.5464731347084286	2018-05-31	2018	22	151
50	När Graunänge	OGot	1	392.7	2.5464731347084286	2010-06-27	2010	25	178
50	När Graunänge	OGot	1	392.7	2.5464731347084286	2015-06-30	2015	27	181
50	När Graunänge	OGot	1	392.7	2.5464731347084286	2015-08-10	2015	33	222
50	När Graunänge	OGot	1	392.7	2.5464731347084286	2018-07-08	2018	27	189
55	Kodings 2:1	OGot	1	392.7	2.5464731347084286	2010-06-24	2010	25	175
77	Bårabygd altanen	SGot	1	392.7	2.5464731347084286	2013-07-08	2013	28	189
77	Bårabygd altanen	SGot	1	392.7	2.5464731347084286	2014-06-08	2014	23	159
77	Bårabygd altanen	SGot	2	392.7	5.092946269416857	2016-06-25	2016	25	177
78	Bårabygd kfukslok	SGot	1	392.7	2.5464731347084286	2011-06-27	2011	26	178
79	Bårabygd klyvningen	SGot	4	392.7	10.185892538833716	2013-06-17	2013	25	168
79	Bårabygd klyvningen	SGot	2	392.7	5.092946269416857	2013-07-01	2013	27	182
79	Bårabygd klyvningen	SGot	1	392.7	2.5464731347084286	2013-07-08	2013	28	189
79	Bårabygd klyvningen	SGot	1	392.7	2.5464731347084286	2014-06-08	2014	23	159
79	Bårabygd klyvningen	SGot	3	392.7	7.639419404125286	2015-07-16	2015	29	197
79	Bårabygd klyvningen	SGot	1	392.7	2.5464731347084286	2017-06-27	2017	26	178
79	Bårabygd klyvningen	SGot	2	392.7	5.092946269416857	2021-06-20	2021	24	171
79	Bårabygd klyvningen	SGot	3	392.7	7.639419404125286	2021-07-03	2021	26	184
