year	code	cells	hilda_label	model_class	suitability	area_km2
1899	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1899	11	776	Urban	Urban	0.1	952.0429555087184
1899	22	9307	Cropland	Cropland	0.5	11418.38116871088
1899	33	929	Pasture / rangeland	Grassland	1	1139.7524557572158
1899	44	32787	Forest	Forest	0.3	40225.0417297221
1899	55	1479	Unmanaged grass / shrubland	Grassland	1	1814.5251690688074
1899	66	13	Sparse / no vegetation	Unsuitable	0	15.949173223728529
1899	77	1534	Water	Unsuitable	0	1882.0024403999664
1900	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1900	11	779	Urban	Urban	0.1	955.7235339449635
1900	22	9276	Cropland	Cropland	0.5	11380.34852486968
1900	33	929	Pasture / rangeland	Grassland	1	1139.7524557572158
1900	44	32855	Forest	Forest	0.3	40308.46817427699
1900	55	1439	Unmanaged grass / shrubland	Grassland	1	1765.4507899188734
1900	66	13	Sparse / no vegetation	Unsuitable	0	15.949173223728529
1900	77	1534	Water	Unsuitable	0	1882.0024403999664
1901	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1901	11	781	Urban	Urban	0.1	958.1772529024602
1901	22	9267	Cropland	Cropland	0.5	11369.306789560946
1901	33	929	Pasture / rangeland	Grassland	1	1139.7524557572158
1901	44	32844	Forest	Forest	0.3	40294.97272001076
1901	55	1457	Unmanaged grass / shrubland	Grassland	1	1787.5342605363437
1901	66	13	Sparse / no vegetation	Unsuitable	0	15.949173223728529
1901	77	1534	Water	Unsuitable	0	1882.0024403999664
1902	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1902	11	785	Urban	Urban	0.1	963.0846908174535
1902	22	9262	Cropland	Cropland	0.5	11363.172492167203
1902	33	922	Pasture / rangeland	Grassland	1	1131.1644394059772
1902	44	32861	Forest	Forest	0.3	40315.82933114948
1902	55	1449	Unmanaged grass / shrubland	Grassland	1	1777.719384706357
1902	66	12	Sparse / no vegetation	Unsuitable	0	14.72231374498018
1902	77	1534	Water	Unsuitable	0	1882.0024403999664
1903	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1903	11	785	Urban	Urban	0.1	963.0846908174535
1903	22	9263	Cropland	Cropland	0.5	11364.399351645952
1903	33	921	Pasture / rangeland	Grassland	1	1129.9375799272289
1903	44	32883	Forest	Forest	0.3	40342.82023968194
1903	55	1427	Unmanaged grass / shrubland	Grassland	1	1750.7284761738931
1903	66	12	Sparse / no vegetation	Unsuitable	0	14.72231374498018
1903	77	1534	Water	Unsuitable	0	1882.0024403999664
1904	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1904	11	788	Urban	Urban	0.1	966.7652692536985
1904	22	9261	Cropland	Cropland	0.5	11361.945632688456
1904	33	913	Pasture / rangeland	Grassland	1	1120.1227040972421
1904	44	32885	Forest	Forest	0.3	40345.27395863944
1904	55	1432	Unmanaged grass / shrubland	Grassland	1	1756.862773567635
1904	66	12	Sparse / no vegetation	Unsuitable	0	14.72231374498018
1904	77	1534	Water	Unsuitable	0	1882.0024403999664
1905	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1905	11	788	Urban	Urban	0.1	966.7652692536985
1905	22	9259	Cropland	Cropland	0.5	11359.491913730959
1905	33	904	Pasture / rangeland	Grassland	1	1109.0809687885069
1905	44	32906	Forest	Forest	0.3	40371.038007693154
1905	55	1422	Unmanaged grass / shrubland	Grassland	1	1744.5941787801514
1905	66	12	Sparse / no vegetation	Unsuitable	0	14.72231374498018
1905	77	1534	Water	Unsuitable	0	1882.0024403999664
1906	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1906	11	790	Urban	Urban	0.1	969.2189882111953
1906	22	9256	Cropland	Cropland	0.5	11355.811335294713
1906	33	905	Pasture / rangeland	Grassland	1	1110.3078282672554
1906	44	32893	Forest	Forest	0.3	40355.088834469425
1906	55	1435	Unmanaged grass / shrubland	Grassland	1	1760.54335200388
1906	66	12	Sparse / no vegetation	Unsuitable	0	14.72231374498018
1906	77	1534	Water	Unsuitable	0	1882.0024403999664
1907	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1907	11	791	Urban	Urban	0.1	970.4458476899437
1907	22	9253	Cropland	Cropland	0.5	11352.130756858469
1907	33	897	Pasture / rangeland	Grassland	1	1100.4929524372685
1907	44	32907	Forest	Forest	0.3	40372.2648671719
1907	55	1432	Unmanaged grass / shrubland	Grassland	1	1756.862773567635
1907	66	11	Sparse / no vegetation	Unsuitable	0	13.495454266231834
1907	77	1534	Water	Unsuitable	0	1882.0024403999664
1908	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1908	11	793	Urban	Urban	0.1	972.8995666474403
1908	22	9251	Cropland	Cropland	0.5	11349.677037900972
1908	33	892	Pasture / rangeland	Grassland	1	1094.3586550435268
1908	44	32919	Forest	Forest	0.3	40386.98718091688
1908	55	1426	Unmanaged grass / shrubland	Grassland	1	1749.5016166951448
1908	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1908	77	1534	Water	Unsuitable	0	1882.0024403999664
1909	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1909	11	795	Urban	Urban	0.1	975.353285604937
1909	22	9251	Cropland	Cropland	0.5	11349.677037900972
1909	33	884	Pasture / rangeland	Grassland	1	1084.5437792135401
1909	44	32925	Forest	Forest	0.3	40394.34833778937
1909	55	1426	Unmanaged grass / shrubland	Grassland	1	1749.5016166951448
1909	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1909	77	1534	Water	Unsuitable	0	1882.0024403999664
1910	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1910	11	797	Urban	Urban	0.1	977.8070045624337
1910	22	9247	Cropland	Cropland	0.5	11344.769599985979
1910	33	876	Pasture / rangeland	Grassland	1	1074.7289033835532
1910	44	32939	Forest	Forest	0.3	40411.52437049185
1910	55	1422	Unmanaged grass / shrubland	Grassland	1	1744.5941787801514
1910	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1910	77	1534	Water	Unsuitable	0	1882.0024403999664
1911	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1911	11	800	Urban	Urban	0.1	981.4875829986787
1911	22	9232	Cropland	Cropland	0.5	11326.366707804753
1911	33	880	Pasture / rangeland	Grassland	1	1079.6363412985465
1911	44	32933	Forest	Forest	0.3	40404.16321361936
1911	55	1436	Unmanaged grass / shrubland	Grassland	1	1761.7702114826284
1911	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1911	77	1534	Water	Unsuitable	0	1882.0024403999664
1912	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1912	11	803	Urban	Urban	0.1	985.1681614349238
1912	22	9232	Cropland	Cropland	0.5	11326.366707804753
1912	33	864	Pasture / rangeland	Grassland	1	1060.0065896385731
1912	44	32949	Forest	Forest	0.3	40423.79296527933
1912	55	1433	Unmanaged grass / shrubland	Grassland	1	1758.0896330463834
1912	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1912	77	1534	Water	Unsuitable	0	1882.0024403999664
1913	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1913	11	806	Urban	Urban	0.1	988.8487398711688
1913	22	9230	Cropland	Cropland	0.5	11323.912988847256
1913	33	852	Pasture / rangeland	Grassland	1	1045.2842758935928
1913	44	32959	Forest	Forest	0.3	40436.06156006682
1913	55	1434	Unmanaged grass / shrubland	Grassland	1	1759.3164925251317
1913	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1913	77	1534	Water	Unsuitable	0	1882.0024403999664
1914	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1914	11	811	Urban	Urban	0.1	994.9830372649105
1914	22	9229	Cropland	Cropland	0.5	11322.686129368507
1914	33	837	Pasture / rangeland	Grassland	1	1026.8813837123676
1914	44	32952	Forest	Forest	0.3	40427.473543715576
1914	55	1452	Unmanaged grass / shrubland	Grassland	1	1781.399963142602
1914	66	10	Sparse / no vegetation	Unsuitable	0	12.268594787483485
1914	77	1534	Water	Unsuitable	0	1882.0024403999664
1915	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1915	11	814	Urban	Urban	0.1	998.6636157011557
1915	22	9229	Cropland	Cropland	0.5	11322.686129368507
1915	33	822	Pasture / rangeland	Grassland	1	1008.4784915311424
1915	44	32970	Forest	Forest	0.3	40449.55701433305
1915	55	1445	Unmanaged grass / shrubland	Grassland	1	1772.8119467913634
1915	66	11	Sparse / no vegetation	Unsuitable	0	13.495454266231834
1915	77	1534	Water	Unsuitable	0	1882.0024403999664
1916	0	47355	Ocean / no data	Unsuitable	0	58097.93061612804
1916	11	817	Urban	Urban	0.1	1002.3441941374007
