method	sit_uid	sit_name	year	count	count_per_1000m	observed_density_km2
Whole transect	6	Rökepipan	2011	3	1.9238896999501	384.77793999002
Whole transect	6	Rökepipan	2014	1	0.641296566650032	128.2593133300064
Whole transect	17	NV Krankesjön	2012	3	1.78351869211022	356.703738422044
Whole transect	17	NV Krankesjön	2013	2	1.18901246140681	237.80249228136202
Whole transect	17	NV Krankesjön	2013	2	1.18901246140681	237.80249228136202
Whole transect	19	Vankiva skola	2014	1	0.39112074201698	78.224148403396
Whole transect	32	Gamla Mörtforsvägen	2012	1	0.520158788555933	104.0317577111866
Whole transect	32	Gamla Mörtforsvägen	2013	2	1.04031757711187	208.063515422374
Whole transect	32	Gamla Mörtforsvägen	2014	1	0.520158788555933	104.0317577111866
Whole transect	32	Gamla Mörtforsvägen	2015	1	0.520158788555933	104.0317577111866
Whole transect	37	Lammakulla Mellangård	2010	3	0.986404207869197	197.2808415738394
Whole transect	37	Lammakulla Mellangård	2011	2	0.657602805246131	131.52056104922622
Whole transect	37	Lammakulla Mellangård	2011	1	0.328801402623066	65.76028052461321
Whole transect	37	Lammakulla Mellangård	2012	1	0.328801402623066	65.76028052461321
Whole transect	37	Lammakulla Mellangård	2012	2	0.657602805246131	131.52056104922622
Whole transect	37	Lammakulla Mellangård	2013	2	0.657602805246131	131.52056104922622
Whole transect	37	Lammakulla Mellangård	2013	2	0.657602805246131	131.52056104922622
Whole transect	37	Lammakulla Mellangård	2013	6	1.97280841573839	394.561683147678
Whole transect	37	Lammakulla Mellangård	2014	22	7.23363085770745	1446.72617154149
Whole transect	37	Lammakulla Mellangård	2014	7	2.30160981836146	460.321963672292
Whole transect	37	Lammakulla Mellangård	2014	2	0.657602805246131	131.52056104922622
Whole transect	37	Lammakulla Mellangård	2015	5	1.64400701311533	328.801402623066
Whole transect	37	Lammakulla Mellangård	2015	7	2.30160981836146	460.321963672292
Whole transect	37	Lammakulla Mellangård	2016	26	8.54883646819971	1709.767293639942
Whole transect	37	Lammakulla Mellangård	2017	6	1.97280841573839	394.561683147678
Whole transect	37	Lammakulla Mellangård	2017	5	1.64400701311533	328.801402623066
Whole transect	37	Lammakulla Mellangård	2018	11	3.61681542885372	723.363085770744
Whole transect	37	Lammakulla Mellangård	2018	17	5.58962384459212	1117.924768918424
Whole transect	37	Lammakulla Mellangård	2019	7	2.30160981836146	460.321963672292
Whole transect	37	Lammakulla Mellangård	2019	4	1.31520561049226	263.041122098452
Whole transect	37	Lammakulla Mellangård	2021	1	0.328801402623066	65.76028052461321
Whole transect	37	Lammakulla Mellangård	2022	3	0.986404207869197	197.2808415738394
Whole transect	37	Lammakulla Mellangård	2024	1	0.328801402623066	65.76028052461321
Whole transect	45	Rone Domerarve	2012	1	0.675233412529146	135.0466825058292
Whole transect	45	Rone Domerarve	2012	2	1.35046682505829	270.093365011658
Whole transect	45	Rone Domerarve	2013	1	0.675233412529146	135.0466825058292
Whole transect	45	Rone Domerarve	2015	1	0.675233412529146	135.0466825058292
Whole transect	51	Bildstenar, Ängegård Buttle	2018	1	0.978527262706759	195.7054525413518
Whole transect	51	Bildstenar, Ängegård Buttle	2021	1	0.978527262706759	195.7054525413518
Whole transect	56	Mallgårds Klint	2010	1	0.467563505363903	93.5127010727806
Whole transect	56	Mallgårds Klint	2014	1	0.467563505363903	93.5127010727806
Whole transect	56	Mallgårds Klint	2016	1	0.467563505363903	93.5127010727806
Whole transect	57	Russparkens vinterhage	2022	10	3.79047125337472	758.094250674944
Whole transect	61	Svalsjö	2010	9	2.70139383068869	540.278766137738
Whole transect	61	Svalsjö	2011	5	1.50077435038261	300.154870076522
Whole transect	61	Svalsjö	2011	6	1.80092922045913	360.185844091826
Whole transect	61	Svalsjö	2012	2	0.600309740153043	120.06194803060859
Whole transect	61	Svalsjö	2012	5	1.50077435038261	300.154870076522
Whole transect	61	Svalsjö	2013	6	1.80092922045913	360.185844091826
Whole transect	61	Svalsjö	2013	1	0.300154870076521	60.030974015304196
Whole transect	61	Svalsjö	2014	5	1.50077435038261	300.154870076522
Whole transect	63	Trunelän, Maglehem	2010	7	4.04742182187678	809.484364375356
Whole transect	63	Trunelän, Maglehem	2010	3	1.73460935223291	346.921870446582
Whole transect	63	Trunelän, Maglehem	2011	5	2.89101558705485	578.20311741097
Whole transect	63	Trunelän, Maglehem	2012	1	0.578203117410969	115.64062348219379
Whole transect	63	Trunelän, Maglehem	2012	1	0.578203117410969	115.64062348219379
Whole transect	63	Trunelän, Maglehem	2013	6	3.46921870446581	693.843740893162
Whole transect	63	Trunelän, Maglehem	2013	6	3.46921870446581	693.843740893162
Whole transect	63	Trunelän, Maglehem	2013	1	0.578203117410969	115.64062348219379
Whole transect	63	Trunelän, Maglehem	2014	12	6.93843740893163	1387.687481786326
Whole transect	63	Trunelän, Maglehem	2014	1	0.578203117410969	115.64062348219379
Whole transect	63	Trunelän, Maglehem	2015	5	2.89101558705485	578.20311741097
Whole transect	63	Trunelän, Maglehem	2015	2	1.15640623482194	231.28124696438798
Whole transect	63	Trunelän, Maglehem	2015	4	2.31281246964388	462.56249392877595
Whole transect	63	Trunelän, Maglehem	2016	3	1.73460935223291	346.921870446582
Whole transect	63	Trunelän, Maglehem	2016	1	0.578203117410969	115.64062348219379
Whole transect	63	Trunelän, Maglehem	2017	11	6.36023429152066	1272.046858304132
Whole transect	63	Trunelän, Maglehem	2017	13	7.5166405263426	1503.3281052685202
Whole transect	63	Trunelän, Maglehem	2017	1	0.578203117410969	115.64062348219379
Whole transect	63	Trunelän, Maglehem	2017	2	1.15640623482194	231.28124696438798
Whole transect	63	Trunelän, Maglehem	2018	10	5.78203117410969	1156.4062348219381
Whole transect	63	Trunelän, Maglehem	2020	2	1.15640623482194	231.28124696438798
Whole transect	63	Trunelän, Maglehem	2022	2	1.15640623482194	231.28124696438798
Whole transect	63	Trunelän, Maglehem	2022	6	3.46921870446581	693.843740893162
Whole transect	63	Trunelän, Maglehem	2023	18	10.4076561133974	2081.53122267948
