sit_uid	sit_name	reg_code	sum	sit_length_equivalent	count_per_1000m_equivalent	date	year	week	day_of_year	lat	lon	site_category	county	corine_1
14	Lyngby skola 182	SGot	1	392.7	2.54647313470843	2011/07/08	2011	27	189	6162662.55302098	394873.013875106		Skåne län	12.0
38	Strandvägen	OGot	1	392.7	2.54647313470843	2011/06/11	2011	23	162	6279833.47121457	590514.320369383		Kalmar län	2.0
44	Ljugarns föräldrakooperativ Bikupan	OGot	2	392.7	5.09294626941686	2011/07/01	2011	26	182	6361022.54916353	722729.996651553		Gotlands län	2.0
48	Blomstervägen 23	OGot	1	392.7	2.54647313470843	2014/06/27	2014	26	178	6390355.24356323	696720.59839017		Gotlands län	2.0
48	Blomstervägen 23	OGot	1	392.7	2.54647313470843	2018/05/31	2018	22	151	6390355.24356323	696720.59839017		Gotlands län	2.0
50	När Graunänge	OGot	1	392.7	2.54647313470843	2010/06/27	2010	25	178	6351692.22841361	720261.854460438		Gotlands län	12.0
50	När Graunänge	OGot	1	392.7	2.54647313470843	2015/06/30	2015	27	181	6351692.22841361	720261.854460438		Gotlands län	12.0
50	När Graunänge	OGot	1	392.7	2.54647313470843	2015/08/10	2015	33	222	6351692.22841361	720261.854460438		Gotlands län	12.0
50	När Graunänge	OGot	1	392.7	2.54647313470843	2018/07/08	2018	27	189	6351692.22841361	720261.854460438		Gotlands län	12.0
55	Kodings 2:1	OGot	1	392.7	2.54647313470843	2010/06/24	2010	25	175	6348132.04262334	704596.773002611		Gotlands län	12.0
77	Bårabygd altanen	SGot	1	392.7	2.54647313470843	2013/07/08	2013	28	189	6239381.96345688	504539.654024813		Blekinge län	24.0
77	Bårabygd altanen	SGot	1	392.7	2.54647313470843	2014/06/08	2014	23	159	6239381.96345688	504539.654024813		Blekinge län	24.0
77	Bårabygd altanen	SGot	2	392.7	5.09294626941686	2016/06/25	2016	25	177	6239381.96345688	504539.654024813		Blekinge län	24.0
78	Bårabygd kfukslok	SGot	1	392.7	2.54647313470843	2011/06/27	2011	26	178	6239427.86067149	504703.057313592		Blekinge län	24.0
79	Bårabygd klyvningen	SGot	4	392.7	10.1858925388337	2013/06/17	2013	25	168	6239397.81023408	504612.442070767		Blekinge län	24.0
79	Bårabygd klyvningen	SGot	2	392.7	5.09294626941686	2013/07/01	2013	27	182	6239397.81023408	504612.442070767		Blekinge län	24.0
79	Bårabygd klyvningen	SGot	1	392.7	2.54647313470843	2013/07/08	2013	28	189	6239397.81023408	504612.442070767		Blekinge län	24.0
79	Bårabygd klyvningen	SGot	1	392.7	2.54647313470843	2014/06/08	2014	23	159	6239397.81023408	504612.442070767		Blekinge län	24.0
79	Bårabygd klyvningen	SGot	3	392.7	7.63941940412529	2015/07/16	2015	29	197	6239397.81023408	504612.442070767		Blekinge län	24.0
79	Bårabygd klyvningen	SGot	1	392.7	2.54647313470843	2017/06/27	2017	26	178	6239397.81023408	504612.442070767		Blekinge län	24.0
79	Bårabygd klyvningen	SGot	2	392.7	5.09294626941686	2021/06/20	2021	24	171	6239397.81023408	504612.442070767		Blekinge län	24.0
79	Bårabygd klyvningen	SGot	3	392.7	7.63941940412529	2021/07/03	2021	26	184	6239397.81023408	504612.442070767		Blekinge län	24.0
80	Bårabygd ängen	SGot	1	392.7	2.54647313470843	2013/06/17	2013	25	168	6239356.63656837	504510.961049748		Blekinge län	24.0
80	Bårabygd ängen	SGot	2	392.7	5.09294626941686	2013/07/01	2013	27	182	6239356.63656837	504510.961049748		Blekinge län	24.0
80	Bårabygd ängen	SGot	1	392.7	2.54647313470843	2015/07/16	2015	29	197	6239356.63656837	504510.961049748		Blekinge län	24.0
80	Bårabygd ängen	SGot	1	392.7	2.54647313470843	2017/06/27	2017	26	178	6239356.63656837	504510.961049748		Blekinge län	24.0
80	Bårabygd ängen	SGot	1	392.7	2.54647313470843	2020/06/09	2020	24	161	6239356.63656837	504510.961049748		Blekinge län	24.0
80	Bårabygd ängen	SGot	1	392.7	2.54647313470843	2021/07/23	2021	29	204	6239356.63656837	504510.961049748		Blekinge län	24.0
81	Bårabygd tåtelhörnet	SGot	1	392.7	2.54647313470843	2013/07/08	2013	28	189	6239433.28490756	504227.16613795		Blekinge län	24.0
81	Bårabygd tåtelhörnet	SGot	1	392.7	2.54647313470843	2016/06/25	2016	25	177	6239433.28490756	504227.16613795		Blekinge län	24.0
100	Dörby Malm	OGot	1	392.7	2.54647313470843	2010/06/13	2010	23	164	6277365.96627765	600623.802353297		Kalmar län	12.0
100	Dörby Malm	OGot	9	392.7	22.9182582123759	2010/06/25	2010	25	176	6277365.96627765	600623.802353297		Kalmar län	12.0
100	Dörby Malm	OGot	5	392.7	12.7323656735421	2010/07/11	2010	27	192	6277365.96627765	600623.802353297		Kalmar län	12.0
114	Gotlands Veteranbilsmuseum	OGot	1	392.7	2.54647313470843	2021/07/22	2021	29	203	6389719.08053536	694177.502214431		Gotlands län	2.0
126	Gullmarsberg 511	VGotSve	1	392.7	2.54647313470843	2011/07/09	2011	27	190	6475330.43204459	303350.706917024		Västra Götalands län	23.0
126	Gullmarsberg 511	VGotSve	1	392.7	2.54647313470843	2021/06/05	2021	22	156	6475330.43204459	303350.706917024		Västra Götalands län	23.0
126	Gullmarsberg 511	VGotSve	1	392.7	2.54647313470843	2021/06/19	2021	24	170	6475330.43204459	303350.706917024		Västra Götalands län	23.0
126	Gullmarsberg 511	VGotSve	1	392.7	2.54647313470843	2022/06/11	2022	23	162	6475330.43204459	303350.706917024		Västra Götalands län	23.0
128	Morkullen, Kåröd, Stillingsön, Orust	VGotSve	2	392.7	5.09294626941686	2010/07/05	2010	27	186	6455173.51646584	313801.337954659		Västra Götalands län	23.0
128	Morkullen, Kåröd, Stillingsön, Orust	VGotSve	1	392.7	2.54647313470843	2011/06/30	2011	26	181	6455173.51646584	313801.337954659		Västra Götalands län	23.0
128	Morkullen, Kåröd, Stillingsön, Orust	VGotSve	1	392.7	2.54647313470843	2011/07/09	2011	27	190	6455173.51646584	313801.337954659		Västra Götalands län	23.0
128	Morkullen, Kåröd, Stillingsön, Orust	VGotSve	2	392.7	5.09294626941686	2011/08/08	2011	32	220	6455173.51646584	313801.337954659		Västra Götalands län	23.0
128	Morkullen, Kåröd, Stillingsön, Orust	VGotSve	2	392.7	5.09294626941686	2017/07/25	2017	30	206	6455173.51646584	313801.337954659		Västra Götalands län	23.0
139	Eldarevägen 21	OSve	1	392.7	2.54647313470843	2011/07/08	2011	27	189	6562488.3475088	638266.843463937		Stockholms län	2.0
139	Eldarevägen 21	OSve	1	392.7	2.54647313470843	2023/06/26	2023	26	177	6562488.3475088	638266.843463937		Stockholms län	2.0
146	Bastbolvägen 15, Husby-Långhundra, Knvista	OSve	2	392.7	5.09294626941686	2011/06/13	2011	24	164	6632263.49260931	674363.758677116		Uppsala län	2.0
146	Bastbolvägen 15, Husby-Långhundra, Knvista	OSve	1	392.7	2.54647313470843	2011/06/22	2011	25	173	6632263.49260931	674363.758677116		Uppsala län	2.0
146	Bastbolvägen 15, Husby-Långhundra, Knvista	OSve	1	392.7	2.54647313470843	2011/07/14	2011	28	195	6632263.49260931	674363.758677116		Uppsala län	2.0
146	Bastbolvägen 15, Husby-Långhundra, Knvista	OSve	1	392.7	2.54647313470843	2013/07/10	2013	28	191	6632263.49260931	674363.758677116		Uppsala län	2.0
146	Bastbolvägen 15, Husby-Långhundra, Knvista	OSve	1	392.7	2.54647313470843	2015/06/27	2015	26	178	6632263.49260931	674363.758677116		Uppsala län	2.0
147	Snäcktorp	OSve	1	392.7	2.54647313470843	2011/06/28	2011	26	179	6631210.94311734	718181.468396949		Stockholms län	2.0
147	Snäcktorp	OSve	1	392.7	2.54647313470843	2012/07/04	2012	27	186	6631210.94311734	718181.468396949		Stockholms län	2.0
147	Snäcktorp	OSve	1	392.7	2.54647313470843	2013/07/01	2013	27	182	6631210.94311734	718181.468396949		Stockholms län	2.0
147	Snäcktorp	OSve	1	392.7	2.54647313470843	2014/07/07	2014	28	188	6631210.94311734	718181.468396949		Stockholms län	2.0
147	Snäcktorp	OSve	1	392.7	2.54647313470843	2016/06/22	2016	25	174	6631210.94311734	718181.468396949		Stockholms län	2.0
147	Snäcktorp	OSve	1	392.7	2.54647313470843	2019/07/11	2019	28	192	6631210.94311734	718181.468396949		Stockholms län	2.0
147	Snäcktorp	OSve	2	392.7	5.09294626941686	2019/07/19	2019	29	200	6631210.94311734	718181.468396949		Stockholms län	2.0
147	Snäcktorp	OSve	1	392.7	2.54647313470843	2020/06/26	2020	26	178	6631210.94311734	718181.468396949		Stockholms län	2.0
159	Lappugglan 9	NSveSNor	1	392.7	2.54647313470843	2015/08/13	2015	33	225	6665881.98624012	511838.207642151		Dalarnas län	25.0
169	Borsbäcken	NSveSNor	2	392.7	5.09294626941686	2011/06/05	2011	22	156	6674506.52435176	576625.967495405		Dalarnas län	24.0
169	Borsbäcken	NSveSNor	1	392.7	2.54647313470843	2011/06/13	2011	24	164	6674506.52435176	576625.967495405		Dalarnas län	24.0
169	Borsbäcken	NSveSNor	4	392.7	10.1858925388337	2011/06/20	2011	25	171	6674506.52435176	576625.967495405		Dalarnas län	24.0
169	Borsbäcken	NSveSNor	5	392.7	12.7323656735421	2011/06/27	2011	26	178	6674506.52435176	576625.967495405		Dalarnas län	24.0
169	Borsbäcken	NSveSNor	1	392.7	2.54647313470843	2011/07/05	2011	27	186	6674506.52435176	576625.967495405		Dalarnas län	24.0
173	Buttle Kalkbrott	OGot	3	392.7	7.63941940412529	2015/06/28	2015	26	179	6367562.87679094	709667.8017248		Gotlands län	21.0
173	Buttle Kalkbrott	OGot	2	392.7	5.09294626941686	2017/07/06	2017	27	187	6367562.87679094	709667.8017248		Gotlands län	21.0
174	Buttlegårde 130	OGot	2	392.7	5.09294626941686	2011/06/28	2011	26	179	6367875.60598966	709985.053820434		Gotlands län	21.0
174	Buttlegårde 130	OGot	1	392.7	2.54647313470843	2014/07/08	2014	28	189	6367875.60598966	709985.053820434		Gotlands län	21.0
174	Buttlegårde 130	OGot	1	392.7	2.54647313470843	2024/06/04	2024	23	156	6367875.60598966	709985.053820434		Gotlands län	21.0
183	Silvåkratornet	SGot	1	392.7	2.54647313470843	2013/07/04	2013	27	185	6172718.46848745	405440.863202069		Skåne län	18.0
193	Gripenbergsgatan, Norrängen	OGot	1	392.7	2.54647313470843	2011/06/25	2011	25	176	6407938.05822642	456933.66998059		Jönköpings län	23.0
193	Gripenbergsgatan, Norrängen	OGot	1	392.7	2.54647313470843	2014/06/15	2014	24	166	6407938.05822642	456933.66998059		Jönköpings län	23.0
193	Gripenbergsgatan, Norrängen	OGot	1	392.7	2.54647313470843	2023/06/03	2023	22	154	6407938.05822642	456933.66998059		Jönköpings län	23.0
198	Hultsjö 1-8, Gränna	OGot	1	392.7	2.54647313470843	2011/06/28	2011	26	179	6436846.62674985	476474.861883721		Kronobergs län	23.0
198	Hultsjö 1-8, Gränna	OGot	2	392.7	5.09294626941686	2012/07/27	2012	30	209	6436846.62674985	476474.861883721		Kronobergs län	23.0
198	Hultsjö 1-8, Gränna	OGot	1	392.7	2.54647313470843	2013/06/23	2013	25	174	6436846.62674985	476474.861883721		Kronobergs län	23.0
198	Hultsjö 1-8, Gränna	OGot	1	392.7	2.54647313470843	2013/07/17	2013	29	198	6436846.62674985	476474.861883721		Kronobergs län	23.0
198	Hultsjö 1-8, Gränna	OGot	1	392.7	2.54647313470843	2017/06/19	2017	25	170	6436846.62674985	476474.861883721		Kronobergs län	23.0
199	Berghamra	OGot	1	392.7	2.54647313470843	2011/06/27	2011	26	178	6441081.88000278	547409.542472064		Östergötlands län	21.0
199	Berghamra	OGot	1	392.7	2.54647313470843	2013/07/21	2013	29	202	6441081.88000278	547409.542472064		Östergötlands län	21.0
199	Berghamra	OGot	1	392.7	2.54647313470843	2016/06/13	2016	24	165	6441081.88000278	547409.542472064		Östergötlands län	21.0
199	Berghamra	OGot	1	392.7	2.54647313470843	2022/06/05	2022	22	156	6441081.88000278	547409.542472064		Östergötlands län	21.0
199	Berghamra	OGot	1	392.7	2.54647313470843	2023/07/23	2023	29	204	6441081.88000278	547409.542472064		Östergötlands län	21.0
200	Tyrvalds 105	OGot	1	392.7	2.54647313470843	2012/07/06	2012	27	188	6366015.01726744	696601.774297468		Gotlands län	24.0
206	Pelarbo punkt	OGot	4	392.7	10.1858925388337	2011/06/26	2011	25	177	6452648.6605842	486851.916888619		Östergötlands län	24.0
206	Pelarbo punkt	OGot	3	392.7	7.63941940412529	2011/06/26	2011	25	177	6452648.6605842	486851.916888619		Östergötlands län	24.0
206	Pelarbo punkt	OGot	1	392.7	2.54647313470843	2014/06/23	2014	26	174	6452648.6605842	486851.916888619		Östergötlands län	24.0
206	Pelarbo punkt	OGot	1	392.7	2.54647313470843	2014/06/23	2014	26	174	6452648.6605842	486851.916888619		Östergötlands län	24.0
206	Pelarbo punkt	OGot	1	392.7	2.54647313470843	2014/07/20	2014	29	201	6452648.6605842	486851.916888619		Östergötlands län	24.0
206	Pelarbo punkt	OGot	1	392.7	2.54647313470843	2016/07/20	2016	29	202	6452648.6605842	486851.916888619		Östergötlands län	24.0
206	Pelarbo punkt	OGot	1	392.7	2.54647313470843	2017/06/19	2017	25	170	6452648.6605842	486851.916888619		Östergötlands län	24.0
206	Pelarbo punkt	OGot	1	392.7	2.54647313470843	2017/06/21	2017	25	172	6452648.6605842	486851.916888619		Östergötlands län	24.0
206	Pelarbo punkt	OGot	1	392.7	2.54647313470843	2017/07/10	2017	28	191	6452648.6605842	486851.916888619		Östergötlands län	24.0
206	Pelarbo punkt	OGot	1	392.7	2.54647313470843	2018/06/08	2018	23	159	6452648.6605842	486851.916888619		Östergötlands län	24.0
206	Pelarbo punkt	OGot	1	392.7	2.54647313470843	2018/06/27	2018	26	178	6452648.6605842	486851.916888619		Östergötlands län	24.0
217	Kullängsstugan	OSve	1	392.7	2.54647313470843	2011/07/03	2011	26	184	6524734.55687429	488179.738204677		Örebro län	12.0
218	Alviken	OSve	2	392.7	5.09294626941686	2016/06/20	2016	25	172	6579498.86316609	652713.175525507		Stockholms län	2.0
219	Domerarve punkt	OGot	1	392.7	2.54647313470843	2013/06/17	2013	25	168	6346345.00762496	710233.27781764		Gotlands län	12.0
221	Sulvik Lunden	VGotSve	1	392.7	2.54647313470843	2011/06/13	2011	24	164	6619101.17220623	354353.091358038		Värmlands län	2.0
221	Sulvik Lunden	VGotSve	1	392.7	2.54647313470843	2013/06/18	2013	25	169	6619101.17220623	354353.091358038		Värmlands län	2.0
221	Sulvik Lunden	VGotSve	1	392.7	2.54647313470843	2013/07/11	2013	28	192	6619101.17220623	354353.091358038		Värmlands län	2.0
221	Sulvik Lunden	VGotSve	1	392.7	2.54647313470843	2014/06/18	2014	25	169	6619101.17220623	354353.091358038		Värmlands län	2.0
221	Sulvik Lunden	VGotSve	1	392.7	2.54647313470843	2014/07/11	2014	28	192	6619101.17220623	354353.091358038		Värmlands län	2.0
221	Sulvik Lunden	VGotSve	1	392.7	2.54647313470843	2015/06/20	2015	25	171	6619101.17220623	354353.091358038		Värmlands län	2.0
221	Sulvik Lunden	VGotSve	1	392.7	2.54647313470843	2015/06/29	2015	27	180	6619101.17220623	354353.091358038		Värmlands län	2.0
221	Sulvik Lunden	VGotSve	2	392.7	5.09294626941686	2015/07/07	2015	28	188	6619101.17220623	354353.091358038		Värmlands län	2.0
221	Sulvik Lunden	VGotSve	2	392.7	5.09294626941686	2016/06/04	2016	22	156	6619101.17220623	354353.091358038		Värmlands län	2.0
221	Sulvik Lunden	VGotSve	1	392.7	2.54647313470843	2017/06/20	2017	25	171	6619101.17220623	354353.091358038		Värmlands län	2.0
221	Sulvik Lunden	VGotSve	2	392.7	5.09294626941686	2018/06/23	2018	25	174	6619101.17220623	354353.091358038		Värmlands län	2.0
