sit_uid	sit_name	segment_number	seg_uid	reg_code	geo_uid	sum	count_per_1000m	date	year	week	day_of_year	segment_length	corine_1
6	Rökepipan	9	137	SGot	583	3	16.1769520234332	2011-06-28	2011	26	179	185.449026222884	12.0
6	Rökepipan	9	137	SGot	583	1	5.39231734114441	2014-06-07	2014	23	158	185.449026222884	12.0
17	NV Krankesjön	1	23	SGot	585	1	3.47492651003533	2012-07-08	2012	27	190	287.775870111806	18.0
17	NV Krankesjön	2	22	SGot	586	1	5.82439044413059	2012-07-08	2012	27	190	171.691786392468	18.0
17	NV Krankesjön	3	21	SGot	587	2	7.25132035203621	2013-06-10	2013	24	161	275.811838796832	18.0
17	NV Krankesjön	3	21	SGot	587	2	7.25132035203621	2013-07-12	2013	28	193	275.811838796832	18.0
17	NV Krankesjön	4	20	SGot	588	1	3.24208196605807	2012-07-08	2012	27	190	308.443774854917	18.0
19	Vankiva skola	5	30	SGot	600	1	5.4265435521059	2014-06-08	2014	23	159	184.279365013467	24.0
32	Gamla Mörtforsvägen	1	54	OGot	2502	1	1.92612109534044	2014-07-20	2014	29	201	519.178156772772	24.0
32	Gamla Mörtforsvägen	1	54	OGot	2502	1	1.92612109534044	2015-08-01	2015	31	213	519.178156772772	24.0
32	Gamla Mörtforsvägen	2	53	OGot	2503	1	1.7805178532978	2012-07-03	2012	27	185	561.634357188748	24.0
32	Gamla Mörtforsvägen	3	52	OGot	2501	2	2.37620745506532	2013-06-17	2013	25	168	841.677352596735	41.0
37	Lammakulla Mellangård	1	70	OGot	2504	1	2.52630000031621	2014-06-08	2014	23	159	395.835807257583	18.0
37	Lammakulla Mellangård	1	70	OGot	2504	1	2.52630000031621	2015-07-01	2015	27	182	395.835807257583	18.0
37	Lammakulla Mellangård	1	70	OGot	2504	1	2.52630000031621	2018-06-16	2018	24	167	395.835807257583	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	1	2.57452918276321	2010-07-04	2010	26	185	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	2	5.14905836552643	2011-06-03	2011	22	154	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	1	2.57452918276321	2011-06-26	2011	25	177	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	1	2.57452918276321	2012-06-20	2012	25	172	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	1	2.57452918276321	2012-06-26	2012	26	178	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	9	23.1707626448689	2014-06-08	2014	23	159	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	3	7.72358754828964	2014-06-25	2014	26	176	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	1	2.57452918276321	2014-07-05	2014	27	186	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	1	2.57452918276321	2015-07-01	2015	27	182	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	3	7.72358754828964	2015-07-16	2015	29	197	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	6	15.4471750965793	2016-06-20	2016	25	172	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	1	2.57452918276321	2017-07-06	2017	27	187	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	7	18.0217042793425	2018-06-16	2018	24	167	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	4	10.2981167310529	2019-05-31	2019	22	151	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	1	2.57452918276321	2019-06-25	2019	26	176	388.420534012635	18.0
37	Lammakulla Mellangård	2	69	OGot	2506	1	2.57452918276321	2024-06-24	2024	26	176	388.420534012635	18.0
37	Lammakulla Mellangård	3	68	OGot	2507	1	3.6585178715578	2012-06-26	2012	26	178	273.334731469878	25.0
37	Lammakulla Mellangård	3	68	OGot	2507	2	7.31703574311559	2013-06-24	2013	26	175	273.334731469878	25.0
37	Lammakulla Mellangård	3	68	OGot	2507	2	7.31703574311559	2014-06-08	2014	23	159	273.334731469878	25.0
