sit_uid	radius_m	land_cells	p_cropland	p_forest	p_urban	p_grassland	p_other	buffer_cells	terrestrial_frac
6	500	79	0.3670886075949367	0.27848101265822783	0.35443037974683544	0	0	79	1
6	1000	313	0.2268370607028754	0.3003194888178914	0.41533546325878595	0.05750798722044728	0	313	1
6	2000	1251	0.2533972821742606	0.32454036770583533	0.24060751398880895	0.18145483613109512	0	1251	1
6	5000	7826	0.6714796831075901	0.12688474316381293	0.08305647840531562	0.11857909532328137	0	7826	1
6	10000	31308	0.6571163919764916	0.10748051616200333	0.08905072186022742	0.1344704228951067	0.011881947106170947	31308	1
7	500	79	0.2911392405063291	0.06329113924050633	0.569620253164557	0.0759493670886076	0	79	1
7	1000	315	0.21904761904761905	0.13333333333333333	0.4603174603174603	0.1873015873015873	0	315	1
7	2000	1255	0.3043824701195219	0.23187250996015937	0.27171314741035857	0.19203187250996015	0	1255	1
7	5000	7831	0.6825437364321287	0.12808070489081855	0.07495849827608224	0.11441706040097051	0	7831	1
7	10000	31296	0.6486771472392638	0.1175549591002045	0.08608128834355828	0.13570424335378323	0.011982361963190184	31296	1
9	500	76	1	0	0	0	0	76	1
9	1000	310	0.8548387096774194	0.08064516129032258	0	0.06451612903225806	0	310	1
9	2000	1247	0.6944667201283079	0.18765036086607859	0.007217321571772253	0.11066559743384122	0	1247	1
9	5000	7816	0.7067553735926305	0.11629989764585466	0.11988229273285568	0.05706243602865916	0	7816	1
9	10000	31293	0.713290512255137	0.05384590803054996	0.13293707857987408	0.0934394273479692	0.0064870737864698175	31293	1
14	500	80	1	0	0	0	0	80	1
14	1000	312	1	0	0	0	0	312	1
14	2000	1250	0.896	0.0552	0	0.0488	0	1250	1
14	5000	7826	0.8111423460260669	0.08497316636851521	0.03731152568361871	0.061589573217480195	0.0049833887043189366	7826	1
14	10000	31302	0.6162226055843077	0.2224458501054246	0.07571401188422465	0.06379784039358508	0.02181969203245799	31302	1
16	500	78	1	0	0	0	0	78	1
16	1000	314	1	0	0	0	0	314	1
16	2000	1253	0.9345570630486831	0	0.06544293695131684	0	0	1253	1
16	5000	7834	0.9814909369415369	0.0034465151901965792	0.01506254786826653	0	0	7834	1
16	10000	31255	0.8699728043513038	0.03241081426971684	0.06792513197888338	0.015133578627419613	0.014557670772676373	31293	0.9987856709168185
