sit_uid	site	site_category	total_sum	lat	lon	county	datasource	clc_code	clc_name	habitat_hilda	presence	in_study_region	clc_index_extracted	hilda_code	hilda_class	clc_code_extracted	clc_name_extracted
3787	Lisselfäbod	T	12	6703904.15462051	612599.289921502	Gävleborgs län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
3788	Bäck	T	6	6697781.78915382	612126.369989019	Gävleborgs län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	22	cropland	211	Non-irrigated arable land
3786	Ullanda	T	1	6695809.83097565	612010.535436566	Gävleborgs län	Svensk Dagfjärilsövervakning, LU	411	Inland marshes	Other	1	FALSE	35	44	forest	411	Inland marshes
445	Vreten	P	6	6690051.84654503	644516.99207053	Uppsala län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
3568	Knippels	P	2	6685130.86980785	546877.683306293	Dalarnas län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	22	cropland	211	Non-irrigated arable land
856	Fensbol, Ektäppan	T	16	6679067.31956827	390593.752212073	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
3244	Fensbol, Petteråsen	T	2	6678374.92717915	390289.362853416	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	44	forest	211	Non-irrigated arable land
899	Nedre Malsjö	P	3	6677844.06636292	512998.70102837	Dalarnas län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
2667	Runt Gimodammen	T	16	6677551.75419402	675075.309692829	Uppsala län	Svensk Dagfjärilsövervakning, LU	411	Inland marshes	Other	1	FALSE	35	77	water	411	Inland marshes
459	Gamla Finntorpet	T	3	6676079.20890703	503549.543827945	Dalarnas län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
169	Borsbäcken	P	13	6674506.52435176	576625.967495405	Dalarnas län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
3718	Ritamäki	T	3	6670644.70796159	363454.021917732	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	324	Transitional woodland-shrub	Unmanaged grass/shrubland	1	FALSE	29	44	forest	324	Transitional woodland-shrub
900	Hammarbacken	P	15	6669318.95226078	510703.633108846	Dalarnas län	Svensk Dagfjärilsövervakning, LU	112	Discontinuous urban fabric	Urban	1	FALSE	2	11	urban	112	Discontinuous urban fabric
2911	Styggtjärn	T	8	6668724.25025239	502767.661666387	Dalarnas län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
458	Bangårdsområdet	P	2	6668439.45377837	510228.536469462	Dalarnas län	Svensk Dagfjärilsövervakning, LU	121	Industrial or commercial units	Urban	1	FALSE	3	11	urban	121	Industrial or commercial units
626	Högbergets gamla slalombacke	P	21	6666677.78145677	510942.799967442	Dalarnas län	Svensk Dagfjärilsövervakning, LU	141	Green urban areas	Urban	1	FALSE	10	11	urban	141	Green urban areas
2769	Karsbo	T	2	6666367.13007815	550526.835077545	Västmanlands län	Länsstyrelsen i Västmanlands län	242	Complex cultivation patterns	Cropland	1	FALSE	20	44	forest	242	Complex cultivation patterns
159	Lappugglan 9	P	1	6665881.98624012	511838.207642151	Dalarnas län	Svensk Dagfjärilsövervakning, LU	313	Mixed forest	Forest	1	FALSE	25	44	forest	313	Mixed forest
3905	Hummelsvedjans fjärilsstig 1	T	10	6660599.39993645	691454.793904177	Stockholms län	Svensk Dagfjärilsövervakning, LU	324	Transitional woodland-shrub	Unmanaged grass/shrubland	1	FALSE	29	44	forest	324	Transitional woodland-shrub
873	Ransbysätter, Kåråsen	T	2	6656065.24516762	400999.813080355	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	242	Complex cultivation patterns	Cropland	1	FALSE	20	44	forest	242	Complex cultivation patterns
875	Ransbysätter, Lillängen	T	6	6655453.30396749	400817.364384048	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	242	Complex cultivation patterns	Cropland	1	FALSE	20	44	forest	242	Complex cultivation patterns
3703	Kammesmakk	T	6	6655374.26295031	371962.223742889	Värmlands län	Biogeografisk uppföljning av fjärilar, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
3906	Storängen, Väddö	T	2	6654793.5085896	713613.674250658	Stockholms län	Svensk Dagfjärilsövervakning, LU	243	Land principally occupied by agriculture with significant areas of natural vegetation	Cropland	1	FALSE	21	22	cropland	243	Land principally occupied by agriculture with significant areas of natural vegetation
862	Brandområdet N3	P	6	6650449.30889815	558926.528385035	Västmanlands län	Svensk Dagfjärilsövervakning, LU	334	Burnt areas	Sparse/no vegetation	1	FALSE	33	55	unmanaged grass / shrubland	334	Burnt areas
685	Smyre	T	4	6648910.37116334	399506.781432705	Värmlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
687	Jordberg	P	1	6648803.70799418	399120.262805855	Värmlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
686	Jordberg, östra infarten	P	6	6648763.80452173	399290.669653897	Värmlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
688	Jordberg, västra infarten	P	2	6648672.3885831	398842.993822813	Värmlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
636	Ivarsbjörke	T	20	6648619.47424909	398273.905658443	Värmlands län	Trafikverket	412	Peat bogs	Other	1	FALSE	36	44	forest	412	Peat bogs
689	Åsen, Sunne	P	4	6648510.9483979	397652.520495646	Värmlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	44	forest	211	Non-irrigated arable land
690	Höglunda, östra infarten	P	4	6648383.46004173	396869.443013551	Värmlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	44	forest	211	Non-irrigated arable land
3894	Cronberget-Vallvägen, Berg	T	1	6648109.27808492	570929.631420633	Västmanlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
691	Höglunda, västra infarten	P	1	6648008.46061885	396855.022170055	Värmlands län	Svensk Dagfjärilsövervakning, LU	312	Coniferous forest	Forest	1	FALSE	24	44	forest	312	Coniferous forest
4094	Bergs skogar 1, Partystugan	P	3	6647927.57400292	571031.817478188	Västmanlands län	Svensk Dagfjärilsövervakning, LU	313	Mixed forest	Forest	1	FALSE	25	44	forest	313	Mixed forest
4095	Bergs skogar 2	P	1	6647684.71415818	571037.775570148	Västmanlands län	Svensk Dagfjärilsövervakning, LU	313	Mixed forest	Forest	1	FALSE	25	44	forest	313	Mixed forest
4096	Bergs skogar 3	P	3	6647408.71006642	571031.141016273	Västmanlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	44	forest	211	Non-irrigated arable land
4097	Bergs skogar 4, Soldattorpet	P	1	6647301.47461661	571091.431082805	Västmanlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	44	forest	211	Non-irrigated arable land
3893	Granbacken, Berg	T	7	6646820.19053464	571221.260037573	Västmanlands län	Svensk Dagfjärilsövervakning, LU	211	Non-irrigated arable land	Cropland	1	FALSE	12	44	forest	211	Non-irrigated arable land
