year	suitability	cells	area_km2
1899	0	48902	59995.88222975173
1899	0.1	776	952.0429555087184
1899	0.3	32787	40225.0417297221
1899	0.5	9307	11418.38116871088
1899	1	2408	2954.277624826023
1900	0	48902	59995.88222975173
1900	0.1	779	955.7235339449635
1900	0.3	32855	40308.46817427699
1900	0.5	9276	11380.34852486968
1900	1	2368	2905.203245676089
1901	0	48902	59995.88222975173
1901	0.1	781	958.1772529024602
1901	0.3	32844	40294.97272001076
1901	0.5	9267	11369.306789560946
1901	1	2386	2927.2867162935595
1902	0	48901	59994.65537027299
1902	0.1	785	963.0846908174535
1902	0.3	32861	40315.82933114948
1902	0.5	9262	11363.172492167203
1902	1	2371	2908.883824112334
1903	0	48901	59994.65537027299
1903	0.1	785	963.0846908174535
1903	0.3	32883	40342.82023968194
1903	0.5	9263	11364.399351645952
1903	1	2348	2880.666056101122
1904	0	48901	59994.65537027299
1904	0.1	788	966.7652692536985
1904	0.3	32885	40345.27395863944
1904	0.5	9261	11361.945632688456
1904	1	2345	2876.985477664877
1905	0	48901	59994.65537027299
1905	0.1	788	966.7652692536985
1905	0.3	32906	40371.038007693154
1905	0.5	9259	11359.491913730959
1905	1	2326	2853.6751475686583
1906	0	48901	59994.65537027299
1906	0.1	790	969.2189882111953
1906	0.3	32893	40355.088834469425
1906	0.5	9256	11355.811335294713
1906	1	2340	2870.8511802711355
1907	0	48900	59993.42851079424
1907	0.1	791	970.4458476899437
1907	0.3	32907	40372.2648671719
1907	0.5	9253	11352.130756858469
1907	1	2329	2857.3557260049033
1908	0	48899	59992.20165131549
1908	0.1	793	972.8995666474403
1908	0.3	32919	40386.98718091688
1908	0.5	9251	11349.677037900972
1908	1	2318	2843.8602717386716
1909	0	48899	59992.20165131549
1909	0.1	795	975.353285604937
1909	0.3	32925	40394.34833778937
1909	0.5	9251	11349.677037900972
1909	1	2310	2834.045395908685
1910	0	48899	59992.20165131549
1910	0.1	797	977.8070045624337
1910	0.3	32939	40411.52437049185
1910	0.5	9247	11344.769599985979
1910	1	2298	2819.323082163705
1911	0	48899	59992.20165131549
1911	0.1	800	981.4875829986787
1911	0.3	32933	40404.16321361936
1911	0.5	9232	11326.366707804753
1911	1	2316	2841.406552781175
1912	0	48899	59992.20165131549
1912	0.1	803	985.1681614349238
1912	0.3	32949	40423.79296527933
1912	0.5	9232	11326.366707804753
1912	1	2297	2818.0962226849565
1913	0	48899	59992.20165131549
1913	0.1	806	988.8487398711688
1913	0.3	32959	40436.06156006682
1913	0.5	9230	11323.912988847256
1913	1	2286	2804.6007684187243
1914	0	48899	59992.20165131549
1914	0.1	811	994.9830372649105
1914	0.3	32952	40427.473543715576
1914	0.5	9229	11322.686129368507
1914	1	2289	2808.28134685497
1915	0	48900	59993.42851079424
1915	0.1	814	998.6636157011557
1915	0.3	32970	40449.55701433305
1915	0.5	9229	11322.686129368507
1915	1	2267	2781.290438322506
1916	0	48899	59992.20165131549
1916	0.1	817	1002.3441941374007
1916	0.3	32966	40444.64957641806
1916	0.5	9220	11311.644394059773
1916	1	2278	2794.7858925887376
1917	0	48899	59992.20165131549
1917	0.1	819	1004.7979130948974
1917	0.3	32960	40437.28841954556
1917	0.5	9223	11315.324972496017
1917	1	2279	2796.012752067486
1918	0	48899	59992.20165131549
1918	0.1	822	1008.4784915311424
1918	0.3	32987	40470.41362547177
1918	0.5	9218	11309.190675102276
1918	1	2254	2765.3412650987775
1919	0	48900	59993.42851079424
1919	0.1	823	1009.7053510098908
1919	0.3	33036	40530.52973993044
1919	0.5	9216	11306.73695614478
1919	1	2205	2705.2251506401085
1920	0	48899	59992.20165131549
1920	0.1	827	1014.6127889248842
1920	0.3	33075	40578.37725960163
1920	0.5	9209	11298.14893979354
1920	1	2170	2662.285068883916
1921	0	48899	59992.20165131549
1921	0.1	829	1017.0665078823808
1921	0.3	33066	40567.33552429289
1921	0.5	9199	11285.880345006057
1921	1	2187	2683.141680022638
1922	0	48899	59992.20165131549
1922	0.1	831	1019.5202268398775
1922	0.3	33079	40583.28469751662
1922	0.5	9202	11289.560923442303
1922	1	2169	2661.058209405168
1923	0	48899	59992.20165131549
1923	0.1	834	1023.2008052761227
1923	0.3	33091	40598.0070112616
1923	0.5	9199	11285.880345006057
1923	1	2157	2646.335895660188
1924	0	48899	59992.20165131549
1924	0.1	837	1026.8813837123676
1924	0.3	33109	40620.090481879066
1924	0.5	9201	11288.334063963553
1924	1	2134	2618.1181276489756
1925	0	48899	59992.20165131549
1925	0.1	839	1029.3351026698645
1925	0.3	33151	40671.6185799865
1925	0.5	9196	11282.199766569813
1925	1	2095	2570.27060797779
1926	0	48899	59992.20165131549
1926	0.1	840	1030.5619621486128
1926	0.3	33118	40631.132217187806
1926	0.5	9188	11272.384890739826
1926	1	2135	2619.344987127724
1927	0	48899	59992.20165131549
1927	0.1	842	1033.0156811061095
1927	0.3	33127	40642.17395249654
1927	0.5	9190	11274.838609697323
1927	1	2122	2603.3958139039955
1928	0	48899	59992.20165131549
1928	0.1	848	1040.3768379785995
1928	0.3	33157	40678.979736858986
1928	0.5	9172	11252.755139079853
1928	1	2104	2581.312343286525
1929	0	48899	59992.20165131549
1929	0.1	848	1040.3768379785995
1929	0.3	33218	40753.818165062636
1929	0.5	9172	11252.755139079853
1929	1	2043	2506.473915082876
1930	0	48899	59992.20165131549
1930	0.1	852	1045.2842758935928
1930	0.3	33263	40809.02684160631
1930	0.5	9173	11253.9819985586
1930	1	1993	2445.1309411454586
1931	0	48899	59992.20165131549
1931	0.1	854	1047.7379948510895
1931	0.3	33252	40795.53138734008
1931	0.5	9170	11250.301420122356
1931	1	2005	2459.8532548904386
1932	0	48899	59992.20165131549
1932	0.1	856	1050.1917138085862
1932	0.3	33260	40805.34626317007
1932	0.5	9174	11255.20885803735
1932	1	1991	2442.677222187962
1933	0	48899	59992.20165131549
1933	0.1	858	1052.6454327660829
1933	0.3	33272	40820.06857691505
1933	0.5	9173	11253.9819985586
1933	1	1978	2426.728048964233
1934	0	48899	59992.20165131549
1934	0.1	860	1055.0991517235796
1934	0.3	33285	40836.01775013878
1934	0.5	9170	11250.301420122356
1934	1	1966	2412.005735219253
1935	0	48899	59992.20165131549
1935	0.1	861	1056.3260112023281
1935	0.3	33305	40860.554939713744
1935	0.5	9170	11250.301420122356
1935	1	1945	2386.241686165538
1936	0	48898	59990.97479183674
1936	0.1	865	1061.2334491173215
1936	0.3	33268	40815.161139000054
1936	0.5	9158	11235.579106377376
1936	1	1991	2442.677222187962
1937	0	48898	59990.97479183674
1937	0.1	867	1063.6871680748181
1937	0.3	33307	40863.00865867124
1937	0.5	9151	11226.991090026137
1937	1	1957	2400.963999910518
1938	0	48898	59990.97479183674
1938	0.1	868	1064.9140275535665
1938	0.3	33340	40903.495021469935
1938	0.5	9149	11224.53737106864
1938	1	1925	2361.7044965905707
1939	0	48898	59990.97479183674
1939	0.1	870	1067.3677465110632
1939	0.3	33347	40912.083037821176
1939	0.5	9150	11225.764230547387
1939	1	1915	2349.4359018030873
1940	0	48898	59990.97479183674
1940	0.1	871	1068.5946059898115
1940	0.3	33362	40930.4859300024
1940	0.5	9147	11222.083652111143
1940	1	1902	2333.486728579359
1941	0	48898	59990.97479183674
1941	0.1	878	1077.1826223410499
1941	0.3	33327	40887.545848246205
1941	0.5	9131	11202.45390045117
1941	1	1946	2387.468545644286
1942	0	48899	59992.20165131549
1942	0.1	880	1079.6363412985465
1942	0.3	33368	40937.84708687489
1942	0.5	9129	11200.000181493673
1942	1	1904	2335.9404475368556
1943	0	48898	59990.97479183674
1943	0.1	883	1083.3169197347918
1943	0.3	33395	40970.972292801096
1943	0.5	9128	11198.773322014924
1943	1	1876	2301.5883821319017
1944	0	48898	59990.97479183674
1944	0.1	883	1083.3169197347918
1944	0.3	33409	40988.14832550357
1944	0.5	9128	11198.773322014924
1944	1	1862	2284.412349429425
1945	0	48897	59989.747932358
1945	0.1	886	1086.9974981710368
1945	0.3	33429	41012.68551507854
1945	0.5	9128	11198.773322014924
1945	1	1840	2257.421440896961
1946	0	48897	59989.747932358
1946	0.1	888	1089.4512171285335
1946	0.3	33416	40996.73634185481
1946	0.5	9119	11187.73158670619
1946	1	1860	2281.9586304719282
1947	0	48897	59989.747932358
1947	0.1	893	1095.5855145222752
1947	0.3	33332	40893.68014563995
1947	0.5	9291	11398.751417050906
1947	1	1767	2167.860698948332
1948	0	48897	59989.747932358
1948	0.1	897	1100.4929524372685
1948	0.3	33205	40737.868991838914
1948	0.5	9434	11574.192322511919
1948	1	1747	2143.3235093733647
1949	0	48897	59989.747932358
1949	0.1	900	1104.1735308735135
1949	0.3	33133	40649.535109369026
1949	0.5	9548	11714.054303089231
1949	1	1702	2088.114832829689
1950	0	48896	59988.521072879244
1950	0.1	907	1112.7615472247521
1950	0.3	32987	40470.41362547177
1950	0.5	9691	11889.495208550245
1950	1	1699	2084.434254393444
1951	0	48898	59990.97479183674
1951	0.1	916	1123.8032825334872
1951	0.3	32786	40223.814870243354
1951	0.5	9883	12125.052228469927
1951	1	1697	2081.9805354359473
1952	0	48898	59990.97479183674
1952	0.1	918	1126.2570014909838
1952	0.3	32666	40076.59173279355
1952	0.5	10023	12296.812555494696
1952	1	1675	2054.9896269034834
1953	0	48896	59988.521072879244
1953	0.1	922	1131.1644394059772
1953	0.3	32600	39995.61900719616
1953	0.5	10169	12475.934039391956
1953	1	1593	1954.387149646119
1954	0	48896	59988.521072879244
1954	0.1	926	1136.0718773209708
1954	0.3	32619	40018.92933729238
1954	0.5	10173	12480.841477306949
1954	1	1566	1921.2619437199137
1955	0	48896	59988.521072879244
1955	0.1	931	1142.2061747147125
1955	0.3	32634	40037.332229473606
1955	0.5	10175	12483.295196264446
1955	1	1544	1894.27103518745
1956	0	48895	59987.2942134005
1956	0.1	938	1150.7941910659508
1956	0.3	32624	40025.06363468612
1956	0.5	10163	12468.572882519466
1956	1	1560	1913.9007868474237
1957	0	48895	59987.2942134005
1957	0.1	940	1153.2479100234475
1957	0.3	32643	40048.37396478234
1957	0.5	10167	12473.480320434459
1957	1	1535	1883.2292998787148
1958	0	48895	59987.2942134005
1958	0.1	943	1156.9284884596925
1958	0.3	32657	40065.54999748481
1958	0.5	10171	12478.387758349452
1958	1	1514	1857.4652508249994
1959	0	48897	59989.747932358
1959	0.1	953	1169.1970832471761
1959	0.3	32983	40465.50618755678
1959	0.5	9855	12090.700163064974
1959	1	1492	1830.4743422925358
1960	0	48901	59994.65537027299
1960	0.1	959	1176.5582401196662
1960	0.3	33292	40844.605766490015
1960	0.5	9291	11398.751417050906
1960	1	1737	2131.0549145858813
1961	0	48901	59994.65537027299
1961	0.1	969	1188.8268349071495
1961	0.3	33426	41009.0049366423
1961	0.5	9166	11245.393982207363
1961	1	1718	2107.7445844896624
1962	0	48901	59994.65537027299
1962	0.1	975	1196.1879917796398
1962	0.3	33589	41208.983031678275
1962	0.5	8999	11040.508449256387
1962	1	1716	2105.2908655321658
1963	0	48901	59994.65537027299
1963	0.1	984	1207.2297270883748
1963	0.3	33872	41556.18426416406
1963	0.5	8569	10512.958873394598
1963	1	1854	2274.597473599438
1964	0	48901	59994.65537027299
1964	0.1	990	1214.5908839608649
1964	0.3	33991	41702.18054213511
1964	0.5	8489	10414.81011509473
1964	1	1809	2219.3887970557626
1965	0	48901	59994.65537027299
1965	0.1	1008	1236.6743545783352
1965	0.3	34268	42042.02061774841
