sit_uid	sit_name	reg_code	sum	count_per_1000m	date	year	week	day_of_year	length_of_transect	lat	lon	site_category	county	corine_1
6	Rökepipan	SGot	3	1.9238896999501	2011/06/28	2011	26	179	1559.34095394233	6170800.35223422	396925.37038342	True	Skåne län	12.0
6	Rökepipan	SGot	1	0.641296566650032	2014/06/07	2014	23	158	1559.34095394233	6170800.35223422	396925.37038342	True	Skåne län	12.0
17	NV Krankesjön	SGot	3	1.78351869211022	2012/07/08	2012	27	190	1682.06815732919	6174534.28923638	404470.209251792	True	Skåne län	18.0
17	NV Krankesjön	SGot	2	1.18901246140681	2013/06/10	2013	24	161	1682.06815732919	6174534.28923638	404470.209251792	True	Skåne län	18.0
17	NV Krankesjön	SGot	2	1.18901246140681	2013/07/12	2013	28	193	1682.06815732919	6174534.28923638	404470.209251792	True	Skåne län	18.0
19	Vankiva skola	SGot	1	0.39112074201698	2014/06/08	2014	23	159	2556.75522306251	6229406.01386371	422621.236525137	True	Skåne län	12.0
32	Gamla Mörtforsvägen	OGot	1	0.520158788555933	2012/07/03	2012	27	185	1922.48986655826	6374558.72244457	589130.264321542	True	Kalmar län	24.0
32	Gamla Mörtforsvägen	OGot	2	1.04031757711187	2013/06/17	2013	25	168	1922.48986655826	6374558.72244457	589130.264321542	True	Kalmar län	24.0
32	Gamla Mörtforsvägen	OGot	1	0.520158788555933	2014/07/20	2014	29	201	1922.48986655826	6374558.72244457	589130.264321542	True	Kalmar län	24.0
32	Gamla Mörtforsvägen	OGot	1	0.520158788555933	2015/08/01	2015	31	213	1922.48986655826	6374558.72244457	589130.264321542	True	Kalmar län	24.0
37	Lammakulla Mellangård	OGot	3	0.986404207869197	2010/07/04	2010	26	185	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	2	0.657602805246131	2011/06/03	2011	22	154	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	1	0.328801402623066	2011/06/26	2011	25	177	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	1	0.328801402623066	2012/06/20	2012	25	172	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	2	0.657602805246131	2012/06/26	2012	26	178	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	2	0.657602805246131	2013/06/11	2013	24	162	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	2	0.657602805246131	2013/06/15	2013	24	166	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	6	1.97280841573839	2013/06/24	2013	26	175	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	22	7.23363085770745	2014/06/08	2014	23	159	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	7	2.30160981836146	2014/06/25	2014	26	176	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	2	0.657602805246131	2014/07/05	2014	27	186	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	5	1.64400701311533	2015/07/01	2015	27	182	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	7	2.30160981836146	2015/07/16	2015	29	197	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	26	8.54883646819971	2016/06/20	2016	25	172	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
37	Lammakulla Mellangård	OGot	6	1.97280841573839	2017/06/28	2017	26	179	3041.34955636545	6289876.47019509	451608.484145214	True	Kronobergs län	18.0
