method	habitat	n_records	n_sites	q05	q25	median	mean	q75	q95	max
Point site	Cropland	105	43	509.294626941686	509.294626941686	509.294626941686	805.1705530697129	1018.589253883372	1527.883880825058	5092.94626941686
Point site	Forest	190	71	509.294626941686	509.294626941686	509.294626941686	780.02492863174	1018.589253883372	1527.883880825058	3055.76776165012
Point site	Grassland	4	4	509.294626941686	509.294626941686	509.294626941686	509.294626941686	509.294626941686	509.294626941686	509.294626941686
Point site	Other	3	2	560.2240896358546	763.941940412529	1018.589253883372	1188.3541295305993	1527.883880825056	1935.319582378403	2037.17850776674
Point site	Urban	114	25	509.294626941686	509.294626941686	509.294626941686	714.7994764093836	1018.589253883372	1527.883880825058	2546.47313470842
Transect segment	Cropland	271	61	256.040560531946	494.203214323956	833.469368324956	1099.020546567172	1252.278753553503	2885.4983754876	11363.76028799092
Transect segment	Forest	445	85	96.92001518295116	486.15430351873005	865.305797450308	1338.543387528941	1543.73764646213	4214.359282899003	17752.9829343145
Transect segment	Grassland	175	37	185.1069574391314	515.374070609304	840.1595679249841	1288.8307702946956	1529.428075292941	3334.652236545391	10927.035793847099
Transect segment	Other	11	7	70.3763858725995	376.492448776567	923.598935672064	902.5499494175511	1472.195614219276	1693.904953037741	1915.6142918562061
Transect segment	Urban	66	16	318.86065631240996	865.7285428337459	1415.996730101119	2009.4243484772683	2382.26927213124	5669.140787817534	12023.12317978096
