landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_FROH	median_draw_FROH	sd_sampling	q025_sampling	q975_sampling	min_draw_FROH	max_draw_FROH	empirical_FROH
full	Kexp1p3_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.0378951690380371	0.0182177557844038	0.0580952062548385	0.00624735320019446	0.207940935787863	0.00114860407376688	0.29973988188676	0.0082
full	Kexp1p3_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.0358745535813202	0.0230960227489593	0.0379726668166935	0.00723488397569022	0.150732070854308	0.00615397837439892	0.197507590931715	0.0084
full	Kexp1p3_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.0257506178211923	0.0252634513882099	0.0116893156258223	0.0063694893210986	0.0548735992175023	0.00319346852161772	0.0649741093047683	0.016125
full	Kexp1p3_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.0396098741098751	0.0376157696265824	0.0187900596313728	0.0128463362249275	0.0804892910095639	0.00718830463759973	0.0925082499316412	0.1537142857
full	Kexp1p3_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.0307204652727625	0.0222582938569763	0.0232034555637477	0.0105462578187668	0.0987176485101508	0.00560210993013022	0.103427261316207	0.061375
full	Kexp1p3_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.0216263949203756	0.0145296752244869	0.0269265232351315	0.00704541760492901	0.129667606568861	0.00574515862308615	0.172082074461967	0.0082
full	Kexp1p3_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.0228794895914793	0.0176402876850655	0.0181548093035355	0.004290038643006	0.0799755688957139	0.00279470863677563	0.11256012096941	0.0084
full	Kexp1p3_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.0511176105561377	0.0361998729804666	0.0436447694044563	0.00741766404090078	0.168357282684804	0.00702896854178652	0.186022483743457	0.016125
full	Kexp1p3_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.0265890350513808	0.0261407411196615	0.00788543531073253	0.0133199645220973	0.0434551180543232	0.0077485670948067	0.0461607921598938	0.1537142857
full	Kexp1p3_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.0292130928664998	0.0200576544879658	0.025052745604403	0.00722895696990572	0.101017750273493	0.00589839888657899	0.123306330900837	0.061375
full	Kexp1p3_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.0244467264541149	0.0165910659502172	0.0308244679821626	0.00749807182664605	0.129004075027105	0.00497000530276725	0.192959420840924	0.0082
full	Kexp1p3_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.0224313830853449	0.0189246037605694	0.0169132847980668	0.00466160990195587	0.07955799185697	0.00342541100319814	0.0933167313901767	0.0084
full	Kexp1p3_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.0320754773149043	0.020651723755731	0.0327853175625429	0.00750744489514781	0.118724078509259	0.00508819937247919	0.139695184625601	0.016125
full	Kexp1p3_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.0360556287871975	0.02216967906331	0.0272311777365969	0.00646942566099743	0.0927792173979108	0.00306980412167027	0.120864445283169	0.1537142857
full	Kexp1p3_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.0249515661524475	0.019793687904438	0.0167691761090651	0.00890473336150251	0.0697746757123085	0.00781866354047697	0.0951522367301568	0.061375
full	Kexp1p3_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.0231215835642416	0.0182952287645399	0.0163286213345353	0.00574945010969915	0.0642998327771548	0.00554264425301043	0.0918737816405461	0.0082
