landscape	model	comparison	n_reps	mean_historical_FROH	mean_modern_FROH	mean_delta_FROH	sd_delta_FROH	min_delta_FROH	max_delta_FROH	empirical_historical_FROH	empirical_modern_FROH	empirical_delta_FROH	error_delta_FROH
full	Kexp1p3_D120	E_Skane	5	0.0275238569313707	0.0464945953816084	0.0189707384502377	0.0220454654740191	-0.010123935760128	0.0493537727068786	0.0084	0.016125	0.007725	0.0112457384502377
full	Kexp1p3_D120	Ehist_to_SEmodern	5	0.0275238569313707	0.0355121326339191	0.00798827570254841	0.00890932641776679	-0.00163528219271082	0.0205075490151439	0.0084	0.1537142857	0.1453142857	-0.137326009997452
full	Kexp1p3_D120	W_Skane	5	0.0270324516236761	0.0296343522863748	0.00260190066269872	0.0091445396897096	-0.00717470376527461	0.0156882823899423	0.0082	0.061375	0.053175	-0.0505730993373013
no_oland	Kexp1p2_D120	E_Skane	5	0.0244783754060682	0.0279138344611075	0.00343545905503934	0.00795500115800001	-0.0096544528060171	0.0110668943029418	0.0084	0.016125	0.007725	-0.00428954094496066
no_oland	Kexp1p2_D120	Ehist_to_SEmodern	5	0.0244783754060682	0.0357469435857917	0.0112685681797236	0.0181137988808842	-0.0037065229069193	0.0420157932580548	0.0084	0.1537142857	0.1453142857	-0.134045717520276
no_oland	Kexp1p2_D120	W_Skane	5	0.0200195978129688	0.0283233540774985	0.00830375626452973	0.0145360277595329	-0.00514403964984488	0.0289347508357914	0.0082	0.061375	0.053175	-0.0448712437354703
no_oland	Kexp1p3_D120	E_Skane	5	0.0193837008522389	0.0400273890484918	0.0206436881962529	0.00825276551534409	0.0140407884652443	0.0342952782826864	0.0084	0.016125	0.007725	0.0129186881962529
no_oland	Kexp1p3_D120	Ehist_to_SEmodern	5	0.0193837008522389	0.0332254238017345	0.0138417229494955	0.0050390986275991	0.00637465332593755	0.0200784515450374	0.0084	0.1537142857	0.1453142857	-0.131472562750505
no_oland	Kexp1p3_D120	W_Skane	5	0.0222838287291399	0.022522100290942	0.000238271561802083	0.0050828727902087	-0.00784316731441826	0.00380623540247652	0.0082	0.061375	0.053175	-0.0529367284381979
skane_only	Kexp1p2_D120	E_Skane	5	0.0252771620759019	0.0297060292158872	0.00442886713998525	0.00341559845779594	0.00051786022056351	0.00820971606462672	0.0084	0.016125	0.007725	-0.00329613286001475
skane_only	Kexp1p2_D120	Ehist_to_SEmodern	5	0.0252771620759019	0.0337179408157047	0.00844077873980281	0.0123034961845434	-0.00369573989289531	0.023783252884284	0.0084	0.1537142857	0.1453142857	-0.136873506960197
skane_only	Kexp1p2_D120	W_Skane	5	0.0190332013348698	0.0197840443002896	0.000750842965419837	0.00970256334600842	-0.00550607098931808	0.0178149305953143	0.0082	0.061375	0.053175	-0.0524241570345802
skane_only	Kexp1p3_D120	E_Skane	5	0.0280132598620909	0.0413495268518509	0.01333626698976	0.0131129067157128	-0.00448054473989714	0.0288191030059568	0.0084	0.016125	0.007725	0.00561126698975998
skane_only	Kexp1p3_D120	Ehist_to_SEmodern	5	0.0280132598620909	0.0461260383417615	0.0181127784796707	0.0275718747784615	-0.0116352852621165	0.0451043024117789	0.0084	0.1537142857	0.1453142857	-0.127201507220329
skane_only	Kexp1p3_D120	W_Skane	5	0.0148900221567558	0.0219361982247428	0.00704617606798698	0.00650866382257976	-0.00151509637199714	0.0166384388956919	0.0082	0.061375	0.053175	-0.046128823932013
skane_only	Kexp1p5_D120	E_Skane	5	0.0277928979279542	0.0434123807193717	0.0156194827914176	0.0327016975817058	-0.0127689440546434	0.0695623183226335	0.0084	0.016125	0.007725	0.00789448279141758
skane_only	Kexp1p5_D120	Ehist_to_SEmodern	5	0.0277928979279542	0.0403690391173104	0.0125761411893562	0.0103854867618258	0.0010813810935515	0.0266834820073025	0.0084	0.1537142857	0.1453142857	-0.132738144510644
skane_only	Kexp1p5_D120	W_Skane	5	0.0275075089962916	0.027702830007909	0.000195321011617379	0.00768025573235819	-0.0104305081055073	0.00850065956621638	0.0082	0.061375	0.053175	-0.0529796789883826
