landscape	model	rep	comparison	simulation_hist_year	simulation_modern_year	historical_FROH	modern_FROH	delta_FROH	empirical_historical_FROH	empirical_modern_FROH	empirical_delta_FROH	delta_error
full	Kexp1p3_D120	rep001	W_Skane	1951	2020	0.0378951690380371	0.0307204652727625	-0.00717470376527461	0.0082	0.061375	0.053175	-0.0603497037652746
full	Kexp1p3_D120	rep001	E_Skane	1956	2020	0.0358745535813202	0.0257506178211923	-0.010123935760128	0.0084	0.016125	0.007725	-0.017848935760128
full	Kexp1p3_D120	rep001	Ehist_to_SEmodern	1956	2020	0.0358745535813202	0.0396098741098751	0.00373532052855489	0.0084	0.1537142857	0.1453142857	-0.141578965171445
full	Kexp1p3_D120	rep002	W_Skane	1951	2020	0.0216263949203756	0.0292130928664998	0.00758669794612417	0.0082	0.061375	0.053175	-0.0455883020538758
full	Kexp1p3_D120	rep002	E_Skane	1956	2020	0.0228794895914793	0.0511176105561377	0.0282381209646584	0.0084	0.016125	0.007725	0.0205131209646584
full	Kexp1p3_D120	rep002	Ehist_to_SEmodern	1956	2020	0.0228794895914793	0.0265890350513808	0.00370954545990149	0.0084	0.1537142857	0.1453142857	-0.141604740240099
full	Kexp1p3_D120	rep003	W_Skane	1951	2020	0.0244467264541149	0.0249515661524475	0.000504839698332614	0.0082	0.061375	0.053175	-0.0526701603016674
full	Kexp1p3_D120	rep003	E_Skane	1956	2020	0.0224313830853449	0.0320754773149043	0.00964409422955936	0.0084	0.016125	0.007725	0.00191909422955936
full	Kexp1p3_D120	rep003	Ehist_to_SEmodern	1956	2020	0.0224313830853449	0.0360556287871975	0.0136242457018526	0.0084	0.1537142857	0.1453142857	-0.131690039998147
full	Kexp1p3_D120	rep004	W_Skane	1951	2020	0.0231215835642416	0.0388098659541838	0.0156882823899423	0.0082	0.061375	0.053175	-0.0374867176100577
full	Kexp1p3_D120	rep004	E_Skane	1956	2020	0.0295146052320396	0.0788683779389181	0.0493537727068786	0.0084	0.016125	0.007725	0.0416287727068786
full	Kexp1p3_D120	rep004	Ehist_to_SEmodern	1956	2020	0.0295146052320396	0.0278793230393288	-0.00163528219271082	0.0084	0.1537142857	0.1453142857	-0.146949567892711
full	Kexp1p3_D120	rep005	W_Skane	1951	2020	0.0280723841416115	0.0244767711859807	-0.00359561295563086	0.0082	0.061375	0.053175	-0.0567706129556309
full	Kexp1p3_D120	rep005	E_Skane	1956	2020	0.0269192531666693	0.0446608932768896	0.0177416401102203	0.0084	0.016125	0.007725	0.0100166401102203
full	Kexp1p3_D120	rep005	Ehist_to_SEmodern	1956	2020	0.0269192531666693	0.0474268021818133	0.0205075490151439	0.0084	0.1537142857	0.1453142857	-0.124806736684856
no_oland	Kexp1p2_D120	rep001	W_Skane	1951	2020	0.0181264391057986	0.021774287805097	0.00364784869929839	0.0082	0.061375	0.053175	-0.0495271513007016
no_oland	Kexp1p2_D120	rep001	E_Skane	1956	2020	0.0269909296184316	0.0352487710977648	0.00825784147933313	0.0084	0.016125	0.007725	0.000532841479333133
no_oland	Kexp1p2_D120	rep001	Ehist_to_SEmodern	1956	2020	0.0269909296184316	0.0232844067115123	-0.0037065229069193	0.0084	0.1537142857	0.1453142857	-0.149020808606919
no_oland	Kexp1p2_D120	rep002	W_Skane	1951	2020	0.0169287057999217	0.0458634566357131	0.0289347508357914	0.0082	0.061375	0.053175	-0.0242402491642086
no_oland	Kexp1p2_D120	rep002	E_Skane	1956	2020	0.023575130532933	0.0275358769623712	0.00396074642943821	0.0084	0.016125	0.007725	-0.00376425357056179
no_oland	Kexp1p2_D120	rep002	Ehist_to_SEmodern	1956	2020	0.023575130532933	0.0655909237909879	0.0420157932580548	0.0084	0.1537142857	0.1453142857	-0.103298492441945
no_oland	Kexp1p2_D120	rep003	W_Skane	1951	2020	0.0171990638784864	0.0138991507876755	-0.00329991309081088	0.0082	0.061375	0.053175	-0.0564749130908109
no_oland	Kexp1p2_D120	rep003	E_Skane	1956	2020	0.0205314178500535	0.0240776837195542	0.00354626586950069	0.0084	0.016125	0.007725	-0.00417873413049931
no_oland	Kexp1p2_D120	rep003	Ehist_to_SEmodern	1956	2020	0.0205314178500535	0.0271433610123632	0.00661194316230966	0.0084	0.1537142857	0.1453142857	-0.13870234253769
no_oland	Kexp1p2_D120	rep004	W_Skane	1951	2020	0.0150060181527456	0.0323861526809602	0.0173801345282146	0.0082	0.061375	0.053175	-0.0357948654717854
no_oland	Kexp1p2_D120	rep004	E_Skane	1956	2020	0.0238311212989802	0.0348980156019219	0.0110668943029418	0.0084	0.016125	0.007725	0.00334189430294178
no_oland	Kexp1p2_D120	rep004	Ehist_to_SEmodern	1956	2020	0.0238311212989802	0.0349885949812428	0.0111574736822626	0.0084	0.1537142857	0.1453142857	-0.134156812017737
no_oland	Kexp1p2_D120	rep005	W_Skane	1951	2020	0.0328377621278915	0.0276937224780466	-0.00514403964984488	0.0082	0.061375	0.053175	-0.0583190396498449
no_oland	Kexp1p2_D120	rep005	E_Skane	1956	2020	0.0274632777299425	0.0178088249239254	-0.0096544528060171	0.0084	0.016125	0.007725	-0.0173794528060171
no_oland	Kexp1p2_D120	rep005	Ehist_to_SEmodern	1956	2020	0.0274632777299425	0.0277274314328525	0.000264153702910001	0.0084	0.1537142857	0.1453142857	-0.14505013199709
no_oland	Kexp1p3_D120	rep001	W_Skane	1951	2020	0.0308872518676024	0.0291171551053997	-0.00177009676220273	0.0082	0.061375	0.053175	-0.0549450967622027
no_oland	Kexp1p3_D120	rep001	E_Skane	1956	2020	0.0195837721790293	0.0367121083786047	0.0171283361995754	0.0084	0.016125	0.007725	0.00940333619957536
no_oland	Kexp1p3_D120	rep001	Ehist_to_SEmodern	1956	2020	0.0195837721790293	0.0259584255049669	0.00637465332593755	0.0084	0.1537142857	0.1453142857	-0.138939632374062
no_oland	Kexp1p3_D120	rep002	W_Skane	1951	2020	0.0189152952270601	0.0227215306295367	0.00380623540247652	0.0082	0.061375	0.053175	-0.0493687645975235
no_oland	Kexp1p3_D120	rep002	E_Skane	1956	2020	0.0269336014724825	0.0423560280228033	0.0154224265503208	0.0084	0.016125	0.007725	0.00769742655032083
no_oland	Kexp1p3_D120	rep002	Ehist_to_SEmodern	1956	2020	0.0269336014724825	0.0427740787627061	0.0158404772902236	0.0084	0.1537142857	0.1453142857	-0.129473808409776
no_oland	Kexp1p3_D120	rep003	W_Skane	1951	2020	0.0182734209470101	0.0218008913808676	0.00352747043385747	0.0082	0.061375	0.053175	-0.0496475295661425
no_oland	Kexp1p3_D120	rep003	E_Skane	1956	2020	0.0207714061072157	0.0431030175906533	0.0223316114834376	0.0084	0.016125	0.007725	0.0146066114834376
no_oland	Kexp1p3_D120	rep003	Ehist_to_SEmodern	1956	2020	0.0207714061072157	0.0353747625185693	0.0146033564113536	0.0084	0.1537142857	0.1453142857	-0.130710929288646
no_oland	Kexp1p3_D120	rep004	W_Skane	1951	2020	0.0221795521018445	0.0143363847874263	-0.00784316731441826	0.0082	0.061375	0.053175	-0.0610181673144183
no_oland	Kexp1p3_D120	rep004	E_Skane	1956	2020	0.0156467143270111	0.0296875027922553	0.0140407884652443	0.0084	0.016125	0.007725	0.00631578846524425
no_oland	Kexp1p3_D120	rep004	Ehist_to_SEmodern	1956	2020	0.0156467143270111	0.0357251658720484	0.0200784515450374	0.0084	0.1537142857	0.1453142857	-0.125235834154963
no_oland	Kexp1p3_D120	rep005	W_Skane	1951	2020	0.0211636235021826	0.02463453955148	0.0034709160492974	0.0082	0.061375	0.053175	-0.0497040839507026
no_oland	Kexp1p3_D120	rep005	E_Skane	1956	2020	0.0139830101754562	0.0482782884581426	0.0342952782826864	0.0084	0.016125	0.007725	0.0265702782826864
no_oland	Kexp1p3_D120	rep005	Ehist_to_SEmodern	1956	2020	0.0139830101754562	0.0262946863503817	0.0123116761749255	0.0084	0.1537142857	0.1453142857	-0.133002609525075
skane_only	Kexp1p2_D120	rep001	W_Skane	1951	2020	0.0210464983013533	0.0165601573946229	-0.00448634090673033	0.0082	0.061375	0.053175	-0.0576613409067303
skane_only	Kexp1p2_D120	rep001	E_Skane	1956	2020	0.0287068436376787	0.0363442470424302	0.00763740340475153	0.0084	0.016125	0.007725	-8.75965952484726e-05
skane_only	Kexp1p2_D120	rep001	Ehist_to_SEmodern	1956	2020	0.0287068436376787	0.0305788447573035	0.00187200111962475	0.0084	0.1537142857	0.1453142857	-0.143442284580375
skane_only	Kexp1p2_D120	rep002	W_Skane	1951	2020	0.016313693158139	0.0341286237534533	0.0178149305953143	0.0082	0.061375	0.053175	-0.0353600694046857
skane_only	Kexp1p2_D120	rep002	E_Skane	1956	2020	0.0195505605454181	0.0277602766100448	0.00820971606462672	0.0084	0.016125	0.007725	0.000484716064626715
skane_only	Kexp1p2_D120	rep002	Ehist_to_SEmodern	1956	2020	0.0195505605454181	0.0203449866640594	0.000794426118641386	0.0084	0.1537142857	0.1453142857	-0.144519859581359
skane_only	Kexp1p2_D120	rep003	W_Skane	1951	2020	0.0199177312357989	0.0144116602464808	-0.00550607098931808	0.0082	0.061375	0.053175	-0.0586810709893181
skane_only	Kexp1p2_D120	rep003	E_Skane	1956	2020	0.0312015245236329	0.0330808693568488	0.0018793448332159	0.0084	0.016125	0.007725	-0.0058456551667841
skane_only	Kexp1p2_D120	rep003	Ehist_to_SEmodern	1956	2020	0.0312015245236329	0.0275057846307375	-0.00369573989289531	0.0084	0.1537142857	0.1453142857	-0.149010025592895
skane_only	Kexp1p2_D120	rep004	W_Skane	1951	2020	0.0231819588774454	0.0224296795836334	-0.000752279293812087	0.0082	0.061375	0.053175	-0.0539272792938121
skane_only	Kexp1p2_D120	rep004	E_Skane	1956	2020	0.0226679940370597	0.0265680052138283	0.00390001117676861	0.0084	0.016125	0.007725	-0.00382498882323139
skane_only	Kexp1p2_D120	rep004	Ehist_to_SEmodern	1956	2020	0.0226679940370597	0.0464512469213437	0.023783252884284	0.0084	0.1537142857	0.1453142857	-0.121531032815716
skane_only	Kexp1p2_D120	rep005	W_Skane	1951	2020	0.0147061251016123	0.0113901005232577	-0.0033160245783546	0.0082	0.061375	0.053175	-0.0564910245783546
skane_only	Kexp1p2_D120	rep005	E_Skane	1956	2020	0.0242588876357204	0.0247767478562839	0.00051786022056351	0.0084	0.016125	0.007725	-0.00720713977943649
skane_only	Kexp1p2_D120	rep005	Ehist_to_SEmodern	1956	2020	0.0242588876357204	0.0437088411050796	0.0194499534693592	0.0084	0.1537142857	0.1453142857	-0.125864332230641
skane_only	Kexp1p3_D120	rep001	W_Skane	1951	2020	0.0201192284372941	0.0186041320652969	-0.00151509637199714	0.0082	0.061375	0.053175	-0.0546900963719971
skane_only	Kexp1p3_D120	rep001	E_Skane	1956	2020	0.0380161981539841	0.045823274758079	0.00780707660409485	0.0084	0.016125	0.007725	8.20766040948526e-05
skane_only	Kexp1p3_D120	rep001	Ehist_to_SEmodern	1956	2020	0.0380161981539841	0.0263809128918676	-0.0116352852621165	0.0084	0.1537142857	0.1453142857	-0.156949570962117
skane_only	Kexp1p3_D120	rep002	W_Skane	1951	2020	0.0128828152482733	0.0188743152098725	0.00599149996159922	0.0082	0.061375	0.053175	-0.0471835000384008
skane_only	Kexp1p3_D120	rep002	E_Skane	1956	2020	0.0164459924234524	0.0452650954294092	0.0288191030059568	0.0084	0.016125	0.007725	0.0210941030059568
skane_only	Kexp1p3_D120	rep002	Ehist_to_SEmodern	1956	2020	0.0164459924234524	0.0615502948352313	0.0451043024117789	0.0084	0.1537142857	0.1453142857	-0.100209983288221
skane_only	Kexp1p3_D120	rep003	W_Skane	1951	2020	0.011321623550629	0.0279600624463209	0.0166384388956919	0.0082	0.061375	0.053175	-0.0365365611043081
skane_only	Kexp1p3_D120	rep003	E_Skane	1956	2020	0.0432610132360521	0.066408899922935	0.023147886686883	0.0084	0.016125	0.007725	0.015422886686883
