landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_FROH	median_draw_FROH	sd_sampling	q025_sampling	q975_sampling	min_draw_FROH	max_draw_FROH	empirical_FROH
full	Kexp1p3_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.0372895580006372	0.0168924461726772	0.0581866024002372	0.00585312083631152	0.207252924333845	0.00114860407376688	0.29973988188676	0.0082
full	Kexp1p3_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.0353182060625293	0.022495281766388	0.0381369376034029	0.00607144950757916	0.150046895427849	0.00418911898191827	0.197507590931715	0.0084
full	Kexp1p3_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.0250189021804977	0.0241501452954094	0.0115966719285776	0.0063694893210986	0.0545373576065993	0.00178537773939938	0.0634733866626339	0.016125
full	Kexp1p3_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.0389636547909368	0.0367719081026135	0.0188740446883351	0.0111387950352924	0.0796305375186775	0.00718830463759973	0.0925082499316412	0.1537142857
full	Kexp1p3_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.0302712727374804	0.0214766399080158	0.0232192129415342	0.00978609083944505	0.0985221134871731	0.00560210993013022	0.102167221399029	0.061375
full	Kexp1p3_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.0210412030748096	0.0139485400707555	0.0269348558852578	0.00664410834255391	0.12898996771391	0.00420138037224114	0.172082074461967	0.0082
full	Kexp1p3_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.0222472369390756	0.017569053862263	0.0180237669543842	0.00368622095015032	0.0792991861360137	0.00151961701077324	0.109692567071845	0.0084
full	Kexp1p3_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.0504150499346928	0.0354501863199348	0.0435877650802699	0.00715119685553701	0.167948956500936	0.00661525637177816	0.184048969327879	0.016125
full	Kexp1p3_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.026164037392356	0.0258005941557793	0.00795675090189113	0.0120184147666215	0.0434273150308066	0.00696808215777862	0.0461607921598938	0.1537142857
full	Kexp1p3_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.0288379904536761	0.0197922094617338	0.025121649913418	0.00713524968818417	0.100261674028924	0.00589839888657899	0.123306330900837	0.061375
full	Kexp1p3_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.0240207522223512	0.0160973668018673	0.0308331089829978	0.00639861841918037	0.129004075027105	0.00490755175104688	0.191709740352406	0.0082
full	Kexp1p3_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.0221191016914986	0.0185256024182726	0.0170310458648815	0.0041765513150806	0.07955799185697	0.00342541100319814	0.0933167313901767	0.0084
full	Kexp1p3_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.0312823084277845	0.0199079089014853	0.0325996547551111	0.00750744489514781	0.117104638209188	0.00348374040994259	0.138564957142722	0.016125
full	Kexp1p3_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.0354945431980225	0.0216711146118077	0.0272212875807137	0.00594593298691991	0.0923055811689835	0.00114321343002522	0.120864445283169	0.1537142857
full	Kexp1p3_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.0241946367366852	0.0192296587847206	0.0167090750770967	0.00766772180346355	0.0681932323581499	0.00673800585272211	0.0954901545012654	0.061375
full	Kexp1p3_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.0224851250586922	0.0172911169635922	0.0163007743447817	0.00568073544996745	0.0627241431475484	0.00369218662786407	0.0918737816405461	0.0082
full	Kexp1p3_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.0289288954537771	0.0198764419593867	0.0319784282119093	0.00704374160612541	0.161319104026018	0.00384223629579163	0.172359479379508	0.0084
full	Kexp1p3_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.0778728819726522	0.0532714476585573	0.0679454377280121	0.00988093568275826	0.242681714747172	0.00706969350501139	0.31773452323567	0.016125
full	Kexp1p3_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.027439829669234	0.0249568617534439	0.015211370848003	0.00556823154929514	0.0584048519615675	0.00465959394433705	0.0672109387007735	0.1537142857
