landscape	model	comparison	n_reps	mean_historical_FROH	mean_modern_FROH	mean_delta_FROH	sd_delta_FROH	min_delta_FROH	max_delta_FROH	empirical_historical_FROH	empirical_modern_FROH	empirical_delta_FROH	error_delta_FROH
full	Kexp1p3_D120	E_Skane	5	0.0269602344931503	0.0457448546449364	0.0187846201517861	0.022004424902754	-0.0102993038820316	0.0489439865188751	0.0084	0.016125	0.007725	0.0110596201517861
full	Kexp1p3_D120	Ehist_to_SEmodern	5	0.0269602344931503	0.0349856570730252	0.00802542257987488	0.00887853031881007	-0.00148906578454309	0.0206784879957056	0.0084	0.1537142857	0.1453142857	-0.137288863120125
full	Kexp1p3_D120	W_Skane	5	0.0264073230559744	0.0290797533714821	0.00267243031550768	0.00900302067428035	-0.00701828526315684	0.0155013698126739	0.0082	0.061375	0.053175	-0.0505025696844923
no_oland	Kexp1p2_D120	E_Skane	5	0.0239753656169439	0.027309113007202	0.00333374739025811	0.00815954792644863	-0.0100650431119057	0.0113997930645052	0.0084	0.016125	0.007725	-0.0043912526097419
no_oland	Kexp1p2_D120	Ehist_to_SEmodern	5	0.0239753656169439	0.0352901629391797	0.0113147973222357	0.0179487150118256	-0.00361749616728253	0.0416671332974936	0.0084	0.1537142857	0.1453142857	-0.133999488377764
no_oland	Kexp1p2_D120	W_Skane	5	0.0195349069128572	0.0279896216162837	0.00845471470342645	0.0145623625217081	-0.00522927892178686	0.0292738590696249	0.0082	0.061375	0.053175	-0.0447202852965735
no_oland	Kexp1p3_D120	E_Skane	5	0.0188544851974701	0.0394141643797934	0.0205596791823233	0.00842149449682719	0.0138744850693814	0.0348151021592288	0.0084	0.016125	0.007725	0.0128346791823233
no_oland	Kexp1p3_D120	Ehist_to_SEmodern	5	0.0188544851974701	0.0326195190015507	0.0137650338040806	0.00498471686236797	0.00626302913464386	0.0198135417943818	0.0084	0.1537142857	0.1453142857	-0.131549251895919
no_oland	Kexp1p3_D120	W_Skane	5	0.021804196938588	0.0220272843824957	0.00022308744390763	0.00515869354351133	-0.00794787703116723	0.0044350451427308	0.0082	0.061375	0.053175	-0.0529519125560924
skane_only	Kexp1p2_D120	E_Skane	5	0.0249047806561745	0.029321405786994	0.00441662513081958	0.00311192501049012	0.000470574445103657	0.00783846071466551	0.0084	0.016125	0.007725	-0.00330837486918042
skane_only	Kexp1p2_D120	Ehist_to_SEmodern	5	0.0249047806561745	0.0334581458016842	0.00855336514550979	0.0124279568274116	-0.00326160569037711	0.0243015060090663	0.0084	0.1537142857	0.1453142857	-0.13676092055449
skane_only	Kexp1p2_D120	W_Skane	5	0.018564146465458	0.0192563387359374	0.000692192270479456	0.00983434397423702	-0.0057864408623693	0.0179646165663366	0.0082	0.061375	0.053175	-0.0524828077295205
skane_only	Kexp1p3_D120	E_Skane	5	0.0274162313640683	0.040945509043705	0.0135292776796367	0.0130179320837093	-0.00407534249900668	0.0289821891813735	0.0084	0.016125	0.007725	0.00580427767963673
skane_only	Kexp1p3_D120	Ehist_to_SEmodern	5	0.0274162313640683	0.0453927289453656	0.0179764975812972	0.0276149791347857	-0.0113453384430379	0.04545707156872	0.0084	0.1537142857	0.1453142857	-0.127337788118703
skane_only	Kexp1p3_D120	W_Skane	5	0.0144232714370706	0.0216089582187702	0.00718568678169958	0.00662124245886492	-0.00154129296929088	0.0169598205498526	0.0082	0.061375	0.053175	-0.0459893132183004
skane_only	Kexp1p5_D120	E_Skane	5	0.0272652909014854	0.043220439861625	0.0159551489601396	0.0327415447948417	-0.0125990265829938	0.0699176316701072	0.0084	0.016125	0.007725	0.00823014896013957
skane_only	Kexp1p5_D120	Ehist_to_SEmodern	5	0.0272652909014854	0.0399979251850514	0.012732634283566	0.0105429655174812	0.0010954068166321	0.0270822446295232	0.0084	0.1537142857	0.1453142857	-0.132581651416434
skane_only	Kexp1p5_D120	W_Skane	5	0.0269075277654122	0.0271292328718475	0.000221705106435219	0.00738133434746843	-0.0101395166868794	0.00832079602299171	0.0082	0.061375	0.053175	-0.0529532948935648
