landscape	model	rep	comparison	simulation_hist_year	simulation_modern_year	historical_FROH	modern_FROH	delta_FROH	empirical_historical_FROH	empirical_modern_FROH	empirical_delta_FROH	delta_error
full	Kexp1p3_D120	rep001	W_Skane	1951	2020	0.0372895580006372	0.0302712727374804	-0.00701828526315684	0.0082	0.061375	0.053175	-0.0601932852631568
full	Kexp1p3_D120	rep001	E_Skane	1956	2020	0.0353182060625293	0.0250189021804977	-0.0102993038820316	0.0084	0.016125	0.007725	-0.0180243038820316
full	Kexp1p3_D120	rep001	Ehist_to_SEmodern	1956	2020	0.0353182060625293	0.0389636547909368	0.00364544872840756	0.0084	0.1537142857	0.1453142857	-0.141668836971592
full	Kexp1p3_D120	rep002	W_Skane	1951	2020	0.0210412030748096	0.0288379904536761	0.00779678737886648	0.0082	0.061375	0.053175	-0.0453782126211335
full	Kexp1p3_D120	rep002	E_Skane	1956	2020	0.0222472369390756	0.0504150499346928	0.0281678129956172	0.0084	0.016125	0.007725	0.0204428129956172
full	Kexp1p3_D120	rep002	Ehist_to_SEmodern	1956	2020	0.0222472369390756	0.026164037392356	0.0039168004532804	0.0084	0.1537142857	0.1453142857	-0.14139748524672
full	Kexp1p3_D120	rep003	W_Skane	1951	2020	0.0240207522223512	0.0241946367366852	0.000173884514334029	0.0082	0.061375	0.053175	-0.053001115485666
full	Kexp1p3_D120	rep003	E_Skane	1956	2020	0.0221191016914986	0.0312823084277845	0.00916320673628597	0.0084	0.016125	0.007725	0.00143820673628597
full	Kexp1p3_D120	rep003	Ehist_to_SEmodern	1956	2020	0.0221191016914986	0.0354945431980225	0.0133754415065239	0.0084	0.1537142857	0.1453142857	-0.131938844193476
full	Kexp1p3_D120	rep004	W_Skane	1951	2020	0.0224851250586922	0.0379864948713662	0.0155013698126739	0.0082	0.061375	0.053175	-0.0376736301873261
full	Kexp1p3_D120	rep004	E_Skane	1956	2020	0.0289288954537771	0.0778728819726522	0.0489439865188751	0.0084	0.016125	0.007725	0.0412189865188751
full	Kexp1p3_D120	rep004	Ehist_to_SEmodern	1956	2020	0.0289288954537771	0.027439829669234	-0.00148906578454309	0.0084	0.1537142857	0.1453142857	-0.146803351484543
full	Kexp1p3_D120	rep005	W_Skane	1951	2020	0.0271999769233816	0.0241083720582024	-0.0030916048651792	0.0082	0.061375	0.053175	-0.0562666048651792
full	Kexp1p3_D120	rep005	E_Skane	1956	2020	0.0261877323188711	0.0441351307090549	0.0179473983901838	0.0084	0.016125	0.007725	0.0102223983901838
full	Kexp1p3_D120	rep005	Ehist_to_SEmodern	1956	2020	0.0261877323188711	0.0468662203145768	0.0206784879957056	0.0084	0.1537142857	0.1453142857	-0.124635797704294
no_oland	Kexp1p2_D120	rep001	W_Skane	1951	2020	0.017410615626641	0.021308414497901	0.00389779887126	0.0082	0.061375	0.053175	-0.04927720112874
no_oland	Kexp1p2_D120	rep001	E_Skane	1956	2020	0.0263146720034187	0.0342762613001443	0.0079615892967256	0.0084	0.016125	0.007725	0.000236589296725596
