landscape	model	rep	historical_EW_FST	modern_EW_FST	delta_FST	empirical_historical_EW	empirical_modern_EW	empirical_delta_FST	delta_error
full	Kexp1p3_D120	rep001	0.00808349435522281	0.0171478710244565	0.00906437666923368	0.02874	0.0494	0.02066	-0.0115956233307663
full	Kexp1p3_D120	rep002	0.00348506145961317	0.01173260017939	0.00824753871977683	0.02874	0.0494	0.02066	-0.0124124612802232
full	Kexp1p3_D120	rep003	0.00552706082566124	0.0110459820424287	0.00551892121676745	0.02874	0.0494	0.02066	-0.0151410787832326
full	Kexp1p3_D120	rep004	0.00513387880867514	0.0140189901787381	0.008885111370063	0.02874	0.0494	0.02066	-0.011774888629937
full	Kexp1p3_D120	rep005	0.00823269257106924	0.0117290150510004	0.00349632247993117	0.02874	0.0494	0.02066	-0.0171636775200688
no_oland	Kexp1p2_D120	rep001	0.0071946035420145	0.00809639496200472	0.000901791419990225	0.02874	0.0494	0.02066	-0.0197582085800098
no_oland	Kexp1p2_D120	rep002	0.00735070087416945	0.0130401206468857	0.00568941977271625	0.02874	0.0494	0.02066	-0.0149705802272838
no_oland	Kexp1p2_D120	rep003	0.00727251300660307	0.00974815820283152	0.00247564519622845	0.02874	0.0494	0.02066	-0.0181843548037715
no_oland	Kexp1p2_D120	rep004	0.00598523887645618	0.0101662709222796	0.00418103204582342	0.02874	0.0494	0.02066	-0.0164789679541766
no_oland	Kexp1p2_D120	rep005	0.00663010551726905	0.0104866715070833	0.00385656598981425	0.02874	0.0494	0.02066	-0.0168034340101857
no_oland	Kexp1p3_D120	rep001	0.00719932466461609	0.00964641860147892	0.00244709393686282	0.02874	0.0494	0.02066	-0.0182129060631372
no_oland	Kexp1p3_D120	rep002	0.00651385912189423	0.013606138325315	0.00709227920342076	0.02874	0.0494	0.02066	-0.0135677207965792
no_oland	Kexp1p3_D120	rep003	0.00697862653127924	0.0103771830372735	0.00339855650599421	0.02874	0.0494	0.02066	-0.0172614434940058
no_oland	Kexp1p3_D120	rep004	0.00476264876519453	0.0115262963736604	0.00676364760846589	0.02874	0.0494	0.02066	-0.0138963523915341
no_oland	Kexp1p3_D120	rep005	0.0055750012647764	0.013319735752087	0.00774473448731064	0.02874	0.0494	0.02066	-0.0129152655126894
skane_only	Kexp1p2_D120	rep001	0.00773673501661932	0.0112872849604141	0.00355054994379477	0.02874	0.0494	0.02066	-0.0171094500562052
skane_only	Kexp1p2_D120	rep002	0.00536618458072441	0.0115319806592984	0.00616579607857397	0.02874	0.0494	0.02066	-0.014494203921426
skane_only	Kexp1p2_D120	rep003	0.00621267755951227	0.00990398057304554	0.00369130301353327	0.02874	0.0494	0.02066	-0.0169686969864667
skane_only	Kexp1p2_D120	rep004	0.00639859264418446	0.0130181251272113	0.00661953248302688	0.02874	0.0494	0.02066	-0.0140404675169731
skane_only	Kexp1p2_D120	rep005	0.00578528848663301	0.00873952968262494	0.00295424119599193	0.02874	0.0494	0.02066	-0.0177057588040081
skane_only	Kexp1p3_D120	rep001	0.00852936169236426	0.0144884128723261	0.00595905117996185	0.02874	0.0494	0.02066	-0.0147009488200381
skane_only	Kexp1p3_D120	rep002	0.00718060669962639	0.0146586394096299	0.00747803271000354	0.02874	0.0494	0.02066	-0.0131819672899965
skane_only	Kexp1p3_D120	rep003	0.0081819767383611	0.0131829087474736	0.00500093200911251	0.02874	0.0494	0.02066	-0.0156590679908875
skane_only	Kexp1p3_D120	rep004	0.00518884609843471	0.0108013316413038	0.00561248554286907	0.02874	0.0494	0.02066	-0.0150475144571309
skane_only	Kexp1p3_D120	rep005	0.00608030684325899	0.0101263663953289	0.00404605955206992	0.02874	0.0494	0.02066	-0.0166139404479301
skane_only	Kexp1p5_D120	rep001	0.00818455276976644	0.0122883444311689	0.00410379166140242	0.02874	0.0494	0.02066	-0.0165562083385976
skane_only	Kexp1p5_D120	rep002	0.006555012915125	0.0211378803578633	0.0145828674427383	0.02874	0.0494	0.02066	-0.00607713255726168
skane_only	Kexp1p5_D120	rep003	0.00834094901171151	0.0152519487904882	0.00691099977877665	0.02874	0.0494	0.02066	-0.0137490002212234
skane_only	Kexp1p5_D120	rep004	0.0067983205877701	0.0135370163301795	0.00673869574240942	0.02874	0.0494	0.02066	-0.0139213042575906
skane_only	Kexp1p5_D120	rep005	0.00764017718743637	0.0181698505406901	0.0105296733532538	0.02874	0.0494	0.02066	-0.0101303266467462
