landscape	model	comparison	n_reps	mean_FST	sd_between_reps	min_rep_FST	max_rep_FST	empirical_FST	absolute_error
full	Kexp1p3_D120	historical_EW	5	0.00609243760404832	0.00203604362272468	0.00348506145961317	0.00823269257106924	0.02874	-0.0226475623959517
full	Kexp1p3_D120	modern_E_SE	5	0.0182094179918603	0.00456719638502658	0.0117522581025822	0.0243830660642528	0.0868	-0.0685905820081397
full	Kexp1p3_D120	modern_EW	5	0.0131348916952027	0.00250958599160768	0.0110459820424287	0.0171478710244565	0.0494	-0.0362651083047973
full	Kexp1p3_D120	modern_W_SE	5	0.0147219693757879	0.00270463773403749	0.0120662083640615	0.0189113782607878	0.10919	-0.0944680306242121
no_oland	Kexp1p2_D120	historical_EW	5	0.00688663236330245	0.000578235665934405	0.00598523887645618	0.00735070087416945	0.02874	-0.0218533676366976
no_oland	Kexp1p2_D120	modern_E_SE	5	0.0134621041840763	0.002489968741414	0.0101795920720878	0.0165121252621969	0.0868	-0.0733378958159237
no_oland	Kexp1p2_D120	modern_EW	5	0.010307523248217	0.00178333342462477	0.00809639496200472	0.0130401206468857	0.0494	-0.039092476751783
no_oland	Kexp1p2_D120	modern_W_SE	5	0.0140944098884372	0.00321420191959061	0.0108901955562606	0.0192583841633491	0.10919	-0.0950955901115628
no_oland	Kexp1p3_D120	historical_EW	5	0.0062058920695521	0.00101978490596401	0.00476264876519453	0.00719932466461609	0.02874	-0.0225341079304479
no_oland	Kexp1p3_D120	modern_E_SE	5	0.0156668579089843	0.00402084168454456	0.0115006852944987	0.0220303521383398	0.0868	-0.0711331420910157
no_oland	Kexp1p3_D120	modern_EW	5	0.011695154417963	0.0017502859802422	0.00964641860147892	0.013606138325315	0.0494	-0.037704845582037
no_oland	Kexp1p3_D120	modern_W_SE	5	0.0136402073267519	0.00230497629445307	0.0110530701155642	0.0159589062494573	0.10919	-0.0955497926732481
skane_only	Kexp1p2_D120	historical_EW	5	0.00629989565753469	0.000897007852656926	0.00536618458072441	0.00773673501661932	0.02874	-0.0224401043424653
skane_only	Kexp1p2_D120	modern_E_SE	5	0.0164354727612085	0.000886047150128908	0.0154520693828389	0.0173589100755761	0.0868	-0.0703645272387915
skane_only	Kexp1p2_D120	modern_EW	5	0.0108961802005189	0.00163519547651063	0.00873952968262494	0.0130181251272113	0.0494	-0.0385038197994811
skane_only	Kexp1p2_D120	modern_W_SE	5	0.0132990980478018	0.00119782697502198	0.0119328216229857	0.0146286615177585	0.10919	-0.0958909019521982
skane_only	Kexp1p3_D120	historical_EW	5	0.00703221961440909	0.0014044178879518	0.00518884609843471	0.00852936169236426	0.02874	-0.0217077803855909
skane_only	Kexp1p3_D120	modern_E_SE	5	0.0165136172293477	0.0013192159390562	0.0143929096786239	0.0179313903141321	0.0868	-0.0702863827706523
skane_only	Kexp1p3_D120	modern_EW	5	0.0126515318132125	0.00209073404806768	0.0101263663953289	0.0146586394096299	0.0494	-0.0367484681867875
skane_only	Kexp1p3_D120	modern_W_SE	5	0.0143715187008381	0.00237859607146693	0.0123391155617266	0.018062708418952	0.10919	-0.0948184812991619
skane_only	Kexp1p5_D120	historical_EW	5	0.00750380249436188	0.000803234036891183	0.006555012915125	0.00834094901171151	0.02874	-0.0212361975056381
skane_only	Kexp1p5_D120	modern_E_SE	5	0.021636333211425	0.0048346472564422	0.0174918762245368	0.0297248499556188	0.0868	-0.065163666788575
skane_only	Kexp1p5_D120	modern_EW	5	0.016077008090078	0.00358743191372511	0.0122883444311689	0.0211378803578633	0.0494	-0.033322991909922
skane_only	Kexp1p5_D120	modern_W_SE	5	0.0182868394030374	0.00257916195378632	0.0147211859485224	0.0210857779783251	0.10919	-0.0909031605969626
