landscape	model	rep	comparison	target1	year1	n1	target2	year2	n2	n_draws	mean_FST	median_FST	sd_sampling	q025_sampling	q975_sampling	min_draw_FST	max_draw_FST	mean_component_FST	mean_n_windows	mean_n_snps	empirical_FST	error
full	Kexp1p3_D120	rep001	historical_EW	ESkane_hist	1956	5	WSkane_hist	1951	5	100	0.00808349435522281	0.00668181913826549	0.00940451901310976	-0.00644704518821574	0.0325314263983787	-0.00803495080696972	0.0438681735470241	0.0092859302250975	388	16143.42	0.02874	-0.0206565056447772
full	Kexp1p3_D120	rep001	modern_E_SE	ESkane_mod	2020	8	SESkane_mod	2020	7	100	0.0196932367185628	0.0186285609765989	0.0113718079332384	0.0029987298519142	0.0478865097723812	0.0011285835917076	0.0525821079379055	0.020749701708848	388	17500.61	0.0868	-0.0671067632814372
full	Kexp1p3_D120	rep001	modern_EW	ESkane_mod	2020	8	WSkane_mod	2020	8	100	0.0171478710244565	0.0151423362277952	0.00939107611972428	0.00311826041566471	0.0369150500562192	0.00198582469521359	0.0546483378465257	0.0179827270435369	388	18012.52	0.0494	-0.0322521289755435
full	Kexp1p3_D120	rep001	modern_W_SE	WSkane_mod	2020	8	SESkane_mod	2020	7	100	0.014210115444841	0.0118034692055535	0.00973410586840594	0.0015809973568524	0.0409258042653227	-0.00422329721416497	0.047226553513982	0.0151597887307759	388	17706.47	0.10919	-0.094979884555159
full	Kexp1p3_D120	rep002	historical_EW	ESkane_hist	1956	5	WSkane_hist	1951	5	100	0.00348506145961317	0.00141546264981604	0.00757878836700756	-0.00778064084511317	0.0219394084217974	-0.00944907483846771	0.029713943188952	0.0046326038395705	388	16171.96	0.02874	-0.0252549385403868
full	Kexp1p3_D120	rep002	modern_E_SE	ESkane_mod	2020	8	SESkane_mod	2020	7	100	0.0117522581025822	0.0107767075669099	0.00918942957687901	-0.00339772536172708	0.0285459255335383	-0.00717711258624864	0.0516456251621495	0.0125078384225015	388	17659.98	0.0868	-0.0750477418974178
full	Kexp1p3_D120	rep002	modern_EW	ESkane_mod	2020	8	WSkane_mod	2020	8	100	0.01173260017939	0.0104614483382869	0.00704324290774809	0.000608946603808612	0.0256225219445196	-0.00137499215345466	0.0453850553303835	0.012341976914407	388	18158.21	0.0494	-0.03766739982061
full	Kexp1p3_D120	rep002	modern_W_SE	WSkane_mod	2020	8	SESkane_mod	2020	7	100	0.0120662083640615	0.0119573167054579	0.00749922335659741	0.00141406952597089	0.0274215461800385	-0.00233846980834793	0.0484294252908585	0.0128611436613722	388	17705.48	0.10919	-0.0971237916359385
full	Kexp1p3_D120	rep003	historical_EW	ESkane_hist	1956	5	WSkane_hist	1951	5	100	0.00552706082566124	0.00373504516511841	0.00842183462785589	-0.00616836278186086	0.0226596676733724	-0.00974573515832485	0.0324796433717807	0.00683134641540014	388	16177.04	0.02874	-0.0232129391743388
full	Kexp1p3_D120	rep003	modern_E_SE	ESkane_mod	2020	8	SESkane_mod	2020	7	100	0.0170150421175029	0.0154970003197621	0.00881098605822133	0.00332568985377412	0.0369128556957197	0.00169848696517438	0.042007313522528	0.0177211483170595	388	17570.93	0.0868	-0.0697849578824971
full	Kexp1p3_D120	rep003	modern_EW	ESkane_mod	2020	8	WSkane_mod	2020	8	100	0.0110459820424287	0.00972074855406389	0.00710880453984122	9.16937739693916e-05	0.027674583322213	-0.00278420225408798	0.0305558945655343	0.0117908188311498	388	18142.42	0.0494	-0.0383540179575713
full	Kexp1p3_D120	rep003	modern_W_SE	WSkane_mod	2020	8	SESkane_mod	2020	7	100	0.0128196663072752	0.012328219193287	0.0079066175397244	0.000470691490616835	0.0295000781092254	-0.00385536761060844	0.040096034302706	0.0134396371089982	388	17787.1	0.10919	-0.0963703336927248
full	Kexp1p3_D120	rep004	historical_EW	ESkane_hist	1956	5	WSkane_hist	1951	5	100	0.00513387880867514	0.00335146888437697	0.00907539641483306	-0.00593139552431887	0.0272464438374151	-0.00825622551898747	0.0438555848791923	0.00629561570497503	388	16142.05	0.02874	-0.0236061211913249
full	Kexp1p3_D120	rep004	modern_E_SE	ESkane_mod	2020	8	SESkane_mod	2020	7	100	0.0243830660642528	0.0237432909275386	0.0123549276008253	0.00274718463195848	0.0518135504560761	0.00197444887669711	0.0651817772644585	0.0255222544426439	388	17242.81	0.0868	-0.0624169339357472
full	Kexp1p3_D120	rep004	modern_EW	ESkane_mod	2020	8	WSkane_mod	2020	8	100	0.0140189901787381	0.013926372471465	0.00840138193773297	-0.00144748359301164	0.0306479752977034	-0.00230958328852856	0.0353239135664084	0.0146828190551843	388	17879.18	0.0494	-0.0353810098212619
full	Kexp1p3_D120	rep004	modern_W_SE	WSkane_mod	2020	8	SESkane_mod	2020	7	100	0.0189113782607878	0.0171952145339556	0.00997573774594324	0.00523371636297409	0.038874032294618	0.000885401580968424	0.0720644249141136	0.0197625941985708	388	17571.49	0.10919	-0.0902786217392122
full	Kexp1p3_D120	rep005	historical_EW	ESkane_hist	1956	5	WSkane_hist	1951	5	100	0.00823269257106924	0.00837908833338171	0.00874002050238667	-0.00618991205217743	0.0285630678052094	-0.00957153711929958	0.0451473971103337	0.00953816785973487	388	16193.5	0.02874	-0.0205073074289308
full	Kexp1p3_D120	rep005	modern_E_SE	ESkane_mod	2020	8	SESkane_mod	2020	7	100	0.0182034869564007	0.0178312889640607	0.00906401181862007	0.00298612722178389	0.0342489575283969	-0.000145884402925719	0.0528938517507288	0.0189289006152656	388	17604.5	0.0868	-0.0685965130435993
full	Kexp1p3_D120	rep005	modern_EW	ESkane_mod	2020	8	WSkane_mod	2020	8	100	0.0117290150510004	0.0107311939097587	0.00671532006791263	0.000659406088283367	0.0254521257853279	-0.00230692185018302	0.0356973367004076	0.0122761350976125	388	18207.06	0.0494	-0.0376709849489996
full	Kexp1p3_D120	rep005	modern_W_SE	WSkane_mod	2020	8	SESkane_mod	2020	7	100	0.015602478501974	0.0142791644026555	0.00802774790158454	0.00323158202129823	0.0346616764314774	0.00187019814331776	0.0382217463263881	0.0161873923455158	388	17811.55	0.10919	-0.093587521498026
no_oland	Kexp1p2_D120	rep001	historical_EW	ESkane_hist	1956	5	WSkane_hist	1951	5	100	0.0071946035420145	0.00618255826388485	0.00833663532021358	-0.00551988024246004	0.0282990351693618	-0.00777089534820541	0.0306309523670903	0.00840510208974281	388	16166.64	0.02874	-0.0215453964579855
no_oland	Kexp1p2_D120	rep001	modern_E_SE	ESkane_mod	2020	8	SESkane_mod	2020	7	100	0.0101795920720878	0.00903917676513995	0.00826744015831631	-0.00168358099024496	0.0334094864903004	-0.00317751494708149	0.0347024006799201	0.011014131464998	388	17549.38	0.0868	-0.0766204079279122
no_oland	Kexp1p2_D120	rep001	modern_EW	ESkane_mod	2020	8	WSkane_mod	2020	8	100	0.00809639496200472	0.00849975804020264	0.00620771301841516	-0.0013332386218881	0.0210949501457282	-0.00333805535525811	0.0266520945256324	0.00875237320117135	388	18174.96	0.0494	-0.0413036050379953
no_oland	Kexp1p2_D120	rep001	modern_W_SE	WSkane_mod	2020	8	SESkane_mod	2020	7	100	0.0108901955562606	0.0110681536819834	0.00710896255656572	-0.00129792134889599	0.0305697843395592	-0.00291872948086729	0.0346387871395892	0.0115963337354136	388	17783.07	0.10919	-0.0982998044437394
no_oland	Kexp1p2_D120	rep002	historical_EW	ESkane_hist	1956	5	WSkane_hist	1951	5	100	0.00735070087416945	0.00587732893487191	0.00833887703568667	-0.00450680073571445	0.0244039878601901	-0.00620054896452841	0.0539633349343556	0.00862833024810846	388	16193.04	0.02874	-0.0213892991258306
no_oland	Kexp1p2_D120	rep002	modern_E_SE	ESkane_mod	2020	8	SESkane_mod	2020	7	100	0.0165121252621969	0.0139468400846707	0.0114144264982191	0.00293804593650397	0.0479244241595034	-0.000996649633031303	0.0612507653808903	0.0173022187244259	388	17518.6	0.0868	-0.0702878747378031
no_oland	Kexp1p2_D120	rep002	modern_EW	ESkane_mod	2020	8	WSkane_mod	2020	8	100	0.0130401206468857	0.0118880264759208	0.00858011401055737	-0.000220778780821575	0.0342874540705715	-0.00365327679695896	0.0486514413572746	0.0136294929825542	388	18019.98	0.0494	-0.0363598793531143
no_oland	Kexp1p2_D120	rep002	modern_W_SE	WSkane_mod	2020	8	SESkane_mod	2020	7	100	0.0192583841633491	0.0174351621583584	0.00945678719329765	0.00395689904812543	0.0424430190695319	0.000649607229102863	0.0498489209573305	0.0203446044141975	388	17652.51	0.10919	-0.0899316158366509
no_oland	Kexp1p2_D120	rep003	historical_EW	ESkane_hist	1956	5	WSkane_hist	1951	5	100	0.00727251300660307	0.0066950285197393	0.0092101018665208	-0.00519736492429042	0.0301489336843056	-0.00798663762842433	0.0470015241565035	0.00852697644236506	388	16181.9	0.02874	-0.0214674869933969
no_oland	Kexp1p2_D120	rep003	modern_E_SE	ESkane_mod	2020	8	SESkane_mod	2020	7	100	0.0121450242451136	0.0111513343603722	0.00791787148098161	0.000703166463224637	0.0298151474706879	-0.00267891158628068	0.0316877368403388	0.0128380606980007	388	17786.62	0.0868	-0.0746549757548864
no_oland	Kexp1p2_D120	rep003	modern_EW	ESkane_mod	2020	8	WSkane_mod	2020	8	100	0.00974815820283152	0.00883976107353527	0.00611357958870652	0.000828844463177781	0.0236506557756812	0.000654887450959793	0.0277374719353705	0.0103815524606897	388	18280.02	0.0494	-0.0396518417971685
no_oland	Kexp1p2_D120	rep003	modern_W_SE	WSkane_mod	2020	8	SESkane_mod	2020	7	100	0.0133405212624744	0.01146351833026	0.00845510184290484	0.0011253865069047	0.0326981909237356	-0.00145721680609347	0.0378976603300908	0.0142150690038215	388	17844.33	0.10919	-0.0958494787375256
no_oland	Kexp1p2_D120	rep004	historical_EW	ESkane_hist	1956	5	WSkane_hist	1951	5	100	0.00598523887645618	0.00495728319201873	0.00831363274512808	-0.00558573116278693	0.0251826300439576	-0.00824493996571716	0.03436603922477	0.00737374602218101	388	16240.19	0.02874	-0.0227547611235438
no_oland	Kexp1p2_D120	rep004	modern_E_SE	ESkane_mod	2020	8	SESkane_mod	2020	7	100	0.0132916441137693	0.0117885168301732	0.0083100973461179	0.00189821173237536	0.0314956776177167	-0.00192635934210206	0.040797076679917	0.0141007017225147	388	17709.46	0.0868	-0.0735083558862307
no_oland	Kexp1p2_D120	rep004	modern_EW	ESkane_mod	2020	8	WSkane_mod	2020	8	100	0.0101662709222796	0.0100266230347921	0.00699992557607852	7.02705629526474e-05	0.0236475768624831	-0.00171093045135051	0.0364368101681244	0.0106998150451368	388	18216.46	0.0494	-0.0392337290777204
no_oland	Kexp1p2_D120	rep004	modern_W_SE	WSkane_mod	2020	8	SESkane_mod	2020	7	100	0.0147355291413107	0.0134566579137617	0.00810311257515383	0.00255597875680814	0.03029384276949	-0.0021307958087626	0.0395510714415831	0.015522496029671	388	17846.53	0.10919	-0.0944544708586893
no_oland	Kexp1p2_D120	rep005	historical_EW	ESkane_hist	1956	5	WSkane_hist	1951	5	100	0.00663010551726905	0.00522179782289964	0.00855132708930547	-0.00602547155558819	0.0306716460122399	-0.00843623808124095	0.0335911051464456	0.00790913537598528	388	16170.71	0.02874	-0.022109894482731
no_oland	Kexp1p2_D120	rep005	modern_E_SE	ESkane_mod	2020	8	SESkane_mod	2020	7	100	0.0151821352272139	0.0148601923673365	0.00799657796359524	0.00140524786781798	0.0303161988345525	-0.00271129843739179	0.0318655875976876	0.0159935218874703	388	17513.39	0.0868	-0.0716178647727861
no_oland	Kexp1p2_D120	rep005	modern_EW	ESkane_mod	2020	8	WSkane_mod	2020	8	100	0.0104866715070833	0.0103780508797508	0.00619302780391784	-0.00143730012020488	0.0211813977129233	-0.00379220303076098	0.0294143497581896	0.0111115355359093	388	18040.27	0.0494	-0.0389133284929167
no_oland	Kexp1p2_D120	rep005	modern_W_SE	WSkane_mod	2020	8	SESkane_mod	2020	7	100	0.0122474193187912	0.0122107524237829	0.00735259139854302	0.000775600586781227	0.0283577193705438	-0.00154833222317406	0.0343584184106243	0.0129543874725483	388	17747.85	0.10919	-0.0969425806812088
no_oland	Kexp1p3_D120	rep001	historical_EW	ESkane_hist	1956	5	WSkane_hist	1951	5	100	0.00719932466461609	0.00470429487778969	0.00864937200707543	-0.00454231512876441	0.0277254626742569	-0.00814738426090171	0.0395499361385088	0.00851401960389265	388	16179.03	0.02874	-0.0215406753353839
no_oland	Kexp1p3_D120	rep001	modern_E_SE	ESkane_mod	2020	8	SESkane_mod	2020	7	100	0.0133990126925971	0.0122216860755424	0.0086847947702178	-0.000845815525188847	0.0319466209982726	-0.00581604151519552	0.0356040235048778	0.0139599027454926	388	17567.84	0.0868	-0.0734009873074029
no_oland	Kexp1p3_D120	rep001	modern_EW	ESkane_mod	2020	8	WSkane_mod	2020	8	100	0.00964641860147892	0.00907760858382472	0.00634180638842727	-0.00101159333787079	0.0225545925775421	-0.00309188627198519	0.0353435289375406	0.0100196331624609	388	18142.7	0.0494	-0.0397535813985211
no_oland	Kexp1p3_D120	rep001	modern_W_SE	WSkane_mod	2020	8	SESkane_mod	2020	7	100	0.0136118231924098	0.0129583164740718	0.00715385599703087	0.00178816197287548	0.0290203955020914	0.000846312048247601	0.0370941282456589	0.0144754865149072	388	17754.85	0.10919	-0.0955781768075901
