task_id	landscape	model	rep	year	request_file
1	full	Kexp1p3_D120	rep001	1951	genotype_requests/full/Kexp1p3_D120/rep001/year1951_indices.tsv
2	full	Kexp1p3_D120	rep001	1956	genotype_requests/full/Kexp1p3_D120/rep001/year1956_indices.tsv
3	full	Kexp1p3_D120	rep001	2020	genotype_requests/full/Kexp1p3_D120/rep001/year2020_indices.tsv
4	full	Kexp1p3_D120	rep002	1951	genotype_requests/full/Kexp1p3_D120/rep002/year1951_indices.tsv
5	full	Kexp1p3_D120	rep002	1956	genotype_requests/full/Kexp1p3_D120/rep002/year1956_indices.tsv
6	full	Kexp1p3_D120	rep002	2020	genotype_requests/full/Kexp1p3_D120/rep002/year2020_indices.tsv
7	full	Kexp1p3_D120	rep003	1951	genotype_requests/full/Kexp1p3_D120/rep003/year1951_indices.tsv
8	full	Kexp1p3_D120	rep003	1956	genotype_requests/full/Kexp1p3_D120/rep003/year1956_indices.tsv
9	full	Kexp1p3_D120	rep003	2020	genotype_requests/full/Kexp1p3_D120/rep003/year2020_indices.tsv
10	full	Kexp1p3_D120	rep004	1951	genotype_requests/full/Kexp1p3_D120/rep004/year1951_indices.tsv
11	full	Kexp1p3_D120	rep004	1956	genotype_requests/full/Kexp1p3_D120/rep004/year1956_indices.tsv
12	full	Kexp1p3_D120	rep004	2020	genotype_requests/full/Kexp1p3_D120/rep004/year2020_indices.tsv
13	full	Kexp1p3_D120	rep005	1951	genotype_requests/full/Kexp1p3_D120/rep005/year1951_indices.tsv
14	full	Kexp1p3_D120	rep005	1956	genotype_requests/full/Kexp1p3_D120/rep005/year1956_indices.tsv
15	full	Kexp1p3_D120	rep005	2020	genotype_requests/full/Kexp1p3_D120/rep005/year2020_indices.tsv
16	no_oland	Kexp1p2_D120	rep001	1900	genotype_requests/no_oland/Kexp1p2_D120/rep001/year1900_indices.tsv
17	no_oland	Kexp1p2_D120	rep001	1951	genotype_requests/no_oland/Kexp1p2_D120/rep001/year1951_indices.tsv
18	no_oland	Kexp1p2_D120	rep001	1956	genotype_requests/no_oland/Kexp1p2_D120/rep001/year1956_indices.tsv
19	no_oland	Kexp1p2_D120	rep001	2020	genotype_requests/no_oland/Kexp1p2_D120/rep001/year2020_indices.tsv
20	no_oland	Kexp1p2_D120	rep002	1900	genotype_requests/no_oland/Kexp1p2_D120/rep002/year1900_indices.tsv
21	no_oland	Kexp1p2_D120	rep002	1951	genotype_requests/no_oland/Kexp1p2_D120/rep002/year1951_indices.tsv
22	no_oland	Kexp1p2_D120	rep002	1956	genotype_requests/no_oland/Kexp1p2_D120/rep002/year1956_indices.tsv
23	no_oland	Kexp1p2_D120	rep002	2020	genotype_requests/no_oland/Kexp1p2_D120/rep002/year2020_indices.tsv
24	no_oland	Kexp1p2_D120	rep003	1951	genotype_requests/no_oland/Kexp1p2_D120/rep003/year1951_indices.tsv
25	no_oland	Kexp1p2_D120	rep003	1956	genotype_requests/no_oland/Kexp1p2_D120/rep003/year1956_indices.tsv
26	no_oland	Kexp1p2_D120	rep003	2020	genotype_requests/no_oland/Kexp1p2_D120/rep003/year2020_indices.tsv
27	no_oland	Kexp1p2_D120	rep004	1900	genotype_requests/no_oland/Kexp1p2_D120/rep004/year1900_indices.tsv
28	no_oland	Kexp1p2_D120	rep004	1951	genotype_requests/no_oland/Kexp1p2_D120/rep004/year1951_indices.tsv
29	no_oland	Kexp1p2_D120	rep004	1956	genotype_requests/no_oland/Kexp1p2_D120/rep004/year1956_indices.tsv
30	no_oland	Kexp1p2_D120	rep004	2020	genotype_requests/no_oland/Kexp1p2_D120/rep004/year2020_indices.tsv
31	no_oland	Kexp1p2_D120	rep005	1900	genotype_requests/no_oland/Kexp1p2_D120/rep005/year1900_indices.tsv
32	no_oland	Kexp1p2_D120	rep005	1951	genotype_requests/no_oland/Kexp1p2_D120/rep005/year1951_indices.tsv
33	no_oland	Kexp1p2_D120	rep005	1956	genotype_requests/no_oland/Kexp1p2_D120/rep005/year1956_indices.tsv
34	no_oland	Kexp1p2_D120	rep005	2020	genotype_requests/no_oland/Kexp1p2_D120/rep005/year2020_indices.tsv
35	no_oland	Kexp1p3_D120	rep001	1951	genotype_requests/no_oland/Kexp1p3_D120/rep001/year1951_indices.tsv
36	no_oland	Kexp1p3_D120	rep001	1956	genotype_requests/no_oland/Kexp1p3_D120/rep001/year1956_indices.tsv
37	no_oland	Kexp1p3_D120	rep001	2020	genotype_requests/no_oland/Kexp1p3_D120/rep001/year2020_indices.tsv
38	no_oland	Kexp1p3_D120	rep002	1951	genotype_requests/no_oland/Kexp1p3_D120/rep002/year1951_indices.tsv
39	no_oland	Kexp1p3_D120	rep002	1956	genotype_requests/no_oland/Kexp1p3_D120/rep002/year1956_indices.tsv
40	no_oland	Kexp1p3_D120	rep002	2020	genotype_requests/no_oland/Kexp1p3_D120/rep002/year2020_indices.tsv
41	no_oland	Kexp1p3_D120	rep003	1951	genotype_requests/no_oland/Kexp1p3_D120/rep003/year1951_indices.tsv
42	no_oland	Kexp1p3_D120	rep003	1956	genotype_requests/no_oland/Kexp1p3_D120/rep003/year1956_indices.tsv
43	no_oland	Kexp1p3_D120	rep003	2020	genotype_requests/no_oland/Kexp1p3_D120/rep003/year2020_indices.tsv
44	no_oland	Kexp1p3_D120	rep004	1951	genotype_requests/no_oland/Kexp1p3_D120/rep004/year1951_indices.tsv
45	no_oland	Kexp1p3_D120	rep004	1956	genotype_requests/no_oland/Kexp1p3_D120/rep004/year1956_indices.tsv
46	no_oland	Kexp1p3_D120	rep004	2020	genotype_requests/no_oland/Kexp1p3_D120/rep004/year2020_indices.tsv
47	no_oland	Kexp1p3_D120	rep005	1951	genotype_requests/no_oland/Kexp1p3_D120/rep005/year1951_indices.tsv
48	no_oland	Kexp1p3_D120	rep005	1956	genotype_requests/no_oland/Kexp1p3_D120/rep005/year1956_indices.tsv
49	no_oland	Kexp1p3_D120	rep005	2020	genotype_requests/no_oland/Kexp1p3_D120/rep005/year2020_indices.tsv
50	skane_only	Kexp1p2_D120	rep001	1951	genotype_requests/skane_only/Kexp1p2_D120/rep001/year1951_indices.tsv
51	skane_only	Kexp1p2_D120	rep001	1956	genotype_requests/skane_only/Kexp1p2_D120/rep001/year1956_indices.tsv
52	skane_only	Kexp1p2_D120	rep001	2020	genotype_requests/skane_only/Kexp1p2_D120/rep001/year2020_indices.tsv
53	skane_only	Kexp1p2_D120	rep002	1951	genotype_requests/skane_only/Kexp1p2_D120/rep002/year1951_indices.tsv
54	skane_only	Kexp1p2_D120	rep002	1956	genotype_requests/skane_only/Kexp1p2_D120/rep002/year1956_indices.tsv
55	skane_only	Kexp1p2_D120	rep002	2020	genotype_requests/skane_only/Kexp1p2_D120/rep002/year2020_indices.tsv
56	skane_only	Kexp1p2_D120	rep003	1951	genotype_requests/skane_only/Kexp1p2_D120/rep003/year1951_indices.tsv
57	skane_only	Kexp1p2_D120	rep003	1956	genotype_requests/skane_only/Kexp1p2_D120/rep003/year1956_indices.tsv
58	skane_only	Kexp1p2_D120	rep003	2020	genotype_requests/skane_only/Kexp1p2_D120/rep003/year2020_indices.tsv
59	skane_only	Kexp1p2_D120	rep004	1951	genotype_requests/skane_only/Kexp1p2_D120/rep004/year1951_indices.tsv
60	skane_only	Kexp1p2_D120	rep004	1956	genotype_requests/skane_only/Kexp1p2_D120/rep004/year1956_indices.tsv
