landscape	model	rep	simulation_year	targets	manifest_rows	unique_individuals	request_file
full	Kexp1p3_D120	rep001	1951	WSkane_hist	500	185	genotype_requests/full/Kexp1p3_D120/rep001/year1951_indices.tsv
full	Kexp1p3_D120	rep001	1956	ESkane_hist	500	149	genotype_requests/full/Kexp1p3_D120/rep001/year1956_indices.tsv
full	Kexp1p3_D120	rep001	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	312	genotype_requests/full/Kexp1p3_D120/rep001/year2020_indices.tsv
full	Kexp1p3_D120	rep002	1951	WSkane_hist	500	175	genotype_requests/full/Kexp1p3_D120/rep002/year1951_indices.tsv
full	Kexp1p3_D120	rep002	1956	ESkane_hist	500	172	genotype_requests/full/Kexp1p3_D120/rep002/year1956_indices.tsv
full	Kexp1p3_D120	rep002	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	297	genotype_requests/full/Kexp1p3_D120/rep002/year2020_indices.tsv
full	Kexp1p3_D120	rep003	1951	WSkane_hist	500	180	genotype_requests/full/Kexp1p3_D120/rep003/year1951_indices.tsv
full	Kexp1p3_D120	rep003	1956	ESkane_hist	500	154	genotype_requests/full/Kexp1p3_D120/rep003/year1956_indices.tsv
full	Kexp1p3_D120	rep003	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	276	genotype_requests/full/Kexp1p3_D120/rep003/year2020_indices.tsv
full	Kexp1p3_D120	rep004	1951	WSkane_hist	500	149	genotype_requests/full/Kexp1p3_D120/rep004/year1951_indices.tsv
full	Kexp1p3_D120	rep004	1956	ESkane_hist	500	145	genotype_requests/full/Kexp1p3_D120/rep004/year1956_indices.tsv
full	Kexp1p3_D120	rep004	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	322	genotype_requests/full/Kexp1p3_D120/rep004/year2020_indices.tsv
full	Kexp1p3_D120	rep005	1951	WSkane_hist	500	187	genotype_requests/full/Kexp1p3_D120/rep005/year1951_indices.tsv
full	Kexp1p3_D120	rep005	1956	ESkane_hist	500	137	genotype_requests/full/Kexp1p3_D120/rep005/year1956_indices.tsv
full	Kexp1p3_D120	rep005	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	280	genotype_requests/full/Kexp1p3_D120/rep005/year2020_indices.tsv
no_oland	Kexp1p2_D120	rep001	1900	NSmaland_hist_1900proxy	300	4	genotype_requests/no_oland/Kexp1p2_D120/rep001/year1900_indices.tsv
no_oland	Kexp1p2_D120	rep001	1951	WSkane_hist	500	176	genotype_requests/no_oland/Kexp1p2_D120/rep001/year1951_indices.tsv
no_oland	Kexp1p2_D120	rep001	1956	ESkane_hist	500	185	genotype_requests/no_oland/Kexp1p2_D120/rep001/year1956_indices.tsv
no_oland	Kexp1p2_D120	rep001	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	347	genotype_requests/no_oland/Kexp1p2_D120/rep001/year2020_indices.tsv
no_oland	Kexp1p2_D120	rep002	1900	NSmaland_hist_1900proxy	300	3	genotype_requests/no_oland/Kexp1p2_D120/rep002/year1900_indices.tsv
no_oland	Kexp1p2_D120	rep002	1951	WSkane_hist	500	204	genotype_requests/no_oland/Kexp1p2_D120/rep002/year1951_indices.tsv
no_oland	Kexp1p2_D120	rep002	1956	ESkane_hist	500	175	genotype_requests/no_oland/Kexp1p2_D120/rep002/year1956_indices.tsv
no_oland	Kexp1p2_D120	rep002	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	329	genotype_requests/no_oland/Kexp1p2_D120/rep002/year2020_indices.tsv
no_oland	Kexp1p2_D120	rep003	1951	WSkane_hist	500	188	genotype_requests/no_oland/Kexp1p2_D120/rep003/year1951_indices.tsv
no_oland	Kexp1p2_D120	rep003	1956	ESkane_hist	500	154	genotype_requests/no_oland/Kexp1p2_D120/rep003/year1956_indices.tsv
no_oland	Kexp1p2_D120	rep003	2020	ESkane_mod,SESkane_mod,WSkane_mod	2300	319	genotype_requests/no_oland/Kexp1p2_D120/rep003/year2020_indices.tsv
no_oland	Kexp1p2_D120	rep004	1900	NSmaland_hist_1900proxy	300	6	genotype_requests/no_oland/Kexp1p2_D120/rep004/year1900_indices.tsv
no_oland	Kexp1p2_D120	rep004	1951	NSmaland_hist_1951proxy,WSkane_hist	800	209	genotype_requests/no_oland/Kexp1p2_D120/rep004/year1951_indices.tsv
