landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_H	median_H	sd_sampling	q025_sampling	q975_sampling	min_H	max_H	empirical_H	sim_empirical_ratio
full	Kexp1p3_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.227729759163879	0.232444764734961	0.013957331564854	0.186876965521787	0.238935709254029	0.166773501906274	0.23946381673529	2.249	0.101258229952814
full	Kexp1p3_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.228781945531433	0.231473770050588	0.00965879316494039	0.200647787740975	0.237498327229237	0.187174720008776	0.238864692355571	2.2752	0.100554652571833
full	Kexp1p3_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.230688516836092	0.230782323702874	0.00335729734214125	0.224092531868123	0.236615716303037	0.220810905551192	0.236738059050835	2.224	0.103726851095365
full	Kexp1p3_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.226245303080681	0.226992142609192	0.00470911935655385	0.21623169904672	0.233435312123844	0.214592776597889	0.234521778440514	1.927	0.117408045189767
full	Kexp1p3_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.22936824813294	0.230934041622307	0.00549539015296754	0.213902575351641	0.23561615345724	0.212114563530917	0.236453991457003	2.147	0.106831973979013
full	Kexp1p3_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.23158843006119	0.232956086403859	0.00709716276669379	0.204985499898794	0.238575459896396	0.19598598028292	0.239670411348986	2.249	0.102973957341569
full	Kexp1p3_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.23001139007754	0.230890140266896	0.00454546665755751	0.218739019819086	0.236057588041973	0.209270013943587	0.236323578607107	2.2752	0.101095020252083
full	Kexp1p3_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.224058443756863	0.227124953432283	0.010654185080948	0.196507147476377	0.236233516267699	0.192365409677894	0.236905917174463	2.224	0.100745703128086
full	Kexp1p3_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.230755263497669	0.231061318661102	0.00248722332267797	0.226121124961091	0.234554612227333	0.22543899381694	0.237716616573744	1.927	0.11974845018042
full	Kexp1p3_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.229344296069914	0.231518317014167	0.00641825666898354	0.212163306947586	0.236569393916997	0.206594613696221	0.237202896931652	2.147	0.106820817917985
full	Kexp1p3_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.230904085403321	0.232682348540711	0.00771145690211657	0.206004269587584	0.236773438378431	0.1888584661104	0.237480508443806	2.249	0.102669668920996
full	Kexp1p3_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.231896462630211	0.232408610677564	0.00469391432117227	0.218539139530335	0.238229155675188	0.213288279179978	0.239753049194464	2.2752	0.101923550734094
full	Kexp1p3_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.228873389472321	0.231185828807749	0.00790962415579112	0.207910847348324	0.236178639573436	0.201849393662886	0.236447535375325	2.224	0.10291069670518
full	Kexp1p3_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.227467015085531	0.22912818334723	0.00637514214455678	0.214354270494756	0.235303886620935	0.207812046241216	0.23587940018766	1.927	0.118042042078636
full	Kexp1p3_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.230472690025597	0.231024426765799	0.00450428018594288	0.21845863219181	0.236587470945696	0.213922266400759	0.23908807278163	2.147	0.107346385666324
full	Kexp1p3_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.231248995110887	0.231959267392775	0.00458879179268927	0.220093763998399	0.238466222994404	0.213680808946001	0.2400009627309	2.249	0.102823030284965
full	Kexp1p3_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.228681333954563	0.230714534845255	0.00758875131070858	0.200810222755994	0.235976757899364	0.195283558596353	0.238492822050917	2.2752	0.100510431590437
full	Kexp1p3_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.215686584401724	0.221020728205727	0.0162429867126634	0.17688840647325	0.233019517406345	0.161318112888358	0.234459062218499	2.224	0.0969813778784732
full	Kexp1p3_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.229742802322976	0.229618845554759	0.00354551542849021	0.222342472584691	0.235098029845145	0.221130020445562	0.237886319292138	1.927	0.119223042201856
full	Kexp1p3_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.226415107251786	0.230643517946797	0.0110527650322656	0.197151141623758	0.236142485516039	0.192810879313676	0.237125423951516	2.147	0.105456500815923
full	Kexp1p3_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.231330083496763	0.233333121573854	0.00823035281788418	0.20566209725865	0.239415267001071	0.190800455479145	0.240073270845694	2.249	0.102859085592158
full	Kexp1p3_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.230738086631216	0.232129707949074	0.010280764609295	0.186128576533672	0.23863253165843	0.178311811081208	0.240352173574183	2.2752	0.101414419229613
full	Kexp1p3_D120	rep005	2020	ESkane_mod	2021	Fästan	100	0.227901620058147	0.23358103511029	0.0136992355868274	0.201781120599141	0.239101791955196	0.175127671597615	0.239436701192242	2.224	0.102473750026145
full	Kexp1p3_D120	rep005	2020	SESkane_mod	2022	SE Skåne	100	0.226493806887441	0.232208656605022	0.0117361307052533	0.195009082895299	0.236732340807063	0.188554476893104	0.23816669769644	1.927	0.117537004093119
full	Kexp1p3_D120	rep005	2020	WSkane_mod	2021	Silvåkra	100	0.232231262113869	0.233290511434779	0.00496687156938779	0.220251163269709	0.238507509636735	0.211501235771506	0.241134650673558	2.147	0.108165469079585
no_oland	Kexp1p2_D120	rep001	1900	NSmaland_hist_1900proxy	1936	Hjelmseryd	100	0.221842845646605	0.220711912298796	0.00496269097811194	0.2168554795098	0.229612696905542	0.2168554795098	0.229612696905542	NA	NA
no_oland	Kexp1p2_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.231147557155562	0.231804321432502	0.00419751551998912	0.219713888152465	0.236717657832732	0.216221922694465	0.237945346324622	2.249	0.102777926703229
no_oland	Kexp1p2_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.229880409092456	0.232253664717291	0.00910464692315444	0.199602677238939	0.237793757526822	0.190304628406274	0.238957659931734	2.2752	0.101037451253717
no_oland	Kexp1p2_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.227577266514644	0.231879857588135	0.00989874080746798	0.202713378793445	0.235612602612317	0.197000876322703	0.237054407053057	2.224	0.102327907605505
