landscape	model	rep	comparison	simulation_hist_year	simulation_modern_year	simulation_years	historical_H	modern_H	retention	retention_100yr	empirical_hist_H	empirical_modern_H	empirical_retention	empirical_retention_100yr	error_retention_100yr_pp
full	Kexp1p3_D120	rep001	W_Skane	1951	2020	69	0.227729759163879	0.22936824813294	1.00719488298357	1.01044419759123	2.249	2.147	0.954646509559804	0.935844513461133	7.45996841300981
full	Kexp1p3_D120	rep001	E_Skane	1956	2020	64	0.228781945531433	0.230688516836092	1.0083335741386	1.0130516919535	2.2752	2.224	0.977496483825598	0.965589693004084	4.7461998949419
full	Kexp1p3_D120	rep001	Ehist_to_SEmodern	1956	2020	64	0.228781945531433	0.226245303080681	0.988912401086281	0.982729738504954	2.2752	1.927	0.846958509142054	0.77749965584844	20.5230082656514
full	Kexp1p3_D120	rep002	W_Skane	1951	2020	69	0.23158843006119	0.229344296069914	0.990309818194794	0.985986882974798	2.249	2.147	0.954646509559804	0.935844513461133	5.01423695136641
full	Kexp1p3_D120	rep002	E_Skane	1956	2020	64	0.23001139007754	0.224058443756863	0.974118906378203	0.959856272019182	2.2752	2.224	0.977496483825598	0.965589693004084	-0.573342098490237
full	Kexp1p3_D120	rep002	Ehist_to_SEmodern	1956	2020	64	0.23001139007754	0.230755263497669	1.00323407210347	1.00505783183434	2.2752	1.927	0.846958509142054	0.77749965584844	22.7558175985902
full	Kexp1p3_D120	rep003	W_Skane	1951	2020	69	0.230904085403321	0.230472690025597	0.998131711801587	0.997293472708274	2.249	2.147	0.954646509559804	0.935844513461133	6.14489592471401
full	Kexp1p3_D120	rep003	E_Skane	1956	2020	64	0.231896462630211	0.228873389472321	0.986963694384978	0.979705598105235	2.2752	2.224	0.977496483825598	0.965589693004084	1.41159051011511
full	Kexp1p3_D120	rep003	Ehist_to_SEmodern	1956	2020	64	0.231896462630211	0.227467015085531	0.980899029271771	0.970315516139878	2.2752	1.927	0.846958509142054	0.77749965584844	19.2815860291438
full	Kexp1p3_D120	rep004	W_Skane	1951	2020	69	0.231248995110887	0.226415107251786	0.979096610314856	0.969848037498401	2.249	2.147	0.954646509559804	0.935844513461133	3.40035240372679
full	Kexp1p3_D120	rep004	E_Skane	1956	2020	64	0.228681333954563	0.215686584401724	0.943175294073539	0.912642418178153	2.2752	2.224	0.977496483825598	0.965589693004084	-5.29472748259309
full	Kexp1p3_D120	rep004	Ehist_to_SEmodern	1956	2020	64	0.228681333954563	0.229742802322976	1.00464169221885	1.00726210584584	2.2752	1.927	0.846958509142054	0.77749965584844	22.9762449997398
full	Kexp1p3_D120	rep005	W_Skane	1951	2020	69	0.231330083496763	0.232231262113869	1.00389563952722	1.00565079158841	2.249	2.147	0.954646509559804	0.935844513461133	6.98062781272774
full	Kexp1p3_D120	rep005	E_Skane	1956	2020	64	0.230738086631216	0.227901620058147	0.987706985810269	0.980858694276116	2.2752	2.224	0.977496483825598	0.965589693004084	1.52690012720322
full	Kexp1p3_D120	rep005	Ehist_to_SEmodern	1956	2020	64	0.230738086631216	0.226493806887441	0.98160563864535	0.971407901983202	2.2752	1.927	0.846958509142054	0.77749965584844	19.3908246134761
no_oland	Kexp1p2_D120	rep001	W_Skane	1951	2020	69	0.231147557155562	0.230085131442466	0.995403690498961	0.993345565535865	2.249	2.147	0.954646509559804	0.935844513461133	5.7501052074732
no_oland	Kexp1p2_D120	rep001	E_Skane	1956	2020	64	0.229880409092456	0.227577266514644	0.989981127200422	0.984389687277546	2.2752	2.224	0.977496483825598	0.965589693004084	1.87999942734614
no_oland	Kexp1p2_D120	rep001	Ehist_to_SEmodern	1956	2020	64	0.229880409092456	0.230150162630911	1.00117345162	1.00183412317472	2.2752	1.927	0.846958509142054	0.77749965584844	22.4334467326282
no_oland	Kexp1p2_D120	rep002	W_Skane	1951	2020	69	0.231817336893165	0.223287329361242	0.96320375496396	0.947115928390935	2.249	2.147	0.954646509559804	0.935844513461133	1.12714149298014
no_oland	Kexp1p2_D120	rep002	E_Skane	1956	2020	64	0.229281078118123	0.226401420358629	0.987440491020322	0.980445214654031	2.2752	2.224	0.977496483825598	0.965589693004084	1.4855521649947
no_oland	Kexp1p2_D120	rep002	Ehist_to_SEmodern	1956	2020	64	0.229281078118123	0.217838156627685	0.950092168161633	0.923121712050477	2.2752	1.927	0.846958509142054	0.77749965584844	14.5622056202037
no_oland	Kexp1p2_D120	rep003	W_Skane	1951	2020	69	0.231425013721756	0.23271224019888	1.00556217522222	1.00807118541353	2.249	2.147	0.954646509559804	0.935844513461133	7.22266719523964
no_oland	Kexp1p2_D120	rep003	E_Skane	1956	2020	64	0.229287895740375	0.228845176395388	0.998069155183451	0.996984693788105	2.2752	2.224	0.977496483825598	0.965589693004084	3.13950007840208
no_oland	Kexp1p2_D120	rep003	Ehist_to_SEmodern	1956	2020	64	0.229287895740375	0.229289917416238	1.00000881719402	1.00001377689982	2.2752	1.927	0.846958509142054	0.77749965584844	22.2514121051376
no_oland	Kexp1p2_D120	rep004	W_Skane	1951	2020	69	0.231783145484598	0.227072917413958	0.979678297743382	0.970683210952052	2.249	2.147	0.954646509559804	0.935844513461133	3.48386974909191
no_oland	Kexp1p2_D120	rep004	E_Skane	1956	2020	64	0.230275624588457	0.226506589929163	0.983632507061789	0.974543802174474	2.2752	2.224	0.977496483825598	0.965589693004084	0.895410917038952
no_oland	Kexp1p2_D120	rep004	Ehist_to_SEmodern	1956	2020	64	0.230275624588457	0.226753820965536	0.984706138006507	0.976206360219952	2.2752	1.927	0.846958509142054	0.77749965584844	19.8706704371512
no_oland	Kexp1p2_D120	rep005	W_Skane	1951	2020	69	0.229037606365882	0.228802243452229	0.998972383106041	0.998511044010739	2.249	2.147	0.954646509559804	0.935844513461133	6.26665305496052
no_oland	Kexp1p2_D120	rep005	E_Skane	1956	2020	64	0.229013847985307	0.231990062902379	1.01299578581493	1.02037999476215	2.2752	2.224	0.977496483825598	0.965589693004084	5.47903017580685
no_oland	Kexp1p2_D120	rep005	Ehist_to_SEmodern	1956	2020	64	0.229013847985307	0.228476746259972	0.997654719441375	0.996337917096554	2.2752	1.927	0.846958509142054	0.77749965584844	21.8838261248114
no_oland	Kexp1p3_D120	rep001	W_Skane	1951	2020	69	0.228364314519847	0.228928653531484	1.00247122240979	1.00358346903902	2.249	2.147	0.954646509559804	0.935844513461133	6.77389555778901
no_oland	Kexp1p3_D120	rep001	E_Skane	1956	2020	64	0.231021534441207	0.226349319779487	0.979775847853226	0.968580039794011	2.2752	2.224	0.977496483825598	0.965589693004084	0.299034678992693
no_oland	Kexp1p3_D120	rep001	Ehist_to_SEmodern	1956	2020	64	0.231021534441207	0.22804666054453	0.987122958455486	0.979952629391111	2.2752	1.927	0.846958509142054	0.77749965584844	20.2452973542671
no_oland	Kexp1p3_D120	rep002	W_Skane	1951	2020	69	0.231725195695457	0.231550403740106	0.999245692921627	0.998906986599264	2.249	2.147	0.954646509559804	0.935844513461133	6.30624731381304
no_oland	Kexp1p3_D120	rep002	E_Skane	1956	2020	64	0.229565765495797	0.224161224577177	0.976457548419959	0.963459328378675	2.2752	2.224	0.977496483825598	0.965589693004084	-0.213036462540939
no_oland	Kexp1p3_D120	rep002	Ehist_to_SEmodern	1956	2020	64	0.229565765495797	0.226752566641095	0.987745564550421	0.980918556267263	2.2752	1.927	0.846958509142054	0.77749965584844	20.3418900418823
no_oland	Kexp1p3_D120	rep003	W_Skane	1951	2020	69	0.230920406377803	0.230421557858707	0.997839738259077	0.996870705795279	2.249	2.147	0.954646509559804	0.935844513461133	6.10261923341457
no_oland	Kexp1p3_D120	rep003	E_Skane	1956	2020	64	0.23038728897716	0.22521802058705	0.977562701427411	0.965163685713291	2.2752	2.224	0.977496483825598	0.965589693004084	-0.0426007290793562
no_oland	Kexp1p3_D120	rep003	Ehist_to_SEmodern	1956	2020	64	0.23038728897716	0.227420974000193	0.987124658699115	0.979955266725649	2.2752	1.927	0.846958509142054	0.77749965584844	20.2455610877209
no_oland	Kexp1p3_D120	rep004	W_Skane	1951	2020	69	0.23016705911896	0.231461116130499	1.00562225114442	1.00815847038137	2.249	2.147	0.954646509559804	0.935844513461133	7.23139569202397
no_oland	Kexp1p3_D120	rep004	E_Skane	1956	2020	64	0.231157990183554	0.227009260448613	0.98205240609833	0.972098812377893	2.2752	2.224	0.977496483825598	0.965589693004084	0.65091193738086
no_oland	Kexp1p3_D120	rep004	Ehist_to_SEmodern	1956	2020	64	0.231157990183554	0.227445544002465	0.983939788634861	0.975019535076516	2.2752	1.927	0.846958509142054	0.77749965584844	19.7519879228075
no_oland	Kexp1p3_D120	rep005	W_Skane	1951	2020	69	0.230722282143268	0.230807566982235	1.00036964283716	1.00053575873714	2.249	2.147	0.954646509559804	0.935844513461133	6.46912452760097
no_oland	Kexp1p3_D120	rep005	E_Skane	1956	2020	64	0.231279984302941	0.224379181894627	0.970162561065917	0.95377195570742	2.2752	2.224	0.977496483825598	0.965589693004084	-1.18177372966639
no_oland	Kexp1p3_D120	rep005	Ehist_to_SEmodern	1956	2020	64	0.231279984302941	0.229439477159796	0.992042082030175	0.987593615451239	2.2752	1.927	0.846958509142054	0.77749965584844	21.0093959602799
skane_only	Kexp1p2_D120	rep001	W_Skane	1951	2020	69	0.231068328121209	0.232427914361781	1.005883914302	1.00853867098239	2.249	2.147	0.954646509559804	0.935844513461133	7.26941575212615
skane_only	Kexp1p2_D120	rep001	E_Skane	1956	2020	64	0.22778770895302	0.227260337465071	0.99768481148358	0.996384874250809	2.2752	2.224	0.977496483825598	0.965589693004084	3.07951812467248
skane_only	Kexp1p2_D120	rep001	Ehist_to_SEmodern	1956	2020	64	0.22778770895302	0.228206402451192	1.00183808643625	1.00287349437844	2.2752	1.927	0.846958509142054	0.77749965584844	22.5373838529999
skane_only	Kexp1p2_D120	rep002	W_Skane	1951	2020	69	0.230753891119164	0.227885996340486	0.987571629822717	0.982038272309951	2.249	2.147	0.954646509559804	0.935844513461133	4.61937588488174
skane_only	Kexp1p2_D120	rep002	E_Skane	1956	2020	64	0.230517443583788	0.22900212374098	0.993426441751001	0.989747822985816	2.2752	2.224	0.977496483825598	0.965589693004084	2.41581299817319
skane_only	Kexp1p2_D120	rep002	Ehist_to_SEmodern	1956	2020	64	0.230517443583788	0.232291368234291	1.00769540310236	1.01205006229769	2.2752	1.927	0.846958509142054	0.77749965584844	23.4550406449245
skane_only	Kexp1p2_D120	rep003	W_Skane	1951	2020	69	0.230643776190064	0.230968129733567	1.00140629653599	1.00203875460949	2.249	2.147	0.954646509559804	0.935844513461133	6.61942411483599
skane_only	Kexp1p2_D120	rep003	E_Skane	1956	2020	64	0.228676582278448	0.228319457664348	0.998438298270236	0.997560913079108	2.2752	2.224	0.977496483825598	0.965589693004084	3.19712200750234
skane_only	Kexp1p2_D120	rep003	Ehist_to_SEmodern	1956	2020	64	0.228676582278448	0.228767380611168	1.00039706003918	1.00062047558993	2.2752	1.927	0.846958509142054	0.77749965584844	22.3120819741489
skane_only	Kexp1p2_D120	rep004	W_Skane	1951	2020	69	0.230295457671372	0.228771770746709	0.993383773435786	0.990425534495255	2.249	2.147	0.954646509559804	0.935844513461133	5.45810210341218
skane_only	Kexp1p2_D120	rep004	E_Skane	1956	2020	64	0.229900138878064	0.228025383143914	0.991845347535244	0.987287613289257	2.2752	2.224	0.977496483825598	0.965589693004084	2.16979202851727
skane_only	Kexp1p2_D120	rep004	Ehist_to_SEmodern	1956	2020	64	0.229900138878064	0.223600449322625	0.972598148108209	0.957515906595054	2.2752	1.927	0.846958509142054	0.77749965584844	18.0016250746614
skane_only	Kexp1p2_D120	rep005	W_Skane	1951	2020	69	0.232038186535206	0.233189280074068	1.0049607935489	1.00719756049131	2.249	2.147	0.954646509559804	0.935844513461133	7.13530470301774
skane_only	Kexp1p2_D120	rep005	E_Skane	1956	2020	64	0.22919368859653	0.229690019243772	1.00216555111217	1.00338573382691	2.2752	2.224	0.977496483825598	0.965589693004084	3.77960408228225
skane_only	Kexp1p2_D120	rep005	Ehist_to_SEmodern	1956	2020	64	0.22919368859653	0.223255436317753	0.974090681488045	0.959812816696231	2.2752	1.927	0.846958509142054	0.77749965584844	18.231316084779
skane_only	Kexp1p3_D120	rep001	W_Skane	1951	2020	69	0.230658444407636	0.23129848743303	1.00277485191161	1.00402402999623	2.249	2.147	0.954646509559804	0.935844513461133	6.81795165350995
skane_only	Kexp1p3_D120	rep001	E_Skane	1956	2020	64	0.225871957100215	0.225743674757273	0.999432057239026	0.999112731197273	2.2752	2.224	0.977496483825598	0.965589693004084	3.35230381931888
