landscape	model	target	n_reps	mean_pi	sd_between_reps	min_rep_pi	max_rep_pi	empirical_pi	sim_empirical_ratio
full	Kexp1p3_D120	ESkane_hist	5	0.000230752436271627	3.32542539555162e-07	0.000230405043082585	0.000231160072691082	0.002389	0.0965895505532136
full	Kexp1p3_D120	ESkane_mod	5	0.000228042828747577	1.94791671118284e-06	0.00022522559987119	0.000230359478503285	0.002345	0.0972464088475808
full	Kexp1p3_D120	SESkane_mod	5	0.00022648367558772	1.62143864169843e-06	0.000223761364689034	0.000228009320254849	0.002091	0.108313570343243
full	Kexp1p3_D120	WSkane_hist	5	0.000231124701055243	7.48506543245221e-07	0.000230259624787379	0.00023229013741652	0.0023	0.100489000458801
full	Kexp1p3_D120	WSkane_mod	5	0.00023013385344928	9.32790517479977e-07	0.000229542404936738	0.000231732337717156	0.002252	0.102190876309627
no_oland	Kexp1p2_D120	ESkane_hist	5	0.000230457008713184	8.33485071011707e-07	0.000229292622108673	0.000231291998778911	0.002389	0.0964658889548698
no_oland	Kexp1p2_D120	ESkane_mod	5	0.000228635833626596	1.3241859132499e-06	0.000226670063971152	0.000229998777412978	0.002345	0.0974992893930049
no_oland	Kexp1p2_D120	NSmaland_hist_1900proxy	4	0.000217808687426221	7.21576678045889e-06	0.000210694789394731	0.000225007102439539	NA	NA
no_oland	Kexp1p2_D120	NSmaland_hist_1951proxy	1	0.000227372746819104	NA	0.000227372746819104	0.000227372746819104	NA	NA
no_oland	Kexp1p2_D120	SESkane_mod	5	0.000227260135861089	7.39247141587655e-07	0.000226117801475292	0.000227938866933181	0.002091	0.108684904763792
no_oland	Kexp1p2_D120	WSkane_hist	5	0.000231372568411191	4.18095193897471e-07	0.000230694920172059	0.000231759387472637	0.0023	0.100596768874431
no_oland	Kexp1p2_D120	WSkane_mod	5	0.000229942710977037	1.13841163095373e-06	0.000228253550295724	0.000231403388074409	0.002252	0.102105999545754
no_oland	Kexp1p3_D120	ESkane_hist	5	0.000230311137671827	2.89212198758426e-07	0.000229946433858113	0.00023067365065146	0.002389	0.0964048294984627
no_oland	Kexp1p3_D120	ESkane_mod	5	0.000228130986050212	5.15465203666959e-07	0.000227556519096643	0.000228706590052808	0.002345	0.0972840025800479
no_oland	Kexp1p3_D120	SESkane_mod	5	0.000227274429733262	5.06062374632677e-07	0.000226641640756833	0.000227960621146536	0.002091	0.108691740666314
no_oland	Kexp1p3_D120	WSkane_hist	5	0.000231194402036849	5.90792522779871e-07	0.000230234115681448	0.000231770225619804	0.0023	0.100519305233412
no_oland	Kexp1p3_D120	WSkane_mod	5	0.000230725031357203	3.79042223663665e-07	0.000230247143988597	0.000231211391267389	0.002252	0.102453388702133
skane_only	Kexp1p2_D120	ESkane_hist	5	0.000230254966057101	7.09242026321939e-07	0.000229180755231909	0.000230920688059153	0.002389	0.0963813168928843
skane_only	Kexp1p2_D120	ESkane_mod	5	0.000228339081155136	7.06166762698064e-07	0.000227506510200898	0.000228976432668184	0.002345	0.0973727424968598
skane_only	Kexp1p2_D120	SESkane_mod	5	0.000226631427366006	1.35188350712916e-06	0.000225432362727933	0.000228954580842635	0.002091	0.108384231164996
skane_only	Kexp1p2_D120	WSkane_hist	5	0.00023084258548252	2.3975628106638e-07	0.000230513467514767	0.000231064848493115	0.0023	0.100366341514139
skane_only	Kexp1p2_D120	WSkane_mod	5	0.000230749164226564	9.59392937109792e-07	0.000229151684915916	0.000231663385221099	0.002252	0.102464104896343
skane_only	Kexp1p3_D120	ESkane_hist	5	0.00023022479310307	1.13356895143582e-06	0.000228816132372435	0.000231288100337475	0.002389	0.0963686869414273
skane_only	Kexp1p3_D120	ESkane_mod	5	0.000227961738540131	8.91658743427781e-07	0.000226696208151452	0.000228827797618995	0.002345	0.0972118288017617
skane_only	Kexp1p3_D120	SESkane_mod	5	0.000226661320419215	1.11271275554658e-06	0.000225559924919134	0.000228422442765977	0.002091	0.10839852722105
skane_only	Kexp1p3_D120	WSkane_hist	5	0.000231194542558576	3.73299692121605e-07	0.000230823096261741	0.000231622699014361	0.0023	0.100519366329816
skane_only	Kexp1p3_D120	WSkane_mod	5	0.000230096245373694	7.80987136507714e-07	0.000229282160583608	0.000231338057589345	0.002252	0.102174176453683
skane_only	Kexp1p5_D120	ESkane_hist	5	0.000230206367961996	5.87734860768764e-07	0.000229642910548248	0.000231124489464819	0.002389	0.0963609744503959
skane_only	Kexp1p5_D120	ESkane_mod	5	0.000226370897966329	2.12253074533034e-06	0.000223449413727068	0.000228372234579153	0.002345	0.0965334319685838
skane_only	Kexp1p5_D120	SESkane_mod	5	0.000225384616294425	1.29692789197843e-06	0.000224501444496375	0.000227626260031137	0.002091	0.107787956142719
skane_only	Kexp1p5_D120	WSkane_hist	5	0.00023068917280132	6.39503345941133e-07	0.000229813954802896	0.000231610067234037	0.0023	0.1002996403484
skane_only	Kexp1p5_D120	WSkane_mod	5	0.000229756050033151	6.83056624477359e-07	0.000228989619618334	0.000230737299124451	0.002252	0.102023112803353
