landscape	model	rep	simulation_year	target	empirical_year	locality	n_draws	mean_pi	median_pi	sd_sampling	q025_sampling	q975_sampling	min_pi	max_pi	empirical_pi	sim_empirical_ratio
full	Kexp1p3_D120	rep001	1951	WSkane_hist	1951	Torna Hällestad	100	0.000230765442122952	0.000231371852055466	3.3480747358264e-06	0.000222189535305579	0.000234931600210019	0.000217346489249937	0.000235549816811909	0.0023	0.100332800923022
full	Kexp1p3_D120	rep001	1956	ESkane_hist	1956	Degeberga	100	0.00023097317126374	0.000231570763077955	3.09497365233306e-06	0.000223472324115563	0.000236310063585299	0.000222141661371228	0.000238495040869521	0.002389	0.0966819469500797
full	Kexp1p3_D120	rep001	2020	ESkane_mod	2021	Fästan	100	0.00022742454189992	0.000227948449475433	3.40907328938306e-06	0.000220485991017633	0.000232944598333412	0.000216546527079091	0.000233368065655932	0.002345	0.0969827470788574
full	Kexp1p3_D120	rep001	2020	SESkane_mod	2022	SE Skåne	100	0.000226674019324079	0.00022738425179794	3.54406146898058e-06	0.000215584631432636	0.00023095916868407	0.000212768217475499	0.000231392050878028	0.002091	0.108404600346284
full	Kexp1p3_D120	rep001	2020	WSkane_mod	2021	Silvåkra	100	0.000229614053091731	0.00022992011352675	2.59911411709233e-06	0.00022163896896449	0.000233213891704948	0.000219169625354236	0.000234134658814096	0.002252	0.101960059099348
full	Kexp1p3_D120	rep002	1951	WSkane_hist	1951	Torna Hällestad	100	0.000231196857632603	0.00023151285163272	2.68164924219813e-06	0.00022351770326801	0.000235016785506401	0.000222012576803634	0.000235529564463359	0.0023	0.10052037288374
full	Kexp1p3_D120	rep002	1956	ESkane_hist	1956	Degeberga	100	0.000230405043082585	0.000230701616070143	2.55550267713572e-06	0.000223441811605527	0.000234605638402119	0.000222662398093069	0.000235432718568196	0.002389	0.0964441369119234
full	Kexp1p3_D120	rep002	2020	ESkane_mod	2021	Fästan	100	0.000229260161522258	0.000229606492199619	2.91821843241646e-06	0.000224200652237843	0.000233558478638834	0.00021177843087369	0.000234294355220127	0.002345	0.0977655273016024
full	Kexp1p3_D120	rep002	2020	SESkane_mod	2022	SE Skåne	100	0.000228009320254849	0.00022812428570715	2.76553696837489e-06	0.000221739603616669	0.000232359642054253	0.000216994227385182	0.000233161297405435	0.002091	0.10904319476559
full	Kexp1p3_D120	rep002	2020	WSkane_mod	2021	Silvåkra	100	0.000229584836239721	0.000229356478763337	2.38463227705018e-06	0.000225501237996675	0.000233853892100438	0.000220560042828562	0.000234490215941234	0.002252	0.101947085363997
full	Kexp1p3_D120	rep003	1951	WSkane_hist	1951	Torna Hällestad	100	0.000230259624787379	0.000230849822238313	3.61585484212917e-06	0.000220156591119062	0.000235086424831897	0.00021434763472531	0.00023626472935142	0.0023	0.100112880342339
full	Kexp1p3_D120	rep003	1956	ESkane_hist	1956	Degeberga	100	0.000231160072691082	0.000231334520668126	2.93378768080827e-06	0.00022346625725238	0.000235718515669409	0.000219768780028698	0.000236942425654062	0.002389	0.0967601811180755
full	Kexp1p3_D120	rep003	2020	ESkane_mod	2021	Fästan	100	0.000227944361941232	0.000228218422701465	2.8324939451729e-06	0.00022128974864314	0.000232688482859309	0.000218536109606248	0.000233102929361265	0.002345	0.0972044187382654
full	Kexp1p3_D120	rep003	2020	SESkane_mod	2022	SE Skåne	100	0.000226643972740096	0.000226892407524068	3.18901252522047e-06	0.000220112712875045	0.000231963180971566	0.000216205177043743	0.000232936133158465	0.002091	0.10839023086566
full	Kexp1p3_D120	rep003	2020	WSkane_mod	2021	Silvåkra	100	0.000230195635261056	0.000230524219313165	2.17291431654694e-06	0.000224843304467754	0.000233408688824892	0.000222775175957827	0.000233849891612766	0.002252	0.102218310506686
full	Kexp1p3_D120	rep004	1951	WSkane_hist	1951	Torna Hällestad	100	0.00023111144331676	0.000231736526628867	3.01517308244162e-06	0.000224587394863419	0.000235179093164342	0.000214365548580303	0.000235833617552371	0.0023	0.100483236224678
full	Kexp1p3_D120	rep004	1956	ESkane_hist	1956	Degeberga	100	0.0002304285209263	0.000230789988719207	2.62739074531044e-06	0.000224908062900228	0.00023381716679778	0.000216229266465801	0.00023435443660927	0.002389	0.0964539643894098
full	Kexp1p3_D120	rep004	2020	ESkane_mod	2021	Fästan	100	0.00022522559987119	0.000225750777525138	3.73216916257434e-06	0.000217485565480427	0.000230660275043634	0.000215597947188337	0.000231327255834793	0.002345	0.0960450319280126
full	Kexp1p3_D120	rep004	2020	SESkane_mod	2022	SE Skåne	100	0.000223761364689034	0.000224258233326835	4.57947179111673e-06	0.000215096340240107	0.000229649647924516	0.000201676992328828	0.000232079456829357	0.002091	0.107011652170748
full	Kexp1p3_D120	rep004	2020	WSkane_mod	2021	Silvåkra	100	0.000229542404936738	0.000229919557690979	2.5655033343166e-06	0.000223207685552629	0.000233307224417618	0.000219469927268393	0.000233844732451587	0.002252	0.101928243755212
full	Kexp1p3_D120	rep005	1951	WSkane_hist	1951	Torna Hällestad	100	0.00023229013741652	0.000233143533233563	3.68423715262028e-06	0.000224632824771031	0.00023627755157135	0.000212341322898032	0.00023650396834222	0.0023	0.100995711920226
full	Kexp1p3_D120	rep005	1956	ESkane_hist	1956	Degeberga	100	0.000230795373394429	0.000231255057749691	2.87163591105804e-06	0.000224485951358366	0.000235650632059947	0.000220011980986433	0.000235960983560961	0.002389	0.0966075233965799
full	Kexp1p3_D120	rep005	2020	ESkane_mod	2021	Fästan	100	0.000230359478503285	0.000230482087695584	2.61142246167728e-06	0.000225225262963769	0.000234567642935711	0.00022363618195089	0.000234944304707124	0.002345	0.0982343191911663
full	Kexp1p3_D120	rep005	2020	SESkane_mod	2022	SE Skåne	100	0.000227329700930543	0.000227830866465168	3.58120764169238e-06	0.000219699693951196	0.000232816954043694	0.000214386258242897	0.00023420400965812	0.002091	0.108718173567931
