landscape	model	rep	comparison	simulation_hist_year	simulation_modern_year	simulation_years	historical_pi	modern_pi	retention	retention_100yr	empirical_hist_pi	empirical_modern_pi	empirical_retention	empirical_retention_100yr	error_retention_100yr_pp
full	Kexp1p3_D120	rep001	W_Skane	1951	2020	69	0.000230765442122952	0.000229614053091731	0.995010565617501	0.992777047800438	0.0023	0.002252	0.979130434782609	0.970320197986051	2.24568498143867
full	Kexp1p3_D120	rep001	E_Skane	1956	2020	64	0.00023097317126374	0.00022742454189992	0.984636183742017	0.976098002332086	0.002389	0.002345	0.98158225198828	0.971805906485717	0.42920958463688
full	Kexp1p3_D120	rep001	Ehist_to_SEmodern	1956	2020	64	0.00023097317126374	0.000226674019324079	0.981386790872123	0.971069526014825	0.002389	0.002091	0.875261615738803	0.817203326615432	15.3866199399392
full	Kexp1p3_D120	rep002	W_Skane	1951	2020	69	0.000231196857632603	0.000229584836239721	0.993027494363944	0.989910767143236	0.0023	0.002252	0.979130434782609	0.970320197986051	1.95905691571847
full	Kexp1p3_D120	rep002	E_Skane	1956	2020	64	0.000230405043082585	0.000229260161522258	0.995031004768776	0.992246803327193	0.002389	0.002345	0.98158225198828	0.971805906485717	2.04408968414751
full	Kexp1p3_D120	rep002	Ehist_to_SEmodern	1956	2020	64	0.000230405043082585	0.000228009320254849	0.989602125041692	0.983800904520887	0.002389	0.002091	0.875261615738803	0.817203326615432	16.6597577905454
full	Kexp1p3_D120	rep003	W_Skane	1951	2020	69	0.000230259624787379	0.000230195635261056	0.999722098364477	0.999597269150691	0.0023	0.002252	0.979130434782609	0.970320197986051	2.92770711646401
full	Kexp1p3_D120	rep003	E_Skane	1956	2020	64	0.000231160072691082	0.000227944361941232	0.986088814074101	0.97834898883755	0.002389	0.002345	0.98158225198828	0.971805906485717	0.654308235183221
full	Kexp1p3_D120	rep003	Ehist_to_SEmodern	1956	2020	64	0.000231160072691082	0.000226643972740096	0.980463321808079	0.969642152853065	0.002389	0.002091	0.875261615738803	0.817203326615432	15.2438826237633
full	Kexp1p3_D120	rep004	W_Skane	1951	2020	69	0.00023111144331676	0.000229542404936738	0.993210901383745	0.99017575114582	0.0023	0.002252	0.979130434782609	0.970320197986051	1.98555531597686
full	Kexp1p3_D120	rep004	E_Skane	1956	2020	64	0.0002304285209263	0.00022522559987119	0.977420672431541	0.964944589109354	0.002389	0.002345	0.98158225198828	0.971805906485717	-0.686131737636342
full	Kexp1p3_D120	rep004	Ehist_to_SEmodern	1956	2020	64	0.0002304285209263	0.000223761364689034	0.971066271612279	0.95516051095022	0.002389	0.002091	0.875261615738803	0.817203326615432	13.7957184334788
full	Kexp1p3_D120	rep005	W_Skane	1951	2020	69	0.00023229013741652	0.000231732337717156	0.997598694005836	0.996521724491305	0.0023	0.002252	0.979130434782609	0.970320197986051	2.6201526505254
full	Kexp1p3_D120	rep005	E_Skane	1956	2020	64	0.000230795373394429	0.000230359478503285	0.998111336095116	0.997050530632524	0.002389	0.002345	0.98158225198828	0.971805906485717	2.52446241468069
full	Kexp1p3_D120	rep005	Ehist_to_SEmodern	1956	2020	64	0.000230795373394429	0.000227329700930543	0.984983787097137	0.976636476327334	0.002389	0.002091	0.875261615738803	0.817203326615432	15.9433149711902
no_oland	Kexp1p2_D120	rep001	W_Skane	1951	2020	69	0.000230694920172059	0.000231403388074409	1.00307101648281	1.00445381721707	0.0023	0.002252	0.979130434782609	0.970320197986051	3.41336192310173
no_oland	Kexp1p2_D120	rep001	E_Skane	1956	2020	64	0.000231291998778911	0.000229998777412978	0.994408706860764	0.991277354124022	0.002389	0.002345	0.98158225198828	0.971805906485717	1.94714476383048
no_oland	Kexp1p2_D120	rep001	Ehist_to_SEmodern	1956	2020	64	0.000231291998778911	0.000227938866933181	0.98550260336098	0.977440375892812	0.002389	0.002091	0.875261615738803	0.817203326615432	16.0237049277379
no_oland	Kexp1p2_D120	rep002	W_Skane	1951	2020	69	0.000231661970961918	0.000228253550295724	0.985287094588547	0.978747614358495	0.0023	0.002252	0.979130434782609	0.970320197986051	0.842741637244349
no_oland	Kexp1p2_D120	rep002	E_Skane	1956	2020	64	0.00022990204840827	0.000226670063971152	0.98594190674031	0.978121257355202	0.002389	0.002345	0.98158225198828	0.971805906485717	0.63153508694842
no_oland	Kexp1p2_D120	rep002	Ehist_to_SEmodern	1956	2020	64	0.00022990204840827	0.000226117801475292	0.983539742428664	0.974400200524913	0.002389	0.002091	0.875261615738803	0.817203326615432	15.7196873909481
no_oland	Kexp1p2_D120	rep003	W_Skane	1951	2020	69	0.000231315734403511	0.000230087155144972	0.994688734591675	0.992311706824253	0.0023	0.002252	0.979130434782609	0.970320197986051	2.19915088382014
no_oland	Kexp1p2_D120	rep003	E_Skane	1956	2020	64	0.000229292622108673	0.000229284495452644	0.999964557708161	0.999944621971026	0.002389	0.002345	0.98158225198828	0.971805906485717	2.81387154853083
no_oland	Kexp1p2_D120	rep003	Ehist_to_SEmodern	1956	2020	64	0.000229292622108673	0.00022789448587108	0.993902393261783	0.990488843255103	0.002389	0.002091	0.875261615738803	0.817203326615432	17.3285516639671
no_oland	Kexp1p2_D120	rep004	W_Skane	1951	2020	69	0.000231759387472637	0.000229690887745267	0.99107479636563	0.987090898924706	0.0023	0.002252	0.979130434782609	0.970320197986051	1.67707009386547
