landscape	model	rep	simulation_year	target	target_region	locality	empirical_population	empirical_year	match_type	model_x	model_y	radius	total_snapshot_N	available	required	enough	nearest_distance	females_in_pool	males_in_pool	source_file
full	Kexp1p3_D120	rep001	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	35275	154	5	TRUE	0.314753577951606	81	73	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep001_year1956_positions.tsv
full	Kexp1p3_D120	rep002	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	36818	185	5	TRUE	0.255409144493049	92	93	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep002_year1956_positions.tsv
full	Kexp1p3_D120	rep003	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	36798	161	5	TRUE	0.483659605810588	78	83	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep003_year1956_positions.tsv
full	Kexp1p3_D120	rep004	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	36071	150	5	TRUE	0.45413217011773	81	69	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep004_year1956_positions.tsv
full	Kexp1p3_D120	rep005	1956	ESkane_hist	ESkane	Degeberga	ESkane1956	1956	exact	133.161463064353	68.4164000857053	4	34256	140	5	TRUE	0.212078014015415	66	74	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep005_year1956_positions.tsv
full	Kexp1p3_D120	rep001	2020	ESkane_mod	ESkane	Fästan	ESkane2021	2021	nearest	137.719496089832	62.1208780544636	4	22008	94	8	TRUE	0.587984815649657	43	51	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep001_year2020_positions.tsv
full	Kexp1p3_D120	rep002	2020	ESkane_mod	ESkane	Fästan	ESkane2021	2021	nearest	137.719496089832	62.1208780544636	4	23085	96	8	TRUE	0.267319246265581	49	47	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep002_year2020_positions.tsv
full	Kexp1p3_D120	rep003	2020	ESkane_mod	ESkane	Fästan	ESkane2021	2021	nearest	137.719496089832	62.1208780544636	4	24273	92	8	TRUE	0.628885254663022	45	47	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep003_year2020_positions.tsv
full	Kexp1p3_D120	rep004	2020	ESkane_mod	ESkane	Fästan	ESkane2021	2021	nearest	137.719496089832	62.1208780544636	4	22131	88	8	TRUE	0.309413109533471	46	42	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep004_year2020_positions.tsv
full	Kexp1p3_D120	rep005	2020	ESkane_mod	ESkane	Fästan	ESkane2021	2021	nearest	137.719496089832	62.1208780544636	4	22614	78	8	TRUE	0.369879131944203	35	43	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep005_year2020_positions.tsv
full	Kexp1p3_D120	rep001	1900	NSmaland_hist_1900proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	45913	0	3	FALSE	10.3978256348927	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep001_year1900_positions.tsv
full	Kexp1p3_D120	rep002	1900	NSmaland_hist_1900proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	46363	1	3	FALSE	3.27358118576799	0	1	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep002_year1900_positions.tsv
full	Kexp1p3_D120	rep003	1900	NSmaland_hist_1900proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	45849	1	3	FALSE	3.6145661639177	0	1	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep003_year1900_positions.tsv
full	Kexp1p3_D120	rep004	1900	NSmaland_hist_1900proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	45042	0	3	FALSE	4.49119128084831	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep004_year1900_positions.tsv
full	Kexp1p3_D120	rep005	1900	NSmaland_hist_1900proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	44555	1	3	FALSE	1.44393715169645	1	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep005_year1900_positions.tsv
full	Kexp1p3_D120	rep001	1951	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	36649	0	3	FALSE	35.5584456080088	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep001_year1951_positions.tsv
full	Kexp1p3_D120	rep002	1951	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	36942	0	3	FALSE	4.16761858761914	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep002_year1951_positions.tsv
full	Kexp1p3_D120	rep003	1951	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	37219	0	3	FALSE	11.1573167567886	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep003_year1951_positions.tsv
full	Kexp1p3_D120	rep004	1951	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	37160	0	3	FALSE	23.5800501947399	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep004_year1951_positions.tsv
full	Kexp1p3_D120	rep005	1951	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	NSmaland1936	1936	historical_proxy	158.075012210963	216.528186581316	4	35147	0	3	FALSE	9.08996346354636	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep005_year1951_positions.tsv
full	Kexp1p3_D120	rep001	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	22008	0	6	FALSE	58.1972465420314	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep001_year2020_positions.tsv
full	Kexp1p3_D120	rep002	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	23085	0	6	FALSE	42.3716538360835	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep002_year2020_positions.tsv
full	Kexp1p3_D120	rep003	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	24273	0	6	FALSE	45.0253590202806	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep003_year2020_positions.tsv
full	Kexp1p3_D120	rep004	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	22131	0	6	FALSE	47.2915194304674	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep004_year2020_positions.tsv
full	Kexp1p3_D120	rep005	2020	NSmaland_mod	NSmaland	Götafors	NSmaland2021	2021	nearest	136.618653142765	234.953750995047	4	22614	0	6	FALSE	47.1440290237531	0	0	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep005_year2020_positions.tsv
full	Kexp1p3_D120	rep001	2020	SESkane_mod	SESkane	SE Skåne	SESkane2022	2022	nearest	133.209781315013	22.9388974435185	4	22008	60	7	TRUE	0.750058313657986	28	32	sampling/full/Kexp1p3_D120/Kexp1p3_D120_rep001_year2020_positions.tsv
