landscape	model	target	target_region	locality	empirical_year	simulation_year	required	reps_checked	complete_5_reps	min_available	median_available	max_available	reps_enough	all_checked_enough	all_5_reps_enough	max_nearest_distance
full	Kexp1p3_D120	ESkane_hist	ESkane	Degeberga	1956	1956	5	5	TRUE	140	154	185	5	TRUE	TRUE	0.483659605810588
full	Kexp1p3_D120	ESkane_mod	ESkane	Fästan	2021	2020	8	5	TRUE	78	92	96	5	TRUE	TRUE	0.628885254663022
full	Kexp1p3_D120	NSmaland_hist_1900proxy	NSmaland	Hjelmseryd	1936	1900	3	5	TRUE	0	1	1	0	FALSE	FALSE	10.3978256348927
full	Kexp1p3_D120	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	1936	1951	3	5	TRUE	0	0	0	0	FALSE	FALSE	35.5584456080088
full	Kexp1p3_D120	NSmaland_mod	NSmaland	Götafors	2021	2020	6	5	TRUE	0	0	0	0	FALSE	FALSE	58.1972465420314
full	Kexp1p3_D120	SESkane_mod	SESkane	SE Skåne	2022	2020	7	5	TRUE	47	60	87	5	TRUE	TRUE	0.750058313657986
full	Kexp1p3_D120	WSkane_hist	WSkane	Torna Hällestad	1951	1951	5	5	TRUE	150	196	208	5	TRUE	TRUE	0.278992143906579
full	Kexp1p3_D120	WSkane_mod	WSkane	Silvåkra	2021	2020	8	5	TRUE	130	144	159	5	TRUE	TRUE	0.457999297548819
no_oland	Kexp1p2_D120	ESkane_hist	ESkane	Degeberga	1956	1956	5	5	TRUE	161	191	204	5	TRUE	TRUE	0.29858447247029
no_oland	Kexp1p2_D120	ESkane_mod	ESkane	Fästan	2021	2020	8	5	TRUE	106	108	123	5	TRUE	TRUE	0.442242922114038
no_oland	Kexp1p2_D120	NSmaland_hist_1900proxy	NSmaland	Hjelmseryd	1936	1900	3	5	TRUE	2	4	6	4	FALSE	FALSE	2.5903960430866
no_oland	Kexp1p2_D120	NSmaland_hist_1951proxy	NSmaland	Hjelmseryd	1936	1951	3	5	TRUE	0	1	3	1	FALSE	FALSE	4.20526365540587
no_oland	Kexp1p2_D120	NSmaland_mod	NSmaland	Götafors	2021	2020	6	5	TRUE	0	0	0	0	FALSE	FALSE	43.6072246145004
no_oland	Kexp1p2_D120	SESkane_mod	SESkane	SE Skåne	2022	2020	7	5	TRUE	65	84	86	5	TRUE	TRUE	0.605509296779414
