site	region	x0	y0	status	order_added
FL174	NW	77	105	original_core	0
FL197	NW	63	119	original_core	0
FL198	NW	77	119	original_core	0
FL176	NE	105	105	original_core	0
FL177	NE	119	105	original_core	0
FL178	NE	133	105	original_core	0
FL079	W	91	49	original_core	0
FL080	W	105	49	original_core	0
FL103	W	91	63	original_core	0
FL106	E	133	63	original_core	0
FL129	E	119	77	original_core	0
FL130	E	133	77	original_core	0
FL057	SE	119	35	replacement_core	0
FL058	SE	133	35	original_core	0
FL059	SE	147	35	original_core	0
FL236	NEW01	273	133	proposed_new_core	1
FL260	NEW01	273	147	proposed_new_core	1
FL284	NEW01	273	161	proposed_new_core	1
FL292	NEW02	49	175	proposed_new_core	2
FL316	NEW02	49	189	proposed_new_core	2
FL317	NEW02	63	189	proposed_new_core	2
