state	fst_group	rep	mean_fst_rep	n_pairs
1900	Among Skane regions	rep001	0.0058025068582386015	10
1900	Among Skane regions	rep002	0.006137424915042498	10
1900	Among Skane regions	rep003	0.006398888615369709	10
1900	Among Skane regions	rep004	0.005569230861870493	10
1900	Among Skane regions	rep005	0.0065538816413407575	10
1900	NEW02 vs Skane	rep001	0.021272466610049917	5
1900	NEW02 vs Skane	rep002	0.02116506528473811	5
1900	NEW02 vs Skane	rep003	0.02174223103434705	5
1900	NEW02 vs Skane	rep004	0.021130972070794233	5
1900	NEW02 vs Skane	rep005	0.02255111741215146	5
1900	NEW01 vs Skane	rep001	0.7809793426590287	5
1900	NEW01 vs Skane	rep002	0.7812814730386162	5
1900	NEW01 vs Skane	rep003	0.780814186233159	5
1900	NEW01 vs Skane	rep004	0.7813601820745624	5
1900	NEW01 vs Skane	rep005	0.7811210060282648	5
2020	Among Skane regions	rep001	0.01020780389938217	10
2020	Among Skane regions	rep002	0.009329719153339399	10
2020	Among Skane regions	rep003	0.00883249770098934	10
2020	Among Skane regions	rep004	0.009167969805582233	10
2020	Among Skane regions	rep005	0.010114878390013935	10
2020	NEW02 vs Skane	rep001	0.031010559996977896	5
2020	NEW02 vs Skane	rep002	0.033056801481203685	5
2020	NEW02 vs Skane	rep003	0.03088191931961525	5
2020	NEW02 vs Skane	rep004	0.029185382287039343	5
2020	NEW02 vs Skane	rep005	0.027334913509604788	5
2020	NEW01 vs Skane	rep001	0.782592653433873	5
2020	NEW01 vs Skane	rep002	0.7821485308348268	5
2020	NEW01 vs Skane	rep003	0.782487145891635	5
2020	NEW01 vs Skane	rep004	0.7833461933016755	5
2020	NEW01 vs Skane	rep005	0.7816135925389363	5
2140 status quo	Among Skane regions	rep001	0.009174950098288687	10
2140 status quo	Among Skane regions	rep002	0.009435186532399983	10
2140 status quo	Among Skane regions	rep003	0.011109174428586768	10
2140 status quo	Among Skane regions	rep004	0.010175427621167368	10
2140 status quo	Among Skane regions	rep005	0.00998416973230327	10
2140 status quo	NEW02 vs Skane	rep001	0.04057000258220895	5
2140 status quo	NEW02 vs Skane	rep002	0.04626748306116607	5
2140 status quo	NEW02 vs Skane	rep003	0.04530600660596548	5
2140 status quo	NEW02 vs Skane	rep004	0.05186000326016621	5
2140 status quo	NEW02 vs Skane	rep005	0.05766209325786857	5
2140 status quo	NEW01 vs Skane	rep001	0.7837101476167815	5
2140 status quo	NEW01 vs Skane	rep002	0.7839013188165909	5
2140 status quo	NEW01 vs Skane	rep003	0.7857026120162879	5
2140 status quo	NEW01 vs Skane	rep004	0.7852670995615049	5
2140 status quo	NEW01 vs Skane	rep005	0.7840116244254361	5
2140 restore 2 km	Among Skane regions	rep001	0.009583449031538467	10
2140 restore 2 km	Among Skane regions	rep002	0.009838199940357152	10
2140 restore 2 km	Among Skane regions	rep003	0.011307976973725304	10
2140 restore 2 km	Among Skane regions	rep004	0.011515331360359964	10
2140 restore 2 km	Among Skane regions	rep005	0.010953262043654712	10
2140 restore 2 km	NEW02 vs Skane	rep001	0.042420235379129985	5
2140 restore 2 km	NEW02 vs Skane	rep002	NA	0
2140 restore 2 km	NEW02 vs Skane	rep003	0.04745049230794814	5
