state	fst_group	n_reps	mean_fst	sd_fst
1900	Among Skane regions	5	0.006092386578372412	4.0824986204870614e-4
1900	NEW02 vs Skane	5	0.021572370482416153	5.994728046514558e-4
1900	NEW01 vs Skane	5	0.7811112380067262	2.2174572609288192e-4
2020	Among Skane regions	5	0.009530573789861415	6.039840534491275e-4
2020	NEW02 vs Skane	5	0.03029391531888819	0.0021492676331405437
2020	NEW01 vs Skane	5	0.7824376232001893	6.353320836449953e-4
2140 status quo	Among Skane regions	5	0.009975781682549215	7.513458457444949e-4
2140 status quo	NEW02 vs Skane	5	0.048333117753475055	0.006579606961716474
2140 status quo	NEW01 vs Skane	5	0.7845185604873203	9.019134643922117e-4
2140 restore 2 km	Among Skane regions	5	0.01063964386992712	8.760299632873155e-4
2140 restore 2 km	NEW02 vs Skane	4	0.04731249446482581	0.0034889563405569174
2140 restore 2 km	NEW01 vs Skane	5	0.7838278577611157	7.551811713559204e-4
2140 restore 4 km	Among Skane regions	5	0.008725937534397965	6.000634369150798e-4
2140 restore 4 km	NEW02 vs Skane	5	0.051642754043293174	0.021145558013575653
2140 restore 4 km	NEW01 vs Skane	5	0.7831464381524368	6.367904579865925e-4
2140 restore 6 km	Among Skane regions	5	0.007856277877262851	5.729505822417217e-4
2140 restore 6 km	NEW02 vs Skane	5	0.04243742527868074	0.003906404491763411
2140 restore 6 km	NEW01 vs Skane	5	0.7828048481009587	4.984421118828766e-4
