scenario	year	rep	region1	region2	pair	n_individuals_region1	n_individuals_region2	sample_status	neutral_variants_vcf	informative_sites	fst_hudson
restore_2km	2140	rep001	NW	NE	NW-NE	60	60	ok	38200	24066	0.01300199809685116
restore_2km	2140	rep001	NW	W	NW-W	60	60	ok	38200	24822	0.012649316161060332
restore_2km	2140	rep001	NW	E	NW-E	60	60	ok	38200	24391	0.01445925018054326
restore_2km	2140	rep001	NW	SE	NW-SE	60	60	ok	38200	24088	0.01750499183548983
restore_2km	2140	rep001	NW	NEW01	NW-NEW01	60	60	ok	38200	30972	0.7832300501808651
restore_2km	2140	rep001	NW	NEW02	NW-NEW02	60	47	ok	38200	22469	0.03851486590266296
restore_2km	2140	rep001	NE	W	NE-W	60	60	ok	38200	24675	0.006842482679364506
restore_2km	2140	rep001	NE	E	NE-E	60	60	ok	38200	24102	0.006329403249360545
restore_2km	2140	rep001	NE	SE	NE-SE	60	60	ok	38200	23782	0.011087672650008061
restore_2km	2140	rep001	NE	NEW01	NE-NEW01	60	60	ok	38200	31311	0.7830733878854566
restore_2km	2140	rep001	NE	NEW02	NE-NEW02	60	47	ok	38200	23092	0.04292980356663946
restore_2km	2140	rep001	W	E	W-E	60	60	ok	38200	24409	0.0034784873139514652
restore_2km	2140	rep001	W	SE	W-SE	60	60	ok	38200	24039	0.005439053195043651
restore_2km	2140	rep001	W	NEW01	W-NEW01	60	60	ok	38200	32187	0.7820302855484477
restore_2km	2140	rep001	W	NEW02	W-NEW02	60	47	ok	38200	23914	0.041077311779399196
restore_2km	2140	rep001	E	SE	E-SE	60	60	ok	38200	23470	0.005041834953711883
restore_2km	2140	rep001	E	NEW01	E-NEW01	60	60	ok	38200	31414	0.7828781580006519
restore_2km	2140	rep001	E	NEW02	E-NEW02	60	47	ok	38200	23338	0.04358246219263701
restore_2km	2140	rep001	SE	NEW01	SE-NEW01	60	60	ok	38200	30558	0.784384725318557
restore_2km	2140	rep001	SE	NEW02	SE-NEW02	60	47	ok	38200	22781	0.045996733454311295
restore_2km	2140	rep001	NEW01	NEW02	NEW01-NEW02	60	47	ok	38200	26540	0.7904132317952388
restore_2km	2140	rep002	NW	NE	NW-NE	60	60	ok	37760	24106	0.013677108435778266
restore_2km	2140	rep002	NW	W	NW-W	60	60	ok	37760	24758	0.01080519946653303
restore_2km	2140	rep002	NW	E	NW-E	60	60	ok	37760	24805	0.013620010141719622
restore_2km	2140	rep002	NW	SE	NW-SE	60	60	ok	37760	24567	0.01655506040504325
restore_2km	2140	rep002	NW	NEW01	NW-NEW01	60	60	ok	37760	31395	0.7836656317674247
restore_2km	2140	rep002	NW	NEW02	NW-NEW02	60	0	absent_region	37760	0	nan
restore_2km	2140	rep002	NE	W	NE-W	60	60	ok	37760	24195	0.008446964445598639
restore_2km	2140	rep002	NE	E	NE-E	60	60	ok	37760	23868	0.007261725906626106
restore_2km	2140	rep002	NE	SE	NE-SE	60	60	ok	37760	23797	0.011023846706164733
restore_2km	2140	rep002	NE	NEW01	NE-NEW01	60	60	ok	37760	31093	0.7841963820462908
restore_2km	2140	rep002	NE	NEW02	NE-NEW02	60	0	absent_region	37760	0	nan
restore_2km	2140	rep002	W	E	W-E	60	60	ok	37760	24380	0.005389766967405055
restore_2km	2140	rep002	W	SE	W-SE	60	60	ok	37760	23987	0.00639869923753046
restore_2km	2140	rep002	W	NEW01	W-NEW01	60	60	ok	37760	31962	0.7827328475712462
restore_2km	2140	rep002	W	NEW02	W-NEW02	60	0	absent_region	37760	0	nan
restore_2km	2140	rep002	E	SE	E-SE	60	60	ok	37760	23659	0.005203617691172406
restore_2km	2140	rep002	E	NEW01	E-NEW01	60	60	ok	37760	31720	0.7832620732421137
restore_2km	2140	rep002	E	NEW02	E-NEW02	60	0	absent_region	37760	0	nan
restore_2km	2140	rep002	SE	NEW01	SE-NEW01	60	60	ok	37760	31103	0.7845713146853827
restore_2km	2140	rep002	SE	NEW02	SE-NEW02	60	0	absent_region	37760	0	nan
restore_2km	2140	rep002	NEW01	NEW02	NEW01-NEW02	60	0	absent_region	37760	0	nan
restore_2km	2140	rep003	NW	NE	NW-NE	60	60	ok	38734	23860	0.0167320447479021
restore_2km	2140	rep003	NW	W	NW-W	60	60	ok	38734	24585	0.011856457817358376
restore_2km	2140	rep003	NW	E	NW-E	60	60	ok	38734	24463	0.014842754369588882
restore_2km	2140	rep003	NW	SE	NW-SE	60	60	ok	38734	24168	0.01742939747843047
restore_2km	2140	rep003	NW	NEW01	NW-NEW01	60	60	ok	38734	30897	0.7842175232819096
restore_2km	2140	rep003	NW	NEW02	NW-NEW02	60	54	ok	38734	22800	0.04246228999275039
restore_2km	2140	rep003	NE	W	NE-W	60	60	ok	38734	24194	0.01056623326391083
restore_2km	2140	rep003	NE	E	NE-E	60	60	ok	38734	23806	0.008699357233391547
restore_2km	2140	rep003	NE	SE	NE-SE	60	60	ok	38734	23821	0.014391973979126105
restore_2km	2140	rep003	NE	NEW01	NE-NEW01	60	60	ok	38734	31011	0.7839156014627807
restore_2km	2140	rep003	NE	NEW02	NE-NEW02	60	54	ok	38734	23262	0.04766679066544555
restore_2km	2140	rep003	W	E	W-E	60	60	ok	38734	24338	0.0054189162173628284
restore_2km	2140	rep003	W	SE	W-SE	60	60	ok	38734	23936	0.006181817798757573
restore_2km	2140	rep003	W	NEW01	W-NEW01	60	60	ok	38734	31950	0.7830489732663637
restore_2km	2140	rep003	W	NEW02	W-NEW02	60	54	ok	38734	24154	0.04618206884110618
restore_2km	2140	rep003	E	SE	E-SE	60	60	ok	38734	23759	0.006960816831424378
restore_2km	2140	rep003	E	NEW01	E-NEW01	60	60	ok	38734	31697	0.7836765048208992
restore_2km	2140	rep003	E	NEW02	E-NEW02	60	54	ok	38734	23943	0.04848619975664346
restore_2km	2140	rep003	SE	NEW01	SE-NEW01	60	60	ok	38734	30887	0.7840538854699316
restore_2km	2140	rep003	SE	NEW02	SE-NEW02	60	54	ok	38734	23396	0.05245511228379514
restore_2km	2140	rep003	NEW01	NEW02	NEW01-NEW02	60	54	ok	38734	27527	0.7906253806308696
restore_2km	2140	rep004	NW	NE	NW-NE	60	60	ok	38495	23513	0.02108266258520897
restore_2km	2140	rep004	NW	W	NW-W	60	60	ok	38495	24394	0.01253242613565313
restore_2km	2140	rep004	NW	E	NW-E	60	60	ok	38495	24294	0.01633114702202981
restore_2km	2140	rep004	NW	SE	NW-SE	60	60	ok	38495	24291	0.016818228787035656
restore_2km	2140	rep004	NW	NEW01	NW-NEW01	60	60	ok	38495	30694	0.7857198088939422
restore_2km	2140	rep004	NW	NEW02	NW-NEW02	60	58	ok	38495	22481	0.04654927348569369
restore_2km	2140	rep004	NE	W	NE-W	60	60	ok	38495	23975	0.009861367826161009
restore_2km	2140	rep004	NE	E	NE-E	60	60	ok	38495	23349	0.010180935308499927
restore_2km	2140	rep004	NE	SE	NE-SE	60	60	ok	38495	23543	0.01361852699387133
restore_2km	2140	rep004	NE	NEW01	NE-NEW01	60	60	ok	38495	30263	0.7861176397594116
restore_2km	2140	rep004	NE	NEW02	NE-NEW02	60	58	ok	38495	22637	0.05577577946167488
restore_2km	2140	rep004	W	E	W-E	60	60	ok	38495	24341	0.005464515229768712
restore_2km	2140	rep004	W	SE	W-SE	60	60	ok	38495	24287	0.005268380313435087
restore_2km	2140	rep004	W	NEW01	W-NEW01	60	60	ok	38495	32100	0.7842810693274826
restore_2km	2140	rep004	W	NEW02	W-NEW02	60	58	ok	38495	24008	0.04853067403804954
restore_2km	2140	rep004	E	SE	E-SE	60	60	ok	38495	23547	0.003995123401936055
restore_2km	2140	rep004	E	NEW01	E-NEW01	60	60	ok	38495	31367	0.7846354103690651
restore_2km	2140	rep004	E	NEW02	E-NEW02	60	58	ok	38495	23597	0.05044806351080591
restore_2km	2140	rep004	SE	NEW01	SE-NEW01	60	60	ok	38495	31267	0.7847417306922329
restore_2km	2140	rep004	SE	NEW02	SE-NEW02	60	58	ok	38495	23459	0.051118795104190304
restore_2km	2140	rep004	NEW01	NEW02	NEW01-NEW02	60	58	ok	38495	26861	0.7934995712511109
restore_2km	2140	rep005	NW	NE	NW-NE	60	60	ok	38557	23829	0.015113787486050129
restore_2km	2140	rep005	NW	W	NW-W	60	60	ok	38557	24582	0.011893832502652264
restore_2km	2140	rep005	NW	E	NW-E	60	60	ok	38557	24659	0.014398581338391062
restore_2km	2140	rep005	NW	SE	NW-SE	60	60	ok	38557	24123	0.01907698292789638
restore_2km	2140	rep005	NW	NEW01	NW-NEW01	60	60	ok	38557	30863	0.7837497672096457
restore_2km	2140	rep005	NW	NEW02	NW-NEW02	60	56	ok	38557	22511	0.045529730437377666
restore_2km	2140	rep005	NE	W	NE-W	60	60	ok	38557	24053	0.009191544636537936
restore_2km	2140	rep005	NE	E	NE-E	60	60	ok	38557	23822	0.008170701871253487
restore_2km	2140	rep005	NE	SE	NE-SE	60	60	ok	38557	23422	0.013754465204176983
restore_2km	2140	rep005	NE	NEW01	NE-NEW01	60	60	ok	38557	30562	0.7837322259503073
restore_2km	2140	rep005	NE	NEW02	NE-NEW02	60	56	ok	38557	22725	0.05095200413371467
restore_2km	2140	rep005	W	E	W-E	60	60	ok	38557	24531	0.003760078476505178
restore_2km	2140	rep005	W	SE	W-SE	60	60	ok	38557	23937	0.007374140900666086
restore_2km	2140	rep005	W	NEW01	W-NEW01	60	60	ok	38557	31855	0.7823900250723292
restore_2km	2140	rep005	W	NEW02	W-NEW02	60	56	ok	38557	23721	0.04706776769275467
restore_2km	2140	rep005	E	SE	E-SE	60	60	ok	38557	23687	0.006798505092417666
restore_2km	2140	rep005	E	NEW01	E-NEW01	60	60	ok	38557	31729	0.7828332387694606
restore_2km	2140	rep005	E	NEW02	E-NEW02	60	56	ok	38557	23629	0.048903491767713685
restore_2km	2140	rep005	SE	NEW01	SE-NEW01	60	60	ok	38557	30613	0.7845581834356953
restore_2km	2140	rep005	SE	NEW02	SE-NEW02	60	56	ok	38557	22871	0.05202067122915061
restore_2km	2140	rep005	NEW01	NEW02	NEW01-NEW02	60	56	ok	38557	26463	0.7927655593102639
restore_4km	2140	rep001	NW	NE	NW-NE	60	60	ok	38949	24315	0.009196325086733268
restore_4km	2140	rep001	NW	W	NW-W	60	60	ok	38949	24769	0.009353678663093775
restore_4km	2140	rep001	NW	E	NW-E	60	60	ok	38949	24771	0.012594607657924252
restore_4km	2140	rep001	NW	SE	NW-SE	60	60	ok	38949	24706	0.014819735910350247
restore_4km	2140	rep001	NW	NEW01	NW-NEW01	60	60	ok	38949	31417	0.7842546984274025
restore_4km	2140	rep001	NW	NEW02	NW-NEW02	60	49	ok	38949	22873	0.037983249375304985
restore_4km	2140	rep001	NE	W	NE-W	60	60	ok	38949	24606	0.006339767846139524
restore_4km	2140	rep001	NE	E	NE-E	60	60	ok	38949	24358	0.006925495958272585
restore_4km	2140	rep001	NE	SE	NE-SE	60	60	ok	38949	24449	0.00901588599944103
restore_4km	2140	rep001	NE	NEW01	NE-NEW01	60	60	ok	38949	31608	0.7830691235147624
restore_4km	2140	rep001	NE	NEW02	NE-NEW02	60	49	ok	38949	23329	0.0400297131625127
restore_4km	2140	rep001	W	E	W-E	60	60	ok	38949	24396	0.0042859019882114675
restore_4km	2140	rep001	W	SE	W-SE	60	60	ok	38949	24330	0.004567871576827867
restore_4km	2140	rep001	W	NEW01	W-NEW01	60	60	ok	38949	31987	0.7831109113722781
restore_4km	2140	rep001	W	NEW02	W-NEW02	60	49	ok	38949	23884	0.04298220050034292
restore_4km	2140	rep001	E	SE	E-SE	60	60	ok	38949	24014	0.004221081403063899
restore_4km	2140	rep001	E	NEW01	E-NEW01	60	60	ok	38949	31720	0.7834729073746252
restore_4km	2140	rep001	E	NEW02	E-NEW02	60	49	ok	38949	23622	0.04411213798592517
restore_4km	2140	rep001	SE	NEW01	SE-NEW01	60	60	ok	38949	31397	0.7838890386300015
restore_4km	2140	rep001	SE	NEW02	SE-NEW02	60	49	ok	38949	23490	0.04596938545855678
restore_4km	2140	rep001	NEW01	NEW02	NEW01-NEW02	60	49	ok	38949	26909	0.7920231939366353
restore_4km	2140	rep002	NW	NE	NW-NE	60	60	ok	39250	24448	0.01366165880304183
restore_4km	2140	rep002	NW	W	NW-W	60	60	ok	39250	25070	0.0114411704624266
restore_4km	2140	rep002	NW	E	NW-E	60	60	ok	39250	24900	0.013009037842325578
restore_4km	2140	rep002	NW	SE	NW-SE	60	60	ok	39250	24760	0.015199112966419766
restore_4km	2140	rep002	NW	NEW01	NW-NEW01	60	60	ok	39250	31506	0.7834585760080781
restore_4km	2140	rep002	NW	NEW02	NW-NEW02	60	52	ok	39250	22769	0.04757205120498739
restore_4km	2140	rep002	NE	W	NE-W	60	60	ok	39250	24711	0.008787164408980287
restore_4km	2140	rep002	NE	E	NE-E	60	60	ok	39250	24149	0.007535222066457898
restore_4km	2140	rep002	NE	SE	NE-SE	60	60	ok	39250	24035	0.009676634386345636
restore_4km	2140	rep002	NE	NEW01	NE-NEW01	60	60	ok	39250	31430	0.7840063864204908
restore_4km	2140	rep002	NE	NEW02	NE-NEW02	60	52	ok	39250	23198	0.05566893255098301
restore_4km	2140	rep002	W	E	W-E	60	60	ok	39250	24827	0.003650618769923478
restore_4km	2140	rep002	W	SE	W-SE	60	60	ok	39250	24377	0.0046275567009388995
restore_4km	2140	rep002	W	NEW01	W-NEW01	60	60	ok	39250	32559	0.7827838324157158
restore_4km	2140	rep002	W	NEW02	W-NEW02	60	52	ok	39250	24082	0.052489273732873695
restore_4km	2140	rep002	E	SE	E-SE	60	60	ok	39250	24092	0.004397472450146015
restore_4km	2140	rep002	E	NEW01	E-NEW01	60	60	ok	39250	32071	0.7824757567802532
restore_4km	2140	rep002	E	NEW02	E-NEW02	60	52	ok	39250	23794	0.05499517044381703
restore_4km	2140	rep002	SE	NEW01	SE-NEW01	60	60	ok	39250	31526	0.7830782355612678
