comparison	scenario	pair	n_reps	mean	sd	min	max
1900_to_2020	shared_history	E-NEW01	5	0.0009163561084130079	0.0009400153125077985	-0.0003065245218386581	0.0022223819214699514
1900_to_2020	shared_history	E-NEW02	5	0.008050274406718091	0.002873456842466486	0.0031753762505377647	0.010350894811503752
1900_to_2020	shared_history	E-SE	5	0.004250170779353192	0.002037228705582902	0.0012934347220127755	0.006568676757073619
1900_to_2020	shared_history	NE-E	5	0.002463338902714601	0.0022941670417950515	-0.00023312820121038948	0.005260602995923305
1900_to_2020	shared_history	NE-NEW01	5	0.0022630311659065814	0.0006274312884885897	0.0012380573478980583	0.0028477341809914902
1900_to_2020	shared_history	NE-NEW02	5	0.01035787904627269	0.0033956228868746987	0.005653930589946638	0.014279957709508372
1900_to_2020	shared_history	NE-SE	5	0.005312813082388587	0.0008062660231960124	0.004437811070182542	0.006439555993179762
1900_to_2020	shared_history	NE-W	5	0.0034156866944355492	0.00042579178615511634	0.0027672584282129806	0.003963652217875066
1900_to_2020	shared_history	NEW01-NEW02	5	0.00325409207837406	0.0006227846543349913	0.0021740223476615084	0.003679831884324636
1900_to_2020	shared_history	NW-E	5	0.0029028225586561294	0.001260195114060183	0.001201202028168126	0.004560382858762186
1900_to_2020	shared_history	NW-NE	5	0.004630006887704203	0.0013211077764980056	0.0030487996916796246	0.006032215176225943
1900_to_2020	shared_history	NW-NEW01	5	0.0010495969062817468	0.0009500238692014901	-0.0005573656336884669	0.0019858910248766737
1900_to_2020	shared_history	NW-NEW02	5	0.0082946784566459	0.0018478991492165738	0.006105563829266213	0.010997740658599296
1900_to_2020	shared_history	NW-SE	5	0.004294687503704714	0.002445926827962021	0.00012596234441278852	0.006159861844462086
1900_to_2020	shared_history	NW-W	5	0.002003976302715778	0.0006725364121784492	0.0015209741475509944	0.003146164861619224
1900_to_2020	shared_history	SE-NEW01	5	0.0011602458985518148	0.0007135945596753335	3.234828817111346e-05	0.001875031548835504
1900_to_2020	shared_history	SE-NEW02	5	0.008833230098804896	0.0030590408484972064	0.005024672128699167	0.013219871443457699
1900_to_2020	shared_history	W-E	5	0.0025255760550821926	0.0011377647068460887	0.0008078157750260788	0.0036123714965438946
1900_to_2020	shared_history	W-NEW01	5	0.001242695888162526	0.0010393681177537112	4.0097013252138325e-05	0.0021901585746543217
1900_to_2020	shared_history	W-NEW02	5	0.008071662173918614	0.002676017762457004	0.003959437688816857	0.010610216359258767
1900_to_2020	shared_history	W-SE	5	0.0025827933481350905	0.001392221771014214	0.0005948970791511844	0.004114550048640442
2020_to_2140	restore_2km	E-NEW01	5	0.0014554745581810246	0.00029971284831402964	0.000998374352434217	0.0017497138123098166
2020_to_2140	restore_2km	E-NEW02	4	0.017572248030014476	0.0043587461907559485	0.01188592427448374	0.021236941100421857
2020_to_2140	restore_2km	E-SE	5	-0.0020622242926469124	0.00229967645404732	-0.0042511254768662346	0.000848237889079141
2020_to_2140	restore_2km	NE-E	5	0.0011529658325776712	0.0022717815641225604	-0.0024351020332604653	0.003479776245982986
2020_to_2140	restore_2km	NE-NEW01	5	0.0012477017366848253	0.0011652453761139907	-0.00019789877898579444	0.0028539757075443095
2020_to_2140	restore_2km	NE-NEW02	4	0.018822002830034382	0.007436668703757269	0.01070580850208469	0.026359422292208542
2020_to_2140	restore_2km	NE-SE	5	0.0006030145166410368	0.002318904323323223	-0.0023166950723393052	0.0029453877101897515
2020_to_2140	restore_2km	NE-W	5	0.00041134935332421514	0.0015225950910106219	-0.002018276599748162	0.002112582612451234
2020_to_2140	restore_2km	NEW01-NEW02	4	0.007231693220061092	0.0017328005916910454	0.005384777244144989	0.009081012472356154
2020_to_2140	restore_2km	NW-E	5	0.003127963916083421	0.0016658587775678529	0.0011380995834383081	0.00519187096319859
2020_to_2140	restore_2km	NW-NE	5	0.003932779056537565	0.004361198989765006	0.00034287873527960935	0.010794454996181525
2020_to_2140	restore_2km	NW-NEW01	5	0.00226931555372385	0.0008340437099227789	0.0008780326756727685	0.0029962061742857538
2020_to_2140	restore_2km	NW-NEW02	4	0.018608110585643104	0.004839730819265418	0.01209371554819176	0.022302658867187766
2020_to_2140	restore_2km	NW-SE	5	0.002880890319779272	0.001665642872075688	0.0008536585119878412	0.005307357426893741
2020_to_2140	restore_2km	NW-W	5	0.0023510698521355296	0.001861265844735432	-0.0006060306860656475	0.004263903718418276
2020_to_2140	restore_2km	SE-NEW01	5	0.001109063761074447	0.0007881512334824754	0.000187019305218028	0.002337074135109085
2020_to_2140	restore_2km	SE-NEW02	4	0.017325410559663912	0.004662686084222542	0.010768737162733799	0.02171168633831271
2020_to_2140	restore_2km	W-E	5	-0.0008054056363139318	0.0014477609477745778	-0.002325922207560399	0.00109059681968758
2020_to_2140	restore_2km	W-NEW01	5	0.0008696171949679199	0.0006084433946826413	-1.7466849355329828e-05	0.001399244736675187
2020_to_2140	restore_2km	W-NEW02	4	0.016218731427226577	0.0035805670622515253	0.01159419142326644	0.019260988589702467
2020_to_2140	restore_2km	W-SE	5	-0.0005017021174608235	0.0012267756072757987	-0.0017024460761424403	0.0007713327046573451
2020_to_2140	restore_4km	E-NEW01	5	0.0007115694807604545	0.0006188656788534819	-0.00011151866181247083	0.0015931237264075193
2020_to_2140	restore_4km	E-NEW02	5	0.022612535322255486	0.021455353909995596	0.005484107424744266	0.059433484862434674
2020_to_2140	restore_4km	E-SE	5	-0.0028585524129362645	0.0016834611131584826	-0.005071879027514219	-0.000960609685319966
2020_to_2140	restore_4km	NE-E	5	-0.0004308026848813519	0.0017471287036783941	-0.0019652969778546584	0.00231587878026025
2020_to_2140	restore_4km	NE-NEW01	5	0.0004345658123318108	0.00040605530896595373	-0.00020216314967991256	0.0008965876940965067
2020_to_2140	restore_4km	NE-NEW02	5	0.020477193223237964	0.022032024631154706	0.005329831014404238	0.05831920388463115
2020_to_2140	restore_4km	NE-SE	5	-0.003155716357537205	0.00048807783347859073	-0.003663907392158402	-0.0023932068341101648
2020_to_2140	restore_4km	NE-W	5	-0.0016538563066072094	0.0013840198959678466	-0.002673267934925311	0.0007406752680677205
