comparison	scenario	rep	pair	start_fst	end_fst	delta_fst
1900_to_2020	shared_history	rep001	NW-NE	0.007841562495245003	0.01265911936157155	0.004817556866326548
2020_to_2140	status_quo	rep001	NW-NE	0.01265911936157155	0.013110607078928874	0.00045148771735732326
2020_to_2140	restore_2km	rep001	NW-NE	0.01265911936157155	0.01300199809685116	0.00034287873527960935
2020_to_2140	restore_4km	rep001	NW-NE	0.01265911936157155	0.009196325086733268	-0.0034627942748382823
2020_to_2140	restore_6km	rep001	NW-NE	0.01265911936157155	0.010697925524449576	-0.001961193837121974
2140_restoration_vs_statusquo	restore_2km	rep001	NW-NE	0.013110607078928874	0.01300199809685116	-0.00010860898207771391
2140_restoration_vs_statusquo	restore_4km	rep001	NW-NE	0.013110607078928874	0.009196325086733268	-0.0039142819921956055
2140_restoration_vs_statusquo	restore_6km	rep001	NW-NE	0.013110607078928874	0.010697925524449576	-0.0024126815544792974
1900_to_2020	shared_history	rep001	NW-W	0.0063437042939703606	0.008385412442642057	0.002041708148671696
2020_to_2140	status_quo	rep001	NW-W	0.008385412442642057	0.012122515923722169	0.003737103481080112
2020_to_2140	restore_2km	rep001	NW-W	0.008385412442642057	0.012649316161060332	0.004263903718418276
2020_to_2140	restore_4km	rep001	NW-W	0.008385412442642057	0.009353678663093775	0.0009682662204517183
2020_to_2140	restore_6km	rep001	NW-W	0.008385412442642057	0.010664889954273232	0.002279477511631175
2140_restoration_vs_statusquo	restore_2km	rep001	NW-W	0.012122515923722169	0.012649316161060332	0.0005268002373381639
2140_restoration_vs_statusquo	restore_4km	rep001	NW-W	0.012122515923722169	0.009353678663093775	-0.0027688372606283936
2140_restoration_vs_statusquo	restore_6km	rep001	NW-W	0.012122515923722169	0.010664889954273232	-0.0014576259694489366
1900_to_2020	shared_history	rep001	NW-E	0.008760767738342766	0.013321150597104953	0.004560382858762186
2020_to_2140	status_quo	rep001	NW-E	0.013321150597104953	0.011391686281815187	-0.0019294643152897653
2020_to_2140	restore_2km	rep001	NW-E	0.013321150597104953	0.01445925018054326	0.0011380995834383081
2020_to_2140	restore_4km	rep001	NW-E	0.013321150597104953	0.012594607657924252	-0.0007265429391807004
2020_to_2140	restore_6km	rep001	NW-E	0.013321150597104953	0.013992086462339631	0.0006709358652346783
2140_restoration_vs_statusquo	restore_2km	rep001	NW-E	0.011391686281815187	0.01445925018054326	0.0030675638987280734
