scenario	year	region1	region2	pair	n_reps	mean_fst	sd_fst	min_fst	max_fst
restore_2km	2140	E	NEW01	E-NEW01	5	0.7834570770404381	0.000741445532138991	0.7828332387694606	0.7846354103690651
restore_2km	2140	E	NEW02	E-NEW02	4	0.047855054306950015	0.002970763414476283	0.04358246219263701	0.05044806351080591
restore_2km	2140	E	SE	E-SE	5	0.005599979594132478	0.0012582262268586257	0.003995123401936055	0.006960816831424378
restore_2km	2140	NE	E	NE-E	5	0.008128424713826323	0.0014601537670049926	0.006329403249360545	0.010180935308499927
restore_2km	2140	NE	NEW01	NE-NEW01	5	0.7842070474208495	0.001145213621113608	0.7830733878854566	0.7861176397594116
restore_2km	2140	NE	NEW02	NE-NEW02	4	0.049331094456868646	0.005413185912293053	0.04292980356663946	0.05577577946167488
restore_2km	2140	NE	SE	NE-SE	5	0.012775297106669442	0.001596801938871336	0.011023846706164733	0.014391973979126105
restore_2km	2140	NE	W	NE-W	5	0.008981718570314583	0.0014309777056815064	0.006842482679364506	0.01056623326391083
restore_2km	2140	NEW01	NEW02	NEW01-NEW02	4	0.7918259357468709	0.0015406722865305628	0.7904132317952388	0.7934995712511109
restore_2km	2140	NW	E	NW-E	5	0.014730348610454528	0.0009989501996913906	0.013620010141719622	0.01633114702202981
restore_2km	2140	NW	NE	NW-NE	5	0.015921520270358126	0.0032213260615191063	0.01300199809685116	0.02108266258520897
restore_2km	2140	NW	NEW01	NW-NEW01	5	0.7841165562667575	0.0009623374514123401	0.7832300501808651	0.7857198088939422
restore_2km	2140	NW	NEW02	NW-NEW02	4	0.04326403995462118	0.00361125877843583	0.03851486590266296	0.04654927348569369
restore_2km	2140	NW	SE	NW-SE	5	0.01747693228677912	0.000980681780360973	0.01655506040504325	0.01907698292789638
restore_2km	2140	NW	W	NW-W	5	0.011947446416651427	0.0007332639159590382	0.01080519946653303	0.012649316161060332
restore_2km	2140	SE	NEW01	SE-NEW01	5	0.7844619679203598	0.0002607580558770361	0.7840538854699316	0.7847417306922329
restore_2km	2140	SE	NEW02	SE-NEW02	4	0.050397828017861836	0.002986383852095255	0.045996733454311295	0.05245511228379514
restore_2km	2140	W	E	W-E	5	0.004702352840998647	0.00099405992860859	0.0034784873139514652	0.005464515229768712
restore_2km	2140	W	NEW01	W-NEW01	5	0.7828966401571739	0.0008622509303003731	0.7820302855484477	0.7842810693274826
restore_2km	2140	W	NEW02	W-NEW02	4	0.0457144555878274	0.00323956297810884	0.041077311779399196	0.04853067403804954
restore_2km	2140	W	SE	W-SE	5	0.006132418289086571	0.0008429913517013128	0.005268380313435087	0.007374140900666086
restore_4km	2140	E	NEW01	E-NEW01	5	0.7827131719630176	0.0006018839714635542	0.7820134073264899	0.7834729073746252
restore_4km	2140	E	NEW02	E-NEW02	5	0.0533363951207985	0.021467217974676833	0.033150658092036094	0.08915509322595697
restore_4km	2140	E	SE	E-SE	5	0.004803651473843125	0.0007679570506905081	0.004221081403063899	0.005998012835261828
restore_4km	2140	NE	E	NE-E	5	0.006544656196367299	0.0008591508426073383	0.005241460127219588	0.007535222066457898
restore_4km	2140	NE	NEW01	NE-NEW01	5	0.7833939114964964	0.0007163425840640929	0.7822894217639447	0.7840063864204908
restore_4km	2140	NE	NEW02	NE-NEW02	5	0.05174715208832222	0.021781274360474848	0.03253043779803099	0.0877355610540975
restore_4km	2140	NE	SE	NE-SE	5	0.0090165662324912	0.0004860436940163751	0.008328179778611942	0.009676634386345636
restore_4km	2140	NE	W	NE-W	5	0.006916512910383159	0.0010911005887660676	0.006055515965235205	0.008787164408980287
restore_4km	2140	NEW01	NEW02	NEW01-NEW02	5	0.7952058783034048	0.008794587648240502	0.7884344447484377	0.8103818567553519
restore_4km	2140	NW	E	NW-E	5	0.013214798492063671	0.0008766878319686974	0.012239892992356269	0.014309351212294645
restore_4km	2140	NW	NE	NW-NE	5	0.011908008237217984	0.0019195536910977418	0.009196325086733268	0.01366165880304183
restore_4km	2140	NW	NEW01	NW-NEW01	5	0.7833911188674721	0.0011147571284893885	0.7815601849698492	0.7843223092346706
restore_4km	2140	NW	NEW02	NW-NEW02	5	0.047308667304242755	0.020415060335328628	0.028017781833784353	0.08155978370155452
restore_4km	2140	NW	SE	NW-SE	5	0.015063031002868266	0.00048604155960166063	0.014564163830948827	0.015832279082787337
restore_4km	2140	NW	W	NW-W	5	0.011000452486493366	0.0011655109860744617	0.009353678663093775	0.012142355657853673
restore_4km	2140	SE	NEW01	SE-NEW01	5	0.7836326121376255	0.0006485413296401061	0.7828953641367301	0.7844893153958358
restore_4km	2140	SE	NEW02	SE-NEW02	5	0.05450393018770051	0.021126136302231736	0.0351635743754058	0.09007740772661782
restore_4km	2140	W	E	W-E	5	0.004236909648384195	0.0004072013979449169	0.003650618769923478	0.0047195775055092395
restore_4km	2140	W	NEW01	W-NEW01	5	0.7826013762975721	0.0006467948638334556	0.7814750903092633	0.7831109113722781
restore_4km	2140	W	NEW02	W-NEW02	5	0.05131762551540188	0.02105262002177217	0.03131573666971627	0.08649833921782268
restore_4km	2140	W	SE	W-SE	5	0.004554788663867436	0.0002401864118691509	0.004260955421243303	0.004900983658676095
restore_6km	2140	E	NEW01	E-NEW01	5	0.7826381209088742	0.0003203758057071378	0.7822886471553934	0.7831062327467709
restore_6km	2140	E	NEW02	E-NEW02	5	0.04417469852189815	0.0031782346219563808	0.04170799464870192	0.04961641172259132
restore_6km	2140	E	SE	E-SE	5	0.004033783281287412	0.0007841261079759299	0.003312513224293983	0.005342301610213121
restore_6km	2140	NE	E	NE-E	5	0.0059470842573469814	0.001032048402315236	0.004870033368638667	0.007034169954346687
restore_6km	2140	NE	NEW01	NE-NEW01	5	0.7826318984721451	0.000824619431916379	0.7814432219438415	0.7834089689382451
restore_6km	2140	NE	NEW02	NE-NEW02	5	0.042168425812320325	0.004136193024381075	0.03953023207263206	0.04940730467693628
restore_6km	2140	NE	SE	NE-SE	5	0.008251661434167128	0.0014487451391856736	0.006498415965824562	0.00991873427102133
restore_6km	2140	NE	W	NE-W	5	0.006144979367492072	0.0014217538691665987	0.004474009583477606	0.00841344329259089
restore_6km	2140	NEW01	NEW02	NEW01-NEW02	5	0.7905478929135954	0.0020082119882564565	0.7888114090288924	0.7939029091103286
restore_6km	2140	NW	E	NW-E	5	0.012161569981892583	0.0012396883509077081	0.010834113571782785	0.013992086462339631
