comparison	scenario	rep	region	start_pi	end_pi	delta_pi	retention	percent_change
1900_to_2020	shared_history	rep001	NW	0.00021899901436618383	0.00021827600555529602	-7.2300881088781e-07	0.9966985750461923	-0.3301424953807697
2020_to_2140	status_quo	rep001	NW	0.00021827600555529602	0.00021801500624658458	-2.6099930871143753e-07	0.9988042693559127	-0.11957306440872895
2020_to_2140	restore_2km	rep001	NW	0.00021827600555529602	0.0002178660859625471	-4.0991959274891605e-07	0.9981220125789545	-0.18779874210455016
2020_to_2140	restore_4km	rep001	NW	0.00021827600555529602	0.0002168773180650878	-1.3986874902082108e-06	0.9935921152366247	-0.6407884763375282
2020_to_2140	restore_6km	rep001	NW	0.00021827600555529602	0.00021794049908548314	-3.3550646981288235e-07	0.9984629255562958	-0.15370744437042116
2140_restoration_vs_statusquo	restore_2km	rep001	NW	0.00021801500624658458	0.0002178660859625471	-1.4892028403747852e-07	0.9993169264510671	-0.06830735489329332
2140_restoration_vs_statusquo	restore_4km	rep001	NW	0.00021801500624658458	0.0002168773180650878	-1.1376881814967733e-06	0.9947816060871976	-0.5218393912802433
2140_restoration_vs_statusquo	restore_6km	rep001	NW	0.00021801500624658458	0.00021794049908548314	-7.450716110144482e-08	0.9996582475565138	-0.03417524434862207
1900_to_2020	shared_history	rep001	NE	0.0002195093160826839	0.00021721120418498357	-2.2981118977003314e-06	0.9895306862655675	-1.0469313734432495
2020_to_2140	status_quo	rep001	NE	0.00021721120418498357	0.00021739511389991739	1.839097149338169e-07	1.0008466861349252	0.0846686134925223
2020_to_2140	restore_2km	rep001	NE	0.00021721120418498357	0.00021779382124998095	5.826170649973815e-07	1.0026822606466526	0.26822606466525567
2020_to_2140	restore_4km	rep001	NE	0.00021721120418498357	0.0002182145914001741	1.0033872151905387e-06	1.0046194081882445	0.4619408188244467
2020_to_2140	restore_6km	rep001	NE	0.00021721120418498357	0.0002170058971707724	-2.0530701421117526e-07	0.9990548046774036	-0.09451953225964038
2140_restoration_vs_statusquo	restore_2km	rep001	NE	0.00021739511389991739	0.00021779382124998095	3.987073500635646e-07	1.0018340216710073	0.18340216710073243
2140_restoration_vs_statusquo	restore_4km	rep001	NE	0.00021739511389991739	0.0002182145914001741	8.194775002567218e-07	1.003769530444157	0.37695304441569544
2140_restoration_vs_statusquo	restore_6km	rep001	NE	0.00021739511389991739	0.0002170058971707724	-3.8921672914499217e-07	0.9982096344201914	-0.1790365579808606
1900_to_2020	shared_history	rep001	W	0.0002204189544815724	0.00021846075438001128	-1.9582001015611182e-06	0.9911160085748214	-0.8883991425178595
2020_to_2140	status_quo	rep001	W	0.00021846075438001128	0.0002181280762888365	-3.3267809117478657e-07	0.9984771722860752	-0.1522827713924757
2020_to_2140	restore_2km	rep001	W	0.00021846075438001128	0.0002189352203221306	4.7446594211931537e-07	1.0021718589385349	0.21718589385348874
2020_to_2140	restore_4km	rep001	W	0.00021846075438001128	0.0002178745710984694	-5.861832815418641e-07	0.9973167570385563	-0.26832429614437325
2020_to_2140	restore_6km	rep001	W	0.00021846075438001128	0.0002182979236813299	-1.628306986813674e-07	0.9992546455351055	-0.07453544648945432
2140_restoration_vs_statusquo	restore_2km	rep001	W	0.0002181280762888365	0.0002189352203221306	8.071440332941019e-07	1.0037003216047498	0.37003216047497567
2140_restoration_vs_statusquo	restore_4km	rep001	W	0.0002181280762888365	0.0002178745710984694	-2.535051903670776e-07	0.9988378149448703	-0.11621850551296609
2140_restoration_vs_statusquo	restore_6km	rep001	W	0.0002181280762888365	0.0002182979236813299	1.6984739249341916e-07	1.0007786590125543	0.07786590125542503
1900_to_2020	shared_history	rep001	E	0.0002190956277296498	0.00021873570750559115	-3.599202240586437e-07	0.9983572459761599	-0.1642754023840065
2020_to_2140	status_quo	rep001	E	0.00021873570750559115	0.0002183010848103981	-4.346226951930463e-07	0.9980130235700911	-0.198697642990886
2020_to_2140	restore_2km	rep001	E	0.00021873570750559115	0.00021814026508169766	-5.954424238934907e-07	0.9972777996300477	-0.2722200369952299
2020_to_2140	restore_4km	rep001	E	0.00021873570750559115	0.0002175690845042418	-1.166623001349357e-06	0.994666517805194	-0.5333482194806005
2020_to_2140	restore_6km	rep001	E	0.00021873570750559115	0.0002175540600990378	-1.1816474065533625e-06	0.9945978303221336	-0.5402169677866442
2140_restoration_vs_statusquo	restore_2km	rep001	E	0.0002183010848103981	0.00021814026508169766	-1.6081972870044437e-07	0.9992633122788184	-0.0736687721181628
