scenario	year	region	n_reps	mean_pi	sd_pi	min_pi	max_pi
restore_2km	2140	E	5	0.00021780032145726107	4.786513049760868e-07	0.00021722402231017876	0.00021829436469848762
restore_2km	2140	NE	5	0.0002167275268429659	7.979389823789732e-07	0.0002155526024418042	0.00021779382124998095
restore_2km	2140	NEW01	5	3.808939899072361e-05	5.742722716300682e-07	3.709618959841506e-05	3.853181961986491e-05
restore_2km	2140	NEW02	4	0.00020824768646563239	1.6215032115538536e-06	0.0002064851345042168	0.00020967873911117963
restore_2km	2140	NW	5	0.00021708319075502402	8.421462652662703e-07	0.0002157628283753916	0.0002178660859625471
restore_2km	2140	SE	5	0.00021654309774801224	4.4719304350173414e-07	0.00021615359311740587	0.00021719309098776018
restore_2km	2140	W	5	0.00021830810439769108	5.416017239786889e-07	0.00021765706082398184	0.0002189352203221306
restore_4km	2140	E	5	0.00021824947811246225	8.846832425136076e-07	0.000217346257456613	0.00021953726711865305
restore_4km	2140	NE	5	0.00021738403909762663	1.1659046154799543e-06	0.00021617116378675643	0.00021895073661927207
restore_4km	2140	NEW01	5	3.835800671031247e-05	4.21799879883228e-07	3.785711749070962e-05	3.8941428163301375e-05
restore_4km	2140	NEW02	5	0.0002037079570614793	1.0811165887975267e-05	0.0001850718819765102	0.0002117433512979135
restore_4km	2140	NW	5	0.00021760987391977824	1.5104313054621369e-06	0.00021675906145637408	0.0002202728119402357
restore_4km	2140	SE	5	0.00021719512076537393	9.644352950185787e-07	0.00021580204952369243	0.00021848124023246093
restore_4km	2140	W	5	0.00021839330442146828	1.0737976802578464e-06	0.00021766375200107235	0.00022028091368979152
restore_6km	2140	E	5	0.0002182814539818735	4.821222626655141e-07	0.0002175540600990378	0.000218769192325855
restore_6km	2140	NE	5	0.0002182306502251885	1.0390795014249742e-06	0.0002170058971707724	0.00021984868535094467
restore_6km	2140	NEW01	5	3.84807612367656e-05	4.112229272890241e-07	3.789084102323939e-05	3.9049521416538925e-05
restore_6km	2140	NEW02	5	0.0002093114067087724	2.142012975589192e-06	0.0002057418542127085	0.00021124950283885651
restore_6km	2140	NW	5	0.00021790386181659552	5.129651029349784e-07	0.00021710782730738045	0.00021853942815516956
restore_6km	2140	SE	5	0.00021727053213959534	6.24848170107107e-07	0.00021646774569017256	0.00021807329544116285
restore_6km	2140	W	5	0.00021849076123493035	7.134378244926307e-07	0.0002177164857102398	0.00021928402957536634
shared_history	1900	E	5	0.00021886804379763698	3.482377339188871e-07	0.00021832307527348133	0.00021921446303475322
shared_history	1900	NE	5	0.00021941421745703848	4.7191737214998693e-07	0.0002187237501912905	0.00021988300928098807
shared_history	1900	NEW01	5	3.8989208231312044e-05	3.873307007464712e-07	3.8702882274790745e-05	3.9650931647025675e-05
shared_history	1900	NEW02	5	0.00021880274658968882	1.7773302139299414e-07	0.00021849933896226877	0.00021895064258110468
shared_history	1900	NW	5	0.00021920501581607307	8.520037407527956e-07	0.00021793176076989078	0.0002202740416700796
shared_history	1900	SE	5	0.00021745514931087893	4.3856682860224977e-07	0.0002170151129108941	0.00021807511110110957
shared_history	1900	W	5	0.00021927574264296224	7.464113045090332e-07	0.0002184270887171201	0.0002204189544815724
shared_history	2020	E	5	0.0002185527642136365	7.150239029539141e-07	0.00021741626525322957	0.00021936891710308722
shared_history	2020	NE	5	0.00021725187352101855	6.629690213183859e-07	0.00021673265843326676	0.00021836357678755954
shared_history	2020	NEW01	5	3.865424573611272e-05	4.4522025074221036e-07	3.810845980329669e-05	3.931306698939569e-05
shared_history	2020	NEW02	5	0.00021562846519921518	6.375392515620126e-07	0.00021503016980208405	0.00021647345308338303
shared_history	2020	NW	5	0.00021890628405554248	6.491150469530813e-07	0.0002181565843200883	0.00021961299677589302
shared_history	2020	SE	5	0.00021683999504096564	8.569814912022238e-07	0.0002158396286209684	0.00021814621842088105
shared_history	2020	W	5	0.00021836776365599124	6.513600087829455e-07	0.00021770065113008342	0.00021924845421436687
status_quo	2140	E	5	0.00021718143314884656	1.0813136343261168e-06	0.00021587390191507474	0.0002183010848103981
status_quo	2140	NE	5	0.00021622696813258853	1.154513427060391e-06	0.00021442521831756186	0.00021739511389991739
status_quo	2140	NEW01	5	3.7294977597717004e-05	3.987903217854433e-07	3.6891822965846975e-05	3.7943748341326893e-05
status_quo	2140	NEW02	5	0.0002081856843130022	2.7608143247837805e-06	0.00020488395592781582	0.0002105580403287712
status_quo	2140	NW	5	0.0002175920283696388	1.046590922970646e-06	0.0002157805726536638	0.0002184835477843421
status_quo	2140	SE	5	0.00021621352002278697	9.910855637797846e-07	0.00021488341239583249	0.00021765899222320756
status_quo	2140	W	5	0.00021808690348693776	1.3867076844083863e-06	0.0002165864652559969	0.00021959049995346454
