scenario	year	rep	vcf	n_samples	total_variants	neutral_variants	nonneutral_variants	unexpected_multiallelic_gt_variants
restore_2km	2140	rep001	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis/results/k13_full/regional_vcfs/regional20/restore_2km/Kexp1p3_D120_restore_2km_rep001_year2140_regional20.vcf	407	41177	38200	2977	0
restore_2km	2140	rep002	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis/results/k13_full/regional_vcfs/regional20/restore_2km/Kexp1p3_D120_restore_2km_rep002_year2140_regional20.vcf	360	40669	37760	2909	0
restore_2km	2140	rep003	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis/results/k13_full/regional_vcfs/regional20/restore_2km/Kexp1p3_D120_restore_2km_rep003_year2140_regional20.vcf	414	41777	38734	3043	0
restore_2km	2140	rep004	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis/results/k13_full/regional_vcfs/regional20/restore_2km/Kexp1p3_D120_restore_2km_rep004_year2140_regional20.vcf	418	41491	38495	2996	0
restore_2km	2140	rep005	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis/results/k13_full/regional_vcfs/regional20/restore_2km/Kexp1p3_D120_restore_2km_rep005_year2140_regional20.vcf	416	41543	38557	2986	0
restore_4km	2140	rep001	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis/results/k13_full/regional_vcfs/regional20/restore_4km/Kexp1p3_D120_restore_4km_rep001_year2140_regional20.vcf	409	42024	38949	3075	0
restore_4km	2140	rep002	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis/results/k13_full/regional_vcfs/regional20/restore_4km/Kexp1p3_D120_restore_4km_rep002_year2140_regional20.vcf	412	42311	39250	3061	0
restore_4km	2140	rep003	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis/results/k13_full/regional_vcfs/regional20/restore_4km/Kexp1p3_D120_restore_4km_rep003_year2140_regional20.vcf	420	42602	39477	3125	0
restore_4km	2140	rep004	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis/results/k13_full/regional_vcfs/regional20/restore_4km/Kexp1p3_D120_restore_4km_rep004_year2140_regional20.vcf	364	40930	37931	2999	0
restore_4km	2140	rep005	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis/results/k13_full/regional_vcfs/regional20/restore_4km/Kexp1p3_D120_restore_4km_rep005_year2140_regional20.vcf	416	42394	39285	3109	0
restore_6km	2140	rep001	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis/results/k13_full/regional_vcfs/regional20/restore_6km/Kexp1p3_D120_restore_6km_rep001_year2140_regional20.vcf	420	42249	39110	3139	0
