site	x0	y0	mean_suit_1900	mean_suit_2020	suit_change	prop_highq_1900	prop_highq_2020	highq_loss	mean_n_1900	mean_n_2020	min_n_1900	min_n_2020	ge20_both_all5	ge30_both_all5	region	regional_core	role	regional_target_n	individual_metric_target_n
SK060	77	105	0.5346938775510204	0.4510204081632654	-0.083673469387755	0.1020408163265306	0	0.1020408163265306	171.4	113	147	98	TRUE	TRUE	NW	TRUE	regional_core	20	30
SK068	63	119	0.3836734693877551	0.3326530612244898	-0.05102040816326531	0.06122448979591836	0	0.06122448979591836	170.6	96.8	161	74	TRUE	TRUE	NW	TRUE	regional_core	20	30
SK069	77	119	0.29183673469387755	0.2673469387755102	-0.02448979591836736	0.04081632653061224	0	0.04081632653061224	63.6	50.2	55	31	TRUE	TRUE	NW	TRUE	regional_core	20	30
SK062	105	105	0.3040816326530612	0.3040816326530612	0	0	0	0	59.8	51.6	48	41	TRUE	TRUE	NE	TRUE	regional_core	20	30
SK063	119	105	0.4020408163265306	0.34489795918367344	-0.05714285714285716	0.08163265306122448	0	0.08163265306122448	98.4	57	83	45	TRUE	TRUE	NE	TRUE	regional_core	20	30
SK064	133	105	0.4306122448979592	0.4428571428571429	0.01224489795918371	0.04081632653061224	0.04081632653061224	0	97.8	67.4	82	33	TRUE	TRUE	NE	TRUE	regional_core	20	30
SK025	91	49	0.47551020408163264	0.4673469387755102	-0.00816326530612243	0	0	0	169.8	143.6	145	128	TRUE	TRUE	W	TRUE	regional_core	20	30
SK026	105	49	0.5306122448979592	0.3836734693877551	-0.14693877551020412	0.16326530612244897	0	0.16326530612244897	192.4	102.6	171	90	TRUE	TRUE	W	TRUE	regional_core	20	30
SK034	91	63	0.5	0.4918367346938776	-0.00816326530612238	0	0	0	181.2	160.2	172	123	TRUE	TRUE	W	TRUE	regional_core	20	30
SK037	133	63	0.6061224489795918	0.38163265306122446	-0.22448979591836732	0.3673469387755102	0	0.3673469387755102	209	108	159	80	TRUE	TRUE	E	TRUE	regional_core	20	30
SK045	119	77	0.6	0.3510204081632653	-0.24897959183673468	0.42857142857142855	0.06122448979591836	0.36734693877551017	199.6	71.2	189	49	TRUE	TRUE	E	TRUE	regional_core	20	30
SK046	133	77	0.4693877551020408	0.4673469387755102	-0.00204081632653058	0.02040816326530612	0	0.02040816326530612	154	135.2	123	109	TRUE	TRUE	E	TRUE	regional_core	20	30
SK008	133	21	0.0673469387755102	0.0673469387755102	0	0	0	0	41.4	29.8	29	22	TRUE	FALSE	SE	TRUE	regional_core	20	30
SK018	133	35	0.5510204081632653	0.4918367346938776	-0.05918367346938763	0.1020408163265306	0	0.1020408163265306	213.6	155.8	187	141	TRUE	TRUE	SE	TRUE	regional_core	20	30
SK019	147	35	0.2755102040816326	0.23673469387755103	-0.0387755102040816	0.06122448979591836	0	0.06122448979591836	69.2	52.6	55	38	TRUE	TRUE	SE	TRUE	regional_core	20	30
