replicate	K	n_runs	mean_cv	sd_cv	best_loglikelihood	top3_ll_spread	top3_converged	best_run	best_q_file	best_run_dir
rep001	1	20	0.359951	7.880689256532004e-06	-8086882.514842	0.0	True	run01	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K1/run01/data.1.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K1/run01
rep001	2	20	0.3586895	1.2763022245613039e-05	-8057262.997881	1.000240445137024e-06	True	run12	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K2/run12/data.2.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K2/run12
rep001	3	20	0.3580925	1.9159991209751062e-05	-8036599.144391	0.001507999375462532	True	run14	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K3/run14/data.3.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K3/run14
rep001	4	20	0.3575535	2.8704483420201918e-05	-8017429.036091	0.004999999888241291	True	run16	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K4/run16/data.4.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K4/run16
rep001	5	20	0.35706199999999993	4.384182093797552e-05	-7999545.445212	0.0016109999269247055	True	run12	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K5/run12/data.5.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K5/run12
rep001	6	20	0.3565555	7.250952750465337e-05	-7982575.76073	0.008341999724507332	True	run01	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K6/run01/data.6.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K6/run01
rep001	7	20	0.3561445	6.278409117971257e-05	-7966560.612905	0.02048099972307682	True	run07	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K7/run07/data.7.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K7/run07
rep001	8	20	0.35581300000000005	8.39235240843502e-05	-7951548.015087	0.14731999952346087	True	run06	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K8/run06/data.8.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep001/K8/run06
rep002	1	20	0.36019600000000007	9.4032469196289e-06	-8109569.092637	0.0	True	run01	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K1/run01/data.1.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K1/run01
rep002	2	20	0.359058	1.9358120830931937e-05	-8081615.435882	1.9995495676994324e-06	True	run09	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K2/run09/data.2.Q	/cfs/klemming/home/t/tabeadi/tabea_work/08_population_analysis_final/skane_only/combined/results/structure/admixture/rep002/K2/run09
