sample_id	cluster	scenario	replicate	year	region	site	site_number	site_x	site_y	radius_model_units	target_n	n_available_at_site	ind_index	sex	age	x	y	distance_to_site	state	scenario_plot	FID	IID	fam_order	Q1	Q2	Q3	Q4	Q5	Q6	Q7
historical_rep030_1900_NW_SK060_i3298	lunarc	historical	rep030	1900	NW	SK060	1	77.0	105.0	4.0	20	139	3298	F	0	77.6508	102.663	2.425924491817505	1900	historical	y1900__p1:i3298	y1900__p1:i3298	1	1e-05	0.162371	0.049972	0.335159	0.055137	1e-05	0.397341
historical_rep030_1900_NW_SK060_i2155	lunarc	historical	rep030	1900	NW	SK060	1	77.0	105.0	4.0	20	139	2155	F	0	73.4723	105.32	3.5421839717891515	1900	historical	y1900__p1:i2155	y1900__p1:i2155	2	0.088908	0.144327	0.051927	0.4492	1e-05	0.19731	0.068317
historical_rep030_1900_NW_SK060_i2083	lunarc	historical	rep030	1900	NW	SK060	1	77.0	105.0	4.0	20	139	2083	F	0	75.6439	108.448	3.705092604780608	1900	historical	y1900__p1:i2083	y1900__p1:i2083	3	0.03862	0.052873	1e-05	0.616207	1e-05	1e-05	0.29227
historical_rep030_1900_NW_SK060_i21895	lunarc	historical	rep030	1900	NW	SK060	1	77.0	105.0	4.0	20	139	21895	M	0	76.5427	104.293	0.8420049227884563	1900	historical	y1900__p1:i21895	y1900__p1:i21895	4	0.018798	0.320607	1e-05	0.529079	0.039738	0.038828	0.052941
historical_rep030_1900_NW_SK060_i25566	lunarc	historical	rep030	1900	NW	SK060	1	77.0	105.0	4.0	20	139	25566	M	0	79.8458	107.122	3.5498537491000923	1900	historical	y1900__p1:i25566	y1900__p1:i25566	5	1e-05	1e-05	0.087931	0.661752	1e-05	0.065037	0.18525
historical_rep030_1900_NW_SK060_i10380	lunarc	historical	rep030	1900	NW	SK060	1	77.0	105.0	4.0	20	139	10380	F	0	74.779	103.979	2.444438994943424	1900	historical	y1900__p1:i10380	y1900__p1:i10380	6	1e-05	0.106111	1e-05	0.546059	1e-05	1e-05	0.34779
historical_rep030_1900_NW_SK060_i21517	lunarc	historical	rep030	1900	NW	SK060	1	77.0	105.0	4.0	20	139	21517	M	0	74.8106	105.525	2.2514656026686337	1900	historical	y1900__p1:i21517	y1900__p1:i21517	7	0.001109	1e-05	1e-05	0.659852	0.030264	0.01087	0.297884
historical_rep030_1900_NW_SK060_i463	lunarc	historical	rep030	1900	NW	SK060	1	77.0	105.0	4.0	20	139	463	F	0	75.6699	101.983	3.2971889557621625	1900	historical	y1900__p1:i463	y1900__p1:i463	8	0.055662	1e-05	0.105275	0.580706	1e-05	1e-05	0.258327
historical_rep030_1900_NW_SK060_i15707	lunarc	historical	rep030	1900	NW	SK060	1	77.0	105.0	4.0	20	139	15707	M	0	74.5155	102.391	3.6027241429229573	1900	historical	y1900__p1:i15707	y1900__p1:i15707	9	0.029138	0.140072	1e-05	0.756857	1e-05	1e-05	0.073903
historical_rep030_1900_NW_SK060_i23018	lunarc	historical	rep030	1900	NW	SK060	1	77.0	105.0	4.0	20	139	23018	M	0	74.1852	106.439	3.161300371682515	1900	historical	y1900__p1:i23018	y1900__p1:i23018	10	1e-05	0.128857	1e-05	0.6918	1e-05	1e-05	0.179303
