scenario	rep	year	region	n_individuals	n_individuals_with_roh	mean_FROH_100kb	sd_FROH_100kb	median_FROH_100kb	mean_n_roh	mean_roh_length_bp	mean_individual_max_roh_bp	max_roh_bp_observed	mean_FROH_100_250kb	mean_FROH_250_500kb	mean_FROH_500kb_1Mb	mean_FROH_gt1Mb	state
historical	rep001	1900	NW	20	16	0.0262854200654709	0.0299965693366221	0.0163817391227549	1.45	342595.1875	323802.25	1052161	0.00662027532967465	0.00795012227560455	0.0089978875184263	0.00271713494176537	1900
historical	rep001	1900	NE	20	11	0.0107906871693227	0.0194556124210303	0.00763775121969586	0.6	353985.909090909	200739.05	1674179	0.00457491376353459	0.00189231885874656	0	0.00432345454704157	1900
historical	rep001	1900	W	20	8	0.00696735944554964	0.00928043071255061	0	0.55	270660.145833333	108856.25	368897	0.00342000080675197	0.00354735863879767	0	0	1900
historical	rep001	1900	E	20	14	0.0236572783359878	0.0226994026787327	0.0169575441354529	1.1	453781.714285714	381935.45	1088188	0.00461829604997813	0.00652184074354641	0.00700483054360879	0.00551231099885448	1900
historical	rep001	1900	SE	20	11	0.0462915982773935	0.155256063867434	0.0109256011993644	0.85	714308.257575758	680927.1	10086544	0.00359824547458372	0.00522208172066869	0.00465483747227565	0.0328164336098654	1900
historical	rep001	2020	NW	20	13	0.116060833126868	0.303047154452414	0.0114650197357252	1	3311248.78205128	2179105.7	19358784	0.00461589438759391	0.00387428686767393	0.00328165472369029	0.10428899714791	2020
historical	rep001	2020	NE	20	15	0.125429966001241	0.273351330097002	0.0183429676148998	1.15	2579317.2	2306701	19360134	0.00582147983825088	0.00489766619878152	0.00427906769428893	0.11043175226992	2020
historical	rep001	2020	W	20	9	0.0105267522205951	0.0152421008728922	0	0.6	340719.833333333	171363.15	873395	0.00245914733547954	0.00436521506576759	0.00370238981934799	0	2020
historical	rep001	2020	E	20	8	0.0169817157052554	0.0475612875089626	0	0.6	706308.875	292984.2	4160065	0.00457088258613485	0.00166774534879343	0	0.0107430877703271	2020
historical	rep001	2020	SE	20	11	0.0129047801810068	0.0167320062788134	0.010508460849985	0.85	282983.848484849	185472.75	842633	0.00460689719216744	0.0061218399998058	0.0021760429890336	0	2020
historical	rep002	1900	NW	20	12	0.0190495315234715	0.024143818687207	0.0133201360694104	0.9	461298.694444444	287399.15	1631167	0.00406611513135621	0.00515370406840058	0.00561733337072696	0.00421237895298779	1900
historical	rep002	1900	NE	20	10	0.0224448778455115	0.0620239270372295	0.00377339897050805	0.8	472739.666666667	349080.2	4571712	0.00400680698262937	0.00437371126925584	0.00225822116149661	0.0118061384321297	1900
historical	rep002	1900	W	20	10	0.0128194927596077	0.0187806650398462	0.00415588307343989	0.75	381958.733333333	195777.8	1473567	0.00402613390874065	0.0049879712868608	0	0.00380538756400624	1900
historical	rep002	1900	E	20	7	0.0175457267479441	0.0410743975593321	0	0.55	537572.071428571	273007	2672115	0.00138094295876232	0.0028152467238097	0.0064489799881611	0.00690055707721097	1900
historical	rep002	1900	SE	20	9	0.0325608502483965	0.0798799818755087	0	0.7	806694.222222222	545788	6333970	0.00256579147506953	0.00451254284965971	0.00190777988314905	0.0235747360405182	1900
