state	scenario	rep	year	region	roh_class	FROH_contribution
1900	historical	rep001	1900	NW	100-250kb	0.00662027532967465
1900	historical	rep001	1900	NE	100-250kb	0.00457491376353459
1900	historical	rep001	1900	W	100-250kb	0.00342000080675197
1900	historical	rep001	1900	E	100-250kb	0.00461829604997813
1900	historical	rep001	1900	SE	100-250kb	0.00359824547458372
2020	historical	rep001	2020	NW	100-250kb	0.00461589438759391
2020	historical	rep001	2020	NE	100-250kb	0.00582147983825088
2020	historical	rep001	2020	W	100-250kb	0.00245914733547954
2020	historical	rep001	2020	E	100-250kb	0.00457088258613485
2020	historical	rep001	2020	SE	100-250kb	0.00460689719216744
1900	historical	rep002	1900	NW	100-250kb	0.00406611513135621
1900	historical	rep002	1900	NE	100-250kb	0.00400680698262937
1900	historical	rep002	1900	W	100-250kb	0.00402613390874065
1900	historical	rep002	1900	E	100-250kb	0.00138094295876232
1900	historical	rep002	1900	SE	100-250kb	0.00256579147506953
2020	historical	rep002	2020	NW	100-250kb	0.00570833571562747
2020	historical	rep002	2020	NE	100-250kb	0.00108865031687224
2020	historical	rep002	2020	W	100-250kb	0.00573733126965974
2020	historical	rep002	2020	E	100-250kb	0.00274796660542686
2020	historical	rep002	2020	SE	100-250kb	0.00533902976661678
1900	historical	rep003	1900	NW	100-250kb	0.00403045431859957
1900	historical	rep003	1900	NE	100-250kb	0.00190115077848208
1900	historical	rep003	1900	W	100-250kb	0.00425751987608042
1900	historical	rep003	1900	E	100-250kb	0.00243785001324013
1900	historical	rep003	1900	SE	100-250kb	0.00311820223019918
2020	historical	rep003	2020	NW	100-250kb	0.0024082863240202
2020	historical	rep003	2020	NE	100-250kb	0.00422489342171244
2020	historical	rep003	2020	W	100-250kb	0.00288403240043986
2020	historical	rep003	2020	E	100-250kb	0.00346164769844045
2020	historical	rep003	2020	SE	100-250kb	0.0046292119928793
1900	historical	rep004	1900	NW	100-250kb	0.00517437127706822
1900	historical	rep004	1900	NE	100-250kb	0.00307203608133609
1900	historical	rep004	1900	W	100-250kb	0.00427861835100415
1900	historical	rep004	1900	E	100-250kb	0.00363461903875761
1900	historical	rep004	1900	SE	100-250kb	0.0028066291459859
2020	historical	rep004	2020	NW	100-250kb	0.00278882327271796
2020	historical	rep004	2020	NE	100-250kb	0.00372148432651886
2020	historical	rep004	2020	W	100-250kb	0.00435365351469861
2020	historical	rep004	2020	E	100-250kb	0.00715943820520103
2020	historical	rep004	2020	SE	100-250kb	0.00569593487394036
1900	historical	rep005	1900	NW	100-250kb	0.00333341700415188
1900	historical	rep005	1900	NE	100-250kb	0.00346225457011819
1900	historical	rep005	1900	W	100-250kb	0.0042736988167655
1900	historical	rep005	1900	E	100-250kb	0.00481190360977087
1900	historical	rep005	1900	SE	100-250kb	0.00518935971629188
2020	historical	rep005	2020	NW	100-250kb	0.00537090215064476
2020	historical	rep005	2020	NE	100-250kb	0.00315348084292049
2020	historical	rep005	2020	W	100-250kb	0.00463751193148455
2020	historical	rep005	2020	E	100-250kb	0.00535454502210537
2020	historical	rep005	2020	SE	100-250kb	0.00339010398371745
1900	historical	rep008	1900	NW	100-250kb	0.00371987288853203
1900	historical	rep008	1900	NE	100-250kb	0.00569055824911891
1900	historical	rep008	1900	W	100-250kb	0.00435594413247797
1900	historical	rep008	1900	E	100-250kb	0.00241840429522598
1900	historical	rep008	1900	SE	100-250kb	0.00360214236548457
2020	historical	rep008	2020	NW	100-250kb	0.00589815226425889
2020	historical	rep008	2020	NE	100-250kb	0.00385271839000404
2020	historical	rep008	2020	W	100-250kb	0.00490639482121018
2020	historical	rep008	2020	E	100-250kb	0.00432341839298417
2020	historical	rep008	2020	SE	100-250kb	0.00397649955280013
1900	historical	rep009	1900	NW	100-250kb	0.00622200998068909
1900	historical	rep009	1900	NE	100-250kb	0.00213967717215772
1900	historical	rep009	1900	W	100-250kb	0.00410342095372441
1900	historical	rep009	1900	E	100-250kb	0.0014214251733161
1900	historical	rep009	1900	SE	100-250kb	0.0054693005827156
2020	historical	rep009	2020	NW	100-250kb	0.00670008541137817
2020	historical	rep009	2020	NE	100-250kb	0.00608852403591461
2020	historical	rep009	2020	W	100-250kb	0.00245489406887007
2020	historical	rep009	2020	E	100-250kb	0.00242336514838736
2020	historical	rep009	2020	SE	100-250kb	0.00237679614002756
2140 R2	restore_2km	rep001	2140	NW	100-250kb	0.00302298535517927
2140 R2	restore_2km	rep001	2140	NE	100-250kb	0.00381883687335786
2140 R2	restore_2km	rep001	2140	W	100-250kb	0.0038253885050447
2140 R2	restore_2km	rep001	2140	E	100-250kb	0.00769932157944268
2140 R2	restore_2km	rep001	2140	SE	100-250kb	0.00089492654760929
2140 R2	restore_2km	rep002	2140	NW	100-250kb	0.0044357619614795
2140 R2	restore_2km	rep002	2140	NE	100-250kb	0.0046516584976574
2140 R2	restore_2km	rep002	2140	W	100-250kb	0.00633551306145379
2140 R2	restore_2km	rep002	2140	E	100-250kb	0.00492994402473888
2140 R2	restore_2km	rep002	2140	SE	100-250kb	0.00490535668327636
2140 R2	restore_2km	rep003	2140	NW	100-250kb	0.00517337187562446
2140 R2	restore_2km	rep003	2140	NE	100-250kb	0.00496508060366326
2140 R2	restore_2km	rep003	2140	W	100-250kb	0.00241322651772021
2140 R2	restore_2km	rep003	2140	E	100-250kb	0.00467816716902729
2140 R2	restore_2km	rep003	2140	SE	100-250kb	0.00621476883947903
2140 R2	restore_2km	rep004	2140	NW	100-250kb	0.00374254664738519
2140 R2	restore_2km	rep004	2140	NE	100-250kb	0.00185408594304941
2140 R2	restore_2km	rep004	2140	W	100-250kb	0.00597694744992263
2140 R2	restore_2km	rep004	2140	E	100-250kb	0.00607726721190084
2140 R2	restore_2km	rep004	2140	SE	100-250kb	0.00246017514368268
2140 R2	restore_2km	rep005	2140	NW	100-250kb	0.00341530852658839
2140 R2	restore_2km	rep005	2140	NE	100-250kb	0.00332121500978045
2140 R2	restore_2km	rep005	2140	W	100-250kb	0.00185372440247544
2140 R2	restore_2km	rep005	2140	E	100-250kb	0.002720153805558
2140 R2	restore_2km	rep005	2140	SE	100-250kb	0.00717401087276463
2140 R2	restore_2km	rep008	2140	NW	100-250kb	0.00296049048453616
2140 R2	restore_2km	rep008	2140	NE	100-250kb	0.00280744002984466
2140 R2	restore_2km	rep008	2140	W	100-250kb	0.00338546076977463
2140 R2	restore_2km	rep008	2140	E	100-250kb	0.00684456477203395
2140 R2	restore_2km	rep008	2140	SE	100-250kb	0.00320249025015457
2140 R2	restore_2km	rep009	2140	NW	100-250kb	0.0038676086967862
2140 R2	restore_2km	rep009	2140	NE	100-250kb	0.00283062769279939
2140 R2	restore_2km	rep009	2140	W	100-250kb	0.00502194060621781
2140 R2	restore_2km	rep009	2140	E	100-250kb	0.0046700867371991
2140 R2	restore_2km	rep009	2140	SE	100-250kb	0.00495607566093878
2140 R4	restore_4km	rep001	2140	NW	100-250kb	0.00303162359246444
2140 R4	restore_4km	rep001	2140	NE	100-250kb	0.00468113696659918
2140 R4	restore_4km	rep001	2140	W	100-250kb	0.00363687350247957
2140 R4	restore_4km	rep001	2140	E	100-250kb	0.00137193543360517
2140 R4	restore_4km	rep001	2140	SE	100-250kb	0.00418722605877028
2140 R4	restore_4km	rep002	2140	NW	100-250kb	0.00309073805874094
2140 R4	restore_4km	rep002	2140	NE	100-250kb	0.00325852129182166
2140 R4	restore_4km	rep002	2140	W	100-250kb	0.00736013196024355
2140 R4	restore_4km	rep002	2140	E	100-250kb	0.00283566085407556
2140 R4	restore_4km	rep002	2140	SE	100-250kb	0.00348931588207972
2140 R4	restore_4km	rep003	2140	NW	100-250kb	0.00318104314682023
2140 R4	restore_4km	rep003	2140	NE	100-250kb	0.00494620560326944
2140 R4	restore_4km	rep003	2140	W	100-250kb	0.004441358093078
2140 R4	restore_4km	rep003	2140	E	100-250kb	0.00226681807985904
2140 R4	restore_4km	rep003	2140	SE	100-250kb	0.00681818005743227
2140 R4	restore_4km	rep004	2140	NW	100-250kb	0.00461446630232674
2140 R4	restore_4km	rep004	2140	NE	100-250kb	0.00452573133331154
2140 R4	restore_4km	rep004	2140	W	100-250kb	0.00229561478657563
2140 R4	restore_4km	rep004	2140	E	100-250kb	0.00418572308295564
2140 R4	restore_4km	rep004	2140	SE	100-250kb	0.00461676208497144
2140 R4	restore_4km	rep005	2140	NW	100-250kb	0.0055277074624402
2140 R4	restore_4km	rep005	2140	NE	100-250kb	0.00408257297476979
2140 R4	restore_4km	rep005	2140	W	100-250kb	0.00312578167008916
