state	scenario	rep	year	region	n_segments	median_length_bp	mean_length_bp	p90_length_bp	max_length_bp
1900	historical	rep001	1900	NW	29	272945	350984.482758621	764183	1052161
2020	historical	rep001	2020	NW	20	258584.5	2247122.15	3435679.80000002	19358784
2140 SQ	status_quo	rep001	2140	NW	20	246153.5	1307006.4	891281	19359420
2140 R2	restore_2km	rep001	2140	NW	22	337948	497896.863636364	1017568.7	2236424
2140 R4	restore_4km	rep001	2140	NW	22	381053.5	721417.045454545	1303226.9	5676452
2140 R6	restore_6km	rep001	2140	NW	26	296461.5	448378.807692308	719448	2825233
1900	historical	rep002	1900	NW	18	257899	409810.222222222	736181.8	1631167
2020	historical	rep002	2020	NW	22	216272	379281.818181818	890467.400000001	1712689
2140 SQ	status_quo	rep002	2140	NW	24	299680.5	719655.5	1056289.9	6887176
2140 R2	restore_2km	rep002	2140	NW	19	311244	396263.947368421	839102.2	1029014
2140 R4	restore_4km	rep002	2140	NW	18	358667.5	933145.444444444	3701152	4453429
2140 R6	restore_6km	rep002	2140	NW	36	240289.5	445770.111111111	557213	4526873
1900	historical	rep003	1900	NW	18	287270	1080759.05555556	2160195.4	9346937
2020	historical	rep003	2020	NW	17	527682	1636277.47058824	1799386	18096236
2140 SQ	status_quo	rep003	2140	NW	32	261148.5	455047.125	937263.7	2152044
2140 R2	restore_2km	rep003	2140	NW	28	350885.5	1299521.28571429	1797955	19359420
2140 R4	restore_4km	rep003	2140	NW	14	304137.5	425943.571428571	380329	2251216
2140 R6	restore_6km	rep003	2140	NW	24	244850.5	286079.5	434377.9	478129
1900	historical	rep004	1900	NW	16	218065.5	237139.9375	326436	589415
2020	historical	rep004	2020	NW	23	349578	466261.826086957	1089856	1323640
2140 SQ	status_quo	rep004	2140	NW	22	295455.5	831899.590909091	2080242.9	6152522
2140 R2	restore_2km	rep004	2140	NW	17	408581	701971.588235294	1278121.2	3777467
2140 R4	restore_4km	rep004	2140	NW	21	269094	663994.666666667	1163726	4501922
2140 R6	restore_6km	rep004	2140	NW	22	371183	728759.909090909	1063906	6656387
1900	historical	rep005	1900	NW	11	156263	368109.363636364	738320	1738815
