state	year	scenario	region	n_reps	mean_FROH_100kb_mean	mean_FROH_100kb_sd	mean_FROH_100kb_se	mean_n_roh_mean	mean_n_roh_sd	mean_n_roh_se	mean_roh_length_bp_mean	mean_roh_length_bp_sd	mean_roh_length_bp_se	mean_individual_max_roh_bp_mean	mean_individual_max_roh_bp_sd	mean_individual_max_roh_bp_se	max_roh_bp_observed_mean	max_roh_bp_observed_sd	max_roh_bp_observed_se	mean_FROH_100_250kb_mean	mean_FROH_100_250kb_sd	mean_FROH_100_250kb_se	mean_FROH_250_500kb_mean	mean_FROH_250_500kb_sd	mean_FROH_250_500kb_se	mean_FROH_500kb_1Mb_mean	mean_FROH_500kb_1Mb_sd	mean_FROH_500kb_1Mb_se	mean_FROH_gt1Mb_mean	mean_FROH_gt1Mb_sd	mean_FROH_gt1Mb_se
1900	1900	historical	NW	7	0.0275236943177989	0.017329331224627	0.00654987154391849	0.928571428571429	0.270581384641083	0.102270150451974	605273.576234282	401916.691259163	151910.230405382	449801.407142857	307239.428606931	116125.588721075	4063126	4571876.63624224	1728006.9434805	0.00473807370429595	0.00128433849823059	0.000485434323649186	0.00408993991734282	0.00238226892581603	0.000900413019112313	0.00425715464631692	0.00331704950551642	0.00125372686829803	0.0144385260498432	0.0177334400930832	0.00670261033942291
1900	1900	historical	NE	7	0.0266272659011318	0.0224121600673058	0.00847100026883767	0.728571428571429	0.114953406710222	0.0434483037878444	775470.165450422	749721.063119338	283367.926525818	459602.242857143	436059.080817254	164814.840681982	5723939.57142857	7105932.43621902	2685790.0084947	0.00354962822819671	0.00134070705813983	0.000506739636689571	0.00495197069974843	0.0021415205441729	0.000809418683916744	0.00133615250867507	0.000986159040097227	0.000372733081893634	0.0167895144645116	0.0218659549993663	0.00826455415817897
1900	1900	historical	W	7	0.0193177806104359	0.0168144316129081	0.00635525778352249	0.814285714285714	0.213530414918433	0.0807069107460871	407987.768823438	143047.924994641	54067.0335856629	256018.55	152101.039951099	57488.7894092726	1955473.85714286	1918626.74199338	725172.745438939	0.00410219097793501	0.000321514361281518	0.000121521006126667	0.00479072323483957	0.0015163894837071	0.000573141352086089	0.00309946520549379	0.00286421564294349	0.00108257175606992	0.0073254011921675	0.0134078969352995	0.00506770869931251
1900	1900	historical	E	7	0.0273109586792105	0.0205648350330681	0.00777277703579528	0.8	0.182574185835055	0.0690065559342354	734052.480096491	611725.024760107	231210.32661001	471991.821428571	394705.573965176	149184.684257552	5199305.28571429	6940467.16292829	2623250.01367404	0.00296049159129302	0.00141781534281716	0.000535883828872283	0.0050156250826609	0.00159147065887967	0.000601519368893101	0.00600858483257753	0.00250982331164179	0.000948624045330963	0.0133262571726791	0.0192222101395867	0.0072653125254815
1900	1900	historical	SE	7	0.0246144518407038	0.0125959564233124	0.00476082403158448	0.771428571428571	0.0906326967174966	0.0342559394522337	591375.469733045	219156.138927089	82833.2345563143	401243.557142857	190550.570097108	72021.3458083612	3717221.28571429	3371455.28448669	1274290.31987519	0.00376423871290434	0.00113744522481372	0.000429913884973581	0.00368927179921619	0.00149848182633394	0.000566372893804212	0.00210973976803837	0.00179218271396026	0.000677381395018236	0.0150512015605449	0.01106024840587	0.00418038096007581
2020	2020	historical	NW	7	0.0432911671513266	0.0372873198677202	0.0140932822037293	1.03571428571429	0.162568666810586	0.0614451804788759	1046410.62096832	1166747.75396963	440989.199963831	720078.585714286	736848.719370158	278502.637904266	6419654	8432604.32271097	3187224.84892878	0.00478435421803448	0.00162093458037949	0.000612655684455569	0.00483174960484906	0.00304138834979382	0.00114953674484622	0.00407308069010835	0.00206754892837096	0.000781460041132521	0.0296019826383347	0.0383269668020411	0.0144862318093756
2020	2020	historical	NE	7	0.0701581278124582	0.0451964470944306	0.0170826513079359	0.914285714285714	0.230424039751147	0.0870921007531994	1683034.32551893	1069870.63354649	404373.090196446	1229856.36428571	873315.368187863	330082.182907985	11219376	6970296.85412869	2634524.57718863	0.00399303302459908	0.00168432841430552	0.000636616301487454	0.0043099506376849	0.00125765471245933	0.000475348800622264	0.00395522510353581	0.00288818873017992	0.00109163273135364	0.0578999190466385	0.044503512484365	0.0168207466432126
2020	2020	historical	W	7	0.0192422997926461	0.00888158915473848	0.0033569251643552	0.885714285714286	0.165111794738912	0.0624063924861007	356970.567176871	43648.8066480557	16497.698202214	299841.214285714	134249.782819231	50741.6484148737	2444365	2321517.0023942	877450.950391883	0.00391899504883465	0.00131227500448303	0.000495993330512609	0.0057400490955867	0.00206929751111094	0.000782120943286352	0.00340302869031787	0.00131771376372783	0.000498048988284394	0.00618022695790692	0.00732444019918464	0.00276837817997242
2020	2020	historical	E	7	0.0346506746645935	0.0291950631821318	0.0110346966701056	0.814285714285714	0.237546987833084	0.089784322071261	961867.033967223	904408.377190988	341834.235670122	568735.335714286	514740.86158398	194553.758484905	5923583	6177210.71968244	2334766.19433172	0.00429160909409716	0.00163275256362715	0.000617122462265799	0.00369660738367821	0.00107642752923561	0.00040685136382016	0.00287697387411156	0.00219092236278769	0.000828090816255181	0.0237854843127065	0.0298611443799435	0.0112864516990178
2020	2020	historical	SE	7	0.0187658317418354	0.00687974620904673	0.00260029965033958	0.85	0.104083299973307	0.0393397896234722	447230.795003607	203299.055718686	76839.8204579868	289492.35	124393.832906164	47016.4494999762	2044093.28571429	1637454.57650105	618899.656083767	0.00428778192887843	0.00114462620310294	0.000432628039648357	0.0044086980670853	0.00143892529525021	0.000543862640918892	0.003663197345454	0.00284082647493634	0.00107373148150998	0.00640615440041768	0.00751376471893324	0.00283993612230692
2140 SQ	2140	status_quo	NW	7	0.0492967534106539	0.0108183859384527	0.00408896554003772	1.21428571428571	0.295401260596337	0.111651181787556	961005.11484682	555236.934546057	209859.835360959	770680.385714286	233649.336309525	88311.1482671853	6791145.28571429	5793698.82400655	2189812.32278982	0.00443256195848093	0.00165542364032392	0.000625691323822047	0.0084511038840872	0.0023985496030391	0.000906566536699165	0.00476951777341947	0.00411346915823004	0.00155474520263013	0.0316435697946663	0.0126607020147546	0.00478529556493357
2140 SQ	2140	status_quo	NE	7	0.0405306466028471	0.0185010761300118	0.0069927494895835	1.03571428571429	0.114434427054266	0.0432521479156784	844210.894897959	544619.496286445	205846.820904457	673432.528571429	355966.3608418	134542.637984584	6461964.14285714	4799574.57488295	1814068.67486412	0.00408815582528597	0.00129559362379998	0.000489688361253676	0.00706863323194038	0.00169376619927997	0.000640183448911696	0.00390391954473807	0.00325761250147467	0.00123126179238814	0.0254699380008826	0.0200310140491278	0.00757101166891903
2140 SQ	2140	status_quo	W	7	0.027257813690513	0.0168176451409962	0.00635647238297283	0.942857142857143	0.133630620956212	0.0505076272276105	534602.59872667	271455.502706664	102600.536025979	439045.714285714	257326.287437831	97260.1946228607	4133013.14285714	4591056.66660597	1735256.31354923	0.00488487983678848	0.000970062934949594	0.000366649325994008	0.00467259169689017	0.00242428490584344	0.000916293566861339	0.00384528209066784	0.00314413437599584	0.00118837109249346	0.0138550600661665	0.0178121651070557	0.00673236559784164
2140 SQ	2140	status_quo	E	7	0.0402639071322386	0.0331620117463118	0.0125340622936206	0.985714285714286	0.217398033022161	0.0821687329844638	833680.339073624	677087.399124237	255914.981991181	690166.585714286	618404.117547689	233734.786395649	7711517.42857143	7627136.54864218	2882786.64617696	0.00491355590700742	0.00222994363682653	0.000842839471533418	0.00594647474440244	0.0019194591037713	0.000725487348619684	0.00268752661335212	0.00127378226344997	0.000481444441933367	0.0267163498674766	0.0322338451487245	0.0121832482946987
