V1	V2.x	V3	V4	V5	grp	DUP	len
9	braker_augustus	non_coding	1	26167	1	NO	26167
9	braker_augustus	exon	26168	26172	2	NO	5
9	braker_augustus	intron	26173	26368	3	NO	196
9	braker_augustus	exon	26369	28322	4	NO	1954
9	braker_augustus	non_coding	28323	105671	5	NO	77349
9	braker_augustus	exon	105672	105965	6	NO	294
9	braker_augustus	non_coding	105966	107956	7	NO	1991
9	braker_augustus	exon	107957	108375	8	NO	419
9	braker_augustus	intron	108376	108453	9	NO	78
9	braker_augustus	exon	108454	108778	10	NO	325
9	braker_augustus	intron	108779	116740	11	NO	7962
9	braker_augustus	exon	116741	116864	12	NO	124
9	braker_augustus	intron	116865	118839	13	NO	1975
9	braker_augustus	exon	118840	119579	14	NO	740
9	braker_augustus	intron	119580	119918	15	NO	339
9	braker_augustus	exon	119919	120395	16	NO	477
9	braker_augustus	intron	120396	120813	17	NO	418
9	braker_augustus	exon	120814	120816	18	NO	3
9	braker_augustus	non_coding	120817	124517	19	NO	3701
9	braker_augustus	exon	124518	125380	20	NO	863
9	braker_augustus	intron	125381	125459	21	NO	79
9	braker_augustus	exon	125460	126588	22	NO	1129
9	braker_augustus	non_coding	126589	131255	23	NO	4667
9	braker_augustus	exon	131256	131357	24	NO	102
9	braker_augustus	intron	131358	135172	25	NO	3815
9	braker_augustus	exon	135173	135359	26	NO	187
9	braker_augustus	intron	135360	136903	27	NO	1544
9	braker_augustus	exon	136904	137117	28	NO	214
9	braker_augustus	intron	137118	137285	29	NO	168
9	braker_augustus	exon	137286	137361	30	NO	76
9	braker_augustus	non_coding	137362	156483	31	NO	19122
9	braker_augustus	exon	156484	156590	32	NO	107
9	braker_augustus	intron	156591	156813	33	NO	223
9	braker_augustus	exon	156814	157032	34	NO	219
9	braker_augustus	intron	157033	158059	35	NO	1027
9	braker_augustus	exon	158060	158492	36	NO	433
9	braker_augustus	non_coding	158493	158976	37	NO	484
9	braker_augustus	exon	158977	159066	38	NO	90
9	braker_augustus	intron	159067	159830	39	NO	764
9	braker_augustus	exon	159831	159974	40	NO	144
9	braker_augustus	non_coding	159975	166552	41	NO	6578
9	braker_augustus	exon	166553	166681	42	NO	129
9	braker_augustus	intron	166682	166836	43	NO	155
9	braker_augustus	exon	166837	167039	44	NO	203
9	braker_augustus	intron	167040	167611	45	NO	572
9	braker_augustus	exon	167612	169199	46	NO	1588
9	braker_augustus	non_coding	169200	178428	47	NO	9229
9	braker_augustus	exon	178429	178824	48	NO	396
9	braker_augustus	intron	178825	180800	49	NO	1976
9	braker_augustus	exon	180801	181004	50	NO	204
9	braker_augustus	intron	181005	181120	51	NO	116
9	braker_augustus	exon	181121	181340	52	NO	220
9	braker_augustus	intron	181341	184477	53	NO	3137
9	braker_augustus	exon	184478	184827	54	NO	350
9	braker_augustus	non_coding	184828	197127	55	NO	12300
9	braker_augustus	exon	197128	199047	56	NO	1920
9	braker_augustus	non_coding	199048	203984	57	NO	4937
9	braker_augustus	exon	203985	204203	58	NO	219
9	braker_augustus	intron	204204	204784	59	NO	581
9	braker_augustus	exon	204785	204968	60	NO	184
9	braker_augustus	intron	204969	207871	61	NO	2903
9	braker_augustus	exon	207872	208129	62	NO	258
9	braker_augustus	intron	208130	208223	63	NO	94
9	braker_augustus	exon	208224	208409	64	NO	186
9	braker_augustus	intron	208410	208911	65	NO	502
9	braker_augustus	exon	208912	209132	66	NO	221
9	braker_augustus	non_coding	209133	209187	67	NO	55
9	braker_augustus	exon	209188	209373	68	NO	186
9	braker_augustus	intron	209374	209543	69	NO	170
9	braker_augustus	exon	209544	209859	70	NO	316
9	braker_augustus	intron	209860	215609	71	NO	5750
9	braker_augustus	exon	215610	216163	72	NO	554
9	braker_augustus	non_coding	216164	222570	73	NO	6407
9	braker_augustus	exon	222571	223266	74	NO	696
9	braker_augustus	intron	223267	226162	75	NO	2896
9	braker_augustus	exon	226163	226180	76	NO	18
9	braker_augustus	non_coding	226181	229126	77	NO	2946
9	braker_augustus	exon	229127	229330	78	NO	204
9	braker_augustus	non_coding	229331	231810	79	NO	2480
9	braker_augustus	exon	231811	232074	80	NO	264
9	braker_augustus	non_coding	232075	232741	81	NO	667
9	braker_augustus	exon	232742	233842	82	NO	1101
9	braker_augustus	non_coding	233843	247942	83	NO	14100
9	braker_augustus	exon	247943	248005	84	NO	63
9	braker_augustus	intron	248006	248102	85	NO	97
9	braker_augustus	exon	248103	248319	86	NO	217
9	braker_augustus	intron	248320	250076	87	NO	1757
9	braker_augustus	exon	250077	250240	88	NO	164
9	braker_augustus	non_coding	250241	258148	89	NO	7908
9	braker_augustus	exon	258149	258349	90	NO	201
9	braker_augustus	intron	258350	258664	91	NO	315
9	braker_augustus	exon	258665	259002	92	NO	338
9	braker_augustus	intron	259003	259229	93	NO	227
9	braker_augustus	exon	259230	259371	94	NO	142
9	braker_augustus	intron	259372	259638	95	NO	267
9	braker_augustus	exon	259639	260769	96	NO	1131
9	braker_augustus	non_coding	260770	281508	97	NO	20739
9	braker_augustus	exon	281509	281898	98	NO	390
9	braker_augustus	non_coding	281899	282102	99	NO	204
9	braker_augustus	exon	282103	282513	100	NO	411
9	braker_augustus	non_coding	282514	298046	101	NO	15533
9	braker_augustus	exon	298047	298174	102	NO	128
9	braker_augustus	intron	298175	298299	103	NO	125
9	braker_augustus	exon	298300	298453	104	NO	154
9	braker_augustus	non_coding	298454	299131	105	NO	678
9	braker_augustus	exon	299132	299256	106	NO	125
9	braker_augustus	intron	299257	300257	107	NO	1001
9	braker_augustus	exon	300258	300426	108	NO	169
9	braker_augustus	intron	300427	301029	109	NO	603
9	braker_augustus	exon	301030	301083	110	NO	54
9	braker_augustus	non_coding	301084	310623	111	NO	9540
9	braker_augustus	exon	310624	310974	112	NO	351
9	braker_augustus	non_coding	310975	317043	113	NO	6069
9	braker_augustus	exon	317044	317295	114	NO	252
9	braker_augustus	non_coding	317296	332152	115	NO	14857
9	braker_augustus	exon	332153	332362	116	NO	210
9	braker_augustus	non_coding	332363	349580	117	NO	17218
9	braker_augustus	exon	349581	349799	118	NO	219
9	braker_augustus	intron	349800	350681	119	NO	882
9	braker_augustus	exon	350682	350747	120	NO	66
9	braker_augustus	non_coding	350748	409073	121	NO	58326
9	braker_augustus	exon	409074	409145	122	NO	72
9	braker_augustus	intron	409146	409337	123	NO	192
9	braker_augustus	exon	409338	409526	124	NO	189
9	braker_augustus	non_coding	409527	451495	125	NO	41969
9	braker_augustus	exon	451496	451587	126	NO	92
9	braker_augustus	intron	451588	454199	127	NO	2612
9	braker_augustus	exon	454200	454347	128	NO	148
9	braker_augustus	non_coding	454348	540044	129	NO	85697
9	braker_augustus	exon	540045	540089	130	NO	45
9	braker_augustus	intron	540090	541286	131	NO	1197
