Chr_number	Accession	Size_bp	GC_percent	N_count	N_fraction	LowComplexity_bases	LowComplexity_fraction	MaxLowComplexity_100kb
Z	LR994547.1	24709970	35.88	0	0	1473331	0.059625	0.188
1	LR994546.1	28312907	36.67	0	0	1582833	0.055905	0.1062
2	LR994548.1	23826294	36.31	517	2.16987e-05	1408046	0.0590963	0.12998
3	LR994549.1	23585568	36.37	400	1.69595e-05	1342868	0.056936	0.22373
4	LR994550.1	23188126	36.66	558	2.4064e-05	1292448	0.0557375	0.177
5	LR994551.1	22666739	36.29	0	0	1258362	0.0555158	0.10295
6	LR994552.1	21244464	36.51	0	0	1231245	0.057956	0.20193
7	LR994553.1	20828643	36.44	0	0	1236889	0.059384	0.16444
8	LR994554.1	19757028	36.64	0	0	1108497	0.0561065	0.11278
9	LR994555.1	19361588	36.60	0	0	1039524	0.05369	0.09869
10	LR994556.1	18466619	36.09	0	0	1056555	0.0572143	0.11588
11	LR994557.1	18090092	36.70	0	0	976583	0.0539844	0.16239
12	LR994558.1	16996643	36.42	500	2.94176e-05	947097	0.0557226	0.09931
13	LR994559.1	16283616	36.70	0	0	898418	0.0551731	0.09214
14	LR994560.1	16264672	36.45	0	0	912290	0.0560903	0.09141
15	LR994561.1	16131832	36.01	0	0	880499	0.0545815	0.11816
16	LR994562.1	15947606	36.57	0	0	858411	0.053827	0.07627
17	LR994563.1	15517313	36.29	200	1.28888e-05	884787	0.0570193	0.29401
18	LR994564.1	15197370	36.50	0	0	841074	0.0553434	0.09862
19	LR994565.1	14968971	36.84	0	0	841633	0.0562252	0.09814
20	LR994566.1	14815647	36.63	0	0	794185	0.0536045	0.0841
21	LR994567.1	14578958	37.02	0	0	820173	0.0562573	0.1018
22	LR994568.1	11318693	36.86	0	0	650434	0.0574655	0.10817
23	LR994569.1	9408493	37.72	200	2.12574e-05	566018	0.0601603	0.1434
